,BL,M1,M2,M3,M4,M5,pcnt_M1,pcnt_M2,pcnt_M3,pcnt_M4,pcnt_M5
5K,24.149,15.225,15.099,15.203,15.087,15.081,0.37,0.375,0.37,0.375,0.376
10K,23.943,15.076,14.798,13.625,13.5,13.508,0.37,0.382,0.431,0.436,0.436
15K,21.036,12.007,11.786,10.739,10.615,10.614,0.429,0.44,0.489,0.495,0.495
20K,17.962,10.102,9.96,8.156,8.025,8.023,0.438,0.445,0.546,0.553,0.553
25K,14.923,8.525,8.365,6.656,6.523,6.523,0.429,0.439,0.554,0.563,0.563
30K,10.29,6.415,6.179,4.485,4.418,4.418,0.377,0.4,0.564,0.571,0.571
35K,5.283,3.719,3.64,2.569,2.547,2.547,0.296,0.311,0.514,0.518,0.518
40K,1.189,0.981,0.951,0.721,0.695,0.695,0.174,0.2,0.393,0.416,0.416
Overall MAE,14.652,8.877,8.72,7.641,7.549,7.549,,,,,
Overall $R^2$,0.799,0.904,0.907,0.918,0.92,0.92,,,,,
