,BL,M1,M2,M3,M4,M5,pcnt_M1,pcnt_M2,pcnt_M3,pcnt_M4,pcnt_M5
5K,19.997,16.193,15.98,16.191,15.979,15.974,0.19,0.201,0.19,0.201,0.201
10K,17.346,14.102,14.018,13.265,13.22,13.218,0.187,0.192,0.235,0.238,0.238
15K,17.154,13.302,12.944,12.896,12.622,12.631,0.225,0.245,0.248,0.264,0.264
20K,15.285,11.135,10.613,9.281,8.956,8.957,0.272,0.306,0.393,0.414,0.414
25K,12.646,9.241,9.05,6.899,6.829,6.83,0.269,0.284,0.454,0.46,0.46
30K,9.719,6.995,6.889,5.196,5.185,5.186,0.28,0.291,0.465,0.467,0.466
35K,5.388,3.9,3.691,2.649,2.615,2.615,0.276,0.315,0.508,0.515,0.515
40K,1.126,1.119,1.047,0.861,0.824,0.824,0.007,0.071,0.235,0.268,0.268
Overall MAE,12.316,9.488,9.27,8.394,8.268,8.269,,,,,
Overall $R^2$,0.891,0.938,0.939,0.941,0.941,0.941,,,,,
