,BL,M1,M2,M3,M4,M5,pcnt_M1,pcnt_M2,pcnt_M3,pcnt_M4,pcnt_M5
5K,22.135,16.894,16.743,16.886,16.735,16.733,0.237,0.244,0.237,0.244,0.244
10K,20.638,15.439,15.261,14.359,14.261,14.258,0.252,0.261,0.304,0.309,0.309
15K,19.181,13.549,13.266,12.174,11.945,11.949,0.294,0.308,0.365,0.377,0.377
20K,16.874,11.207,11.003,9.104,8.915,8.915,0.336,0.348,0.46,0.472,0.472
25K,13.179,9.168,8.902,6.812,6.688,6.689,0.304,0.325,0.483,0.493,0.492
30K,9.709,6.847,6.652,4.823,4.774,4.774,0.295,0.315,0.503,0.508,0.508
35K,5.226,3.964,3.821,2.563,2.535,2.535,0.241,0.269,0.51,0.515,0.515
40K,1.163,1.087,1.046,0.796,0.766,0.766,0.065,0.101,0.315,0.341,0.341
Overall MAE,13.499,9.755,9.572,8.423,8.31,8.31,,,,,
Overall $R^2$,0.871,0.931,0.932,0.939,0.939,0.939,,,,,
