,BL,S1,S2,S3,S4,pcnt_S1,pcnt_S2,pcnt_S3,pcnt_S4
5K,22.027,17.085,16.935,17.089,16.937,0.224,0.231,0.224,0.231
10K,20.374,15.322,15.111,14.394,14.193,0.248,0.258,0.294,0.303
15K,19.2,13.745,13.503,12.179,11.948,0.284,0.297,0.366,0.378
20K,17.188,11.403,11.103,9.423,9.228,0.337,0.354,0.452,0.463
25K,13.287,9.057,8.798,6.741,6.614,0.318,0.338,0.493,0.502
30K,9.492,6.694,6.518,4.567,4.505,0.295,0.313,0.519,0.525
35K,5.175,3.927,3.76,2.547,2.519,0.241,0.273,0.508,0.513
40K,1.162,1.071,1.036,0.761,0.736,0.078,0.108,0.345,0.366
Overall MAE,13.517,9.808,9.616,8.484,8.356,,,,
Overall $R^2$,0.868,0.929,0.931,0.936,0.937,,,,
