,BL,S1,S2,S3,S4,pcnt_S1,pcnt_S2,pcnt_S3,pcnt_S4
5K,24.171,15.601,15.505,15.607,15.501,0.355,0.359,0.354,0.359
10K,23.103,14.466,14.241,13.059,12.913,0.374,0.384,0.435,0.441
15K,20.931,12.128,11.936,10.839,10.696,0.421,0.43,0.482,0.489
20K,18.749,10.954,10.698,9.061,8.88,0.416,0.429,0.517,0.526
25K,14.794,8.307,8.223,6.495,6.375,0.438,0.444,0.561,0.569
30K,10.11,6.238,6.065,4.302,4.233,0.383,0.4,0.575,0.581
35K,5.287,3.776,3.676,2.621,2.598,0.286,0.305,0.504,0.509
40K,1.191,0.981,0.957,0.718,0.692,0.176,0.197,0.397,0.419
Overall MAE,14.787,9.045,8.901,7.824,7.722,,,,
Overall $R^2$,0.792,0.898,0.902,0.907,0.908,,,,
