,BL,S1,S2,S3,S4,pcnt_S1,pcnt_S2,pcnt_S3,pcnt_S4
5K,20.291,16.377,16.248,16.378,16.25,0.193,0.199,0.193,0.199
10K,17.649,14.347,14.096,13.715,13.483,0.187,0.201,0.223,0.236
15K,17.138,12.994,12.695,12.137,11.845,0.242,0.259,0.292,0.309
20K,15.595,11.188,10.807,9.624,9.343,0.283,0.307,0.383,0.401
25K,13.058,9.08,8.839,6.893,6.769,0.305,0.323,0.472,0.482
30K,9.047,6.6,6.456,4.699,4.658,0.271,0.286,0.481,0.485
35K,5.352,3.877,3.657,2.57,2.539,0.276,0.317,0.52,0.526
40K,1.136,1.077,1.031,0.825,0.801,0.051,0.092,0.273,0.295
Overall MAE,12.423,9.458,9.246,8.377,8.233,,,,
Overall $R^2$,0.89,0.939,0.94,0.943,0.944,,,,
