,BL,S1,S2,S3,S4,pcnt_S1,pcnt_S2,pcnt_S3,pcnt_S4
5K,21.668,19.233,19.01,19.239,19.019,0.112,0.123,0.112,0.122
10K,20.535,17.119,16.962,16.347,16.123,0.166,0.174,0.204,0.215
15K,19.465,16.142,15.905,13.593,13.331,0.171,0.183,0.302,0.315
20K,17.166,12.065,11.799,9.592,9.466,0.297,0.313,0.441,0.449
25K,11.966,9.806,9.348,6.84,6.702,0.181,0.219,0.428,0.44
30K,9.307,7.253,7.044,4.705,4.628,0.221,0.243,0.494,0.503
35K,4.893,4.124,3.941,2.452,2.422,0.157,0.195,0.499,0.505
40K,1.158,1.156,1.121,0.738,0.714,0.002,0.032,0.363,0.384
Overall MAE,13.34,10.922,10.7,9.252,9.114,,,,
Overall $R^2$,0.868,0.924,0.926,0.935,0.936,,,,
