Marathon,Year,Total,M,W,AG 0-30,AG 31-40,AG 41-50,AG 51-101
Boston,2021,,7825,7296,1922,3578,4708,4913
Boston,2022,,14079,10410,4014,6098,7418,6959
Boston,2023,,14837,11169,4368,6406,7910,7344
Boston,2024,,14467,10747,4207,6012,7503,7540
Chicago,2021,26753.0,14572,12181,5790,8731,7260,4972
Chicago,2022,39674.0,21049,18625,6702,12009,11896,9067
Chicago,2023,48785.0,25977,22808,8700,14490,14454,11141
Chicago,2024,52265.0,28197,24068,11435,16365,13872,10593
New York,2021,,13485,11128,5484,7814,6522,4808
New York,2022,,26224,20662,9422,13347,13351,10809
New York,2023,,27449,21868,11321,14451,13079,10555
New York,2024,,30424,24279,14585,16026,13309,10897
