Name,Age,M/F,5K,10K,15K,20K,HALF,25K,30K,35K,40K,Finish Net,Year
"Korir, Albert",27,M,935,1843,2763,3677,3890,4599,5450,6347,7290,7702,2021
"El Aaraby, Mohamed",31,M,936,1846,2739,3633,3837,4556,5452,6364,7318,7746,2021
"Faniel, Eyob",28,M,935,1848,2739,3633,3837,4555,5450,6392,7362,7792,2021
"Kibet, Elkanah",38,M,935,1847,2763,3676,3888,4600,5508,6472,7443,7875,2021
"Nageeye, Abdi",32,M,936,1848,2771,3677,3890,4608,5515,6476,7468,7899,2021
"Bekele, Kenenisa",39,M,935,1847,2763,3677,3889,4610,5538,6520,7536,7972,2021
"True, Ben",35,M,936,1851,2794,3734,3942,4709,5659,6630,7567,7973,2021
"Martin, Nathan",31,M,939,1862,2802,3735,3943,4711,5659,6614,7568,7977,2021
"Kandie, Kibiwott",25,M,935,1845,2762,3677,3889,4598,5450,6374,7490,8023,2021
"Ward, Jared",33,M,938,1862,2801,3733,3942,4709,5658,6636,7619,8046,2021
"Castillo, Patricio",29,M,935,1846,2773,3734,3943,4711,5658,6630,7613,8051,2021
"Raneri, John",30,M,937,1862,2802,3735,3942,4726,5673,6646,7657,8136,2021
"Tomiyasu, Akira",25,M,934,1849,2771,3700,3913,4698,5701,6722,7756,8199,2021
"Biwott, Shadrack",36,M,938,1855,2794,3734,3942,4711,5658,6656,7736,8210,2021
"Nijhuis, Thijs",29,M,926,1850,2796,3740,3956,4732,5699,6724,7775,8245,2021
"Archer, Ryan",26,M,949,1918,2886,3848,4062,4829,5791,6784,7841,8337,2021
"Choge, Augustine",34,M,934,1847,2764,3677,3889,4668,5689,6767,7915,8453,2021
"Abreu, Alvaro",31,M,937,1863,2801,3752,3969,4759,5742,6800,7964,8453,2021
"Shrader, Brian",30,M,937,1861,2800,3740,3960,4758,5820,6903,8025,8515,2021
"Mekonen, Teshome",26,M,938,1848,2764,3678,3889,4640,5589,6671,7945,8536,2021
"Lewis, Kevin",28,M,939,1863,2811,3762,3977,4749,5729,6836,8026,8559,2021
"Jepchirchir, Peres",28,W,1080,2102,3124,4139,4363,5171,6163,7142,8141,8559,2021
"Cheptoo, Viola",32,W,1081,2104,3125,4139,4364,5172,6166,7142,8141,8564,2021
"Yeshaneh, Ababel",30,W,1079,2102,3125,4139,4363,5172,6163,7142,8141,8572,2021
"Toomer, Benjamin",32,M,996,1999,3008,4018,4243,5048,6074,7101,8160,8637,2021
"Seidel, Molly",27,W,1081,2103,3124,4139,4363,5172,6164,7185,8226,8682,2021
"Kopec, Wojciech",35,M,1024,2049,3084,4108,4339,5171,6187,7218,8258,8716,2021
"Daniel, Jordan",26,M,1006,1990,2985,3994,4215,5021,6020,7069,8212,8764,2021
"Johannes, Helalia",41,W,1082,2104,3125,4140,4364,5174,6166,7214,8298,8769,2021
"Taylor, Kellyn",35,W,1080,2103,3124,4140,4364,5172,6167,7214,8297,8770,2021
"Haywas, Adrian",33,M,1027,2048,3083,4111,4342,5182,6219,7267,8315,8774,2021
"Schairbaum, Jay",26,M,1037,2062,3084,4108,4339,5171,6187,7236,8307,8776,2021
"Frisbie, Annie",24,W,1081,2102,3124,4139,4363,5173,6178,7231,8302,8778,2021
"Thweatt, Laura",32,W,1081,2104,3125,4140,4364,5172,6177,7229,8327,8820,2021
"Kedir Figa, Urgesa",26,M,947,1929,2932,3949,4178,5003,6023,7107,8282,8844,2021
"Simpson, Jason",37,M,1061,2110,3169,4248,4485,5327,6360,7404,8450,8892,2021
"Laney, David",33,M,1024,2048,3084,4109,4343,5184,6225,7312,8414,8908,2021
"Kilgore, David",29,M,1039,2063,3089,4126,4363,5208,6244,7334,8453,8950,2021
"Velazco Flores, Jared Ismael",23,M,1004,1991,2997,4007,4228,5028,6058,7163,8421,8953,2021
"Reis, Brian",32,M,1027,2047,3084,4125,4365,5234,6293,7375,8476,8957,2021
"Pearlman, Oz",39,M,1043,2103,3162,4249,4486,5331,6360,7408,8475,8959,2021
"Höflinger, Daniel",30,M,1057,2085,3111,4150,4385,5242,6304,7405,8513,8993,2021
"Shiohira, Jacob",25,M,1069,2173,3250,4333,4575,5430,6475,7509,8554,9024,2021
"Fitzmaurice, David",31,M,996,1998,3008,4017,4242,5046,6085,7386,8507,9028,2021
"Kahura, Grace",28,W,1082,2104,3126,4140,4369,5222,6300,7396,8541,9032,2021
"Bruce, Stephanie",37,W,1080,2113,3155,4197,4428,5256,6304,7396,8546,9065,2021
"Violone, Marc",28,M,1049,2111,3175,4254,4494,5346,6405,7486,8614,9120,2021
"Hendrix, Austin",32,M,1064,2130,3189,4255,4490,5334,6395,7478,8615,9131,2021
"Wainwright, Collin",26,M,1151,2230,3322,4398,4632,5465,6505,7577,8667,9134,2021
"Frank, Jesse",29,M,1072,2158,3248,4351,4591,5451,6518,7596,8675,9138,2021
"Parker, Hugh",31,M,1051,2107,3179,4267,4513,5418,6504,7630,8719,9163,2021
"Marchant, Lanni",37,W,1103,2175,3241,4312,4550,5398,6464,7555,8675,9174,2021
"Geithner, Peter",27,M,1012,2019,3014,4027,4253,5085,6114,7273,8651,9175,2021
"Kennedy, Thomas",26,M,1124,2182,3256,4351,4591,5450,6517,7600,8701,9188,2021
"Puleo, David",30,M,1074,2152,3239,4330,4577,5452,6522,7618,8729,9202,2021
"Rideout, Kenneth",50,M,1060,2106,3170,4249,4486,5342,6418,7543,8704,9211,2021
"Flanagan, Shalane",40,W,1088,2192,3295,4390,4628,5492,6560,7652,8746,9212,2021
"Aghegnehu, Abinazer",36,M,1074,2147,3221,4312,4558,5428,6519,7640,8746,9213,2021
"Roeske, David",40,M,1092,2157,3235,4317,4553,5418,6488,7603,8730,9214,2021
"Trim, Ned",28,M,1087,2192,3295,4390,4628,5486,6539,7611,8710,9224,2021
"Jung, Timothée",32,M,1083,2192,3294,4384,4620,5486,6560,7649,8749,9242,2021
