draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta.1,beta.2,sigma
0,11754.462452177075,0.9610778103208696,0.08534834942478473,5.0,31.0,0.0,-11749.97877664617,-0.2944103912179272,1.0142102103981934,0.23101358098603042,0.13889086767841466
1,11754.370691356258,0.8901747189136718,0.08058346589575957,2.0,7.0,0.0,-11751.171804345939,-0.2573956477752015,1.0058587361213192,0.21513128975401782,0.13803946842328269
2,11756.651436393333,0.9228303604779049,0.08507774914750185,4.0,23.0,0.0,-11754.987643710832,-0.2665433400891236,1.0068248955512926,0.22443180909795837,0.14080707517083207
3,11755.484912055203,0.9996278732932969,0.08659249051606914,5.0,63.0,0.0,-11754.190844830786,-0.27275619595680833,1.0100443237191572,0.21874993168978674,0.13985102248752265
4,11752.805715271299,0.9351693672804755,0.08534834942478473,5.0,31.0,0.0,-11751.759644563861,-0.29848046862830246,1.0162329009034514,0.22570137372374344,0.13968841457911535
5,11753.620074597948,0.929296251580632,0.08058346589575957,5.0,63.0,0.0,-11751.720237957012,-0.24601704871213184,1.0006025213524326,0.22220221212192548,0.138777612303528
6,11756.16161112617,0.966907915994306,0.08507774914750185,6.0,63.0,0.0,-11755.684722467166,-0.2698932583180778,1.006752861809273,0.22921492290673587,0.14096926675802465
7,11755.800761157729,0.8075082019470093,0.08659249051606914,3.0,15.0,0.0,-11752.905646035075,-0.2723163096268475,1.0097132698703182,0.22029998021901417,0.13997222080947544
8,11755.392060833825,0.8850518168692482,0.08534834942478473,5.0,31.0,0.0,-11749.873131720864,-0.27197345069925183,1.0076253463143179,0.22557983864553494,0.1411465098981084
9,11754.207482267562,0.8897365482540656,0.08058346589575957,5.0,31.0,0.0,-11751.428336802299,-0.2535748856337196,1.003534348784487,0.21830190279083198,0.1379308111100425
10,11756.43898427915,0.9991808836255216,0.08507774914750185,5.0,31.0,0.0,-11755.351039762549,-0.27202795400950364,1.0084232921351899,0.22494117322115978,0.14098960864423538
11,11754.862507150117,0.9345042423083991,0.08659249051606914,4.0,31.0,0.0,-11753.766620367194,-0.2722498877494769,1.0102290887355874,0.21641777725665073,0.1395896972355239
12,11753.149126571112,0.9518454686366478,0.08534834942478473,5.0,47.0,0.0,-11751.36546083289,-0.29234429466168804,1.013422916496433,0.22757817967094118,0.13763560120983756
13,11755.019491315452,0.9478296325886986,0.08058346589575957,6.0,63.0,0.0,-11751.853475855778,-0.2798033661031584,1.0108394410208146,0.22819100123027233,0.1408672511659607
14,11756.518912891559,0.9967305550201911,0.08507774914750185,5.0,31.0,0.0,-11755.639860960911,-0.2595087686003847,1.0048354894617653,0.22466621659732205,0.13847344133964323
15,11753.570643789819,0.8612135085464404,0.08659249051606914,5.0,31.0,0.0,-11749.93779039321,-0.2517711879211719,1.002477304925624,0.22622049545627532,0.13728424931809866
16,11752.581724706397,0.9499184765149442,0.08534834942478473,2.0,3.0,0.0,-11752.41354846038,-0.2906923048186945,1.0141071935259522,0.22756940804432724,0.13766747746863334
17,11755.446745269695,0.6954546758777261,0.08058346589575957,5.0,63.0,0.0,-11749.236191787546,-0.2623211307082047,1.0072387012225636,0.2154678853495095,0.13917511636509503
18,11756.613695869222,0.9999729999569892,0.08507774914750185,5.0,31.0,0.0,-11756.108941882732,-0.26487654261083426,1.0060859891997953,0.22622274659997343,0.1381765030515009
19,11754.541814006108,0.9152844823216981,0.08659249051606914,5.0,31.0,0.0,-11749.984671030865,-0.27446931032355454,1.0106059664501577,0.21480085321560308,0.13934047120388787
20,11753.570955676136,0.9919034423794303,0.08534834942478473,5.0,63.0,0.0,-11748.361006781879,-0.2586374476912175,1.0036922317549055,0.2263658853670954,0.14196070041769626
21,11752.941954222717,0.9998012578994491,0.08058346589575957,5.0,63.0,0.0,-11751.44730809769,-0.29740939327935856,1.0136203894606317,0.2401689030242651,0.139589256822385
22,11756.107285897056,0.8374176176715469,0.08507774914750185,5.0,63.0,0.0,-11754.143589347612,-0.26927172998029525,1.00745717934395,0.22211666684068587,0.1404197620571556
23,11755.270068760394,0.9854463910203373,0.08659249051606914,5.0,31.0,0.0,-11753.5584992436,-0.2699579871514283,1.0059990682330753,0.23546827240143708,0.1408156694812788
24,11754.400812082933,0.999068396589544,0.08534834942478473,5.0,31.0,0.0,-11751.533354712896,-0.2530472945862711,1.0041379059069144,0.21401967781230746,0.13951247768423986
25,11752.131017638356,0.9994170646907216,0.08058346589575957,4.0,15.0,0.0,-11751.885337922784,-0.3007082574314007,1.014023422267738,0.24102455454802652,0.1394738069949337
26,11756.41001209089,0.825553526659939,0.08507774914750185,2.0,3.0,0.0,-11754.580577774399,-0.26806229501632506,1.0073243173274875,0.22176562940760594,0.14044238892386174
27,11756.756327088853,0.9156120555414301,0.08659249051606914,4.0,23.0,0.0,-11754.133162326367,-0.27160943834381424,1.0075260264410393,0.2265593619055284,0.1401430005826884
28,11757.011383930028,1.0,0.08534834942478473,5.0,31.0,0.0,-11753.373460037286,-0.2753033563557592,1.0088881318270022,0.22586062386366876,0.13900858885390838
29,11753.545921694109,0.9749343255977079,0.08058346589575957,4.0,15.0,0.0,-11751.450694847783,-0.29215026025680846,1.0120407147123067,0.24070658652538449,0.13950297618443086
30,11755.740900037687,0.8422254305882653,0.08507774914750185,3.0,15.0,0.0,-11754.819591645923,-0.2674214094854371,1.0081684305968188,0.2225350145167371,0.13981127262452916
31,11756.166928027698,0.9982399563826118,0.08659249051606914,4.0,19.0,0.0,-11755.445406119465,-0.2723659180715206,1.0086608845593956,0.22457921608961234,0.14113982998630392
32,11756.676944202676,0.9837563003760075,0.08534834942478473,3.0,15.0,0.0,-11755.546015004535,-0.27591995398177904,1.0099437542090068,0.2239501100625205,0.13888127768667127
33,11756.252140986177,0.9999948684086158,0.08058346589575957,5.0,31.0,0.0,-11752.261646695646,-0.28220121533606785,1.0112419897805989,0.22431810040311564,0.14000956615974253
34,11756.604903634512,0.9822782766347098,0.08507774914750185,4.0,31.0,0.0,-11752.388840377622,-0.2667931547568877,1.0059005336106215,0.2274498598265228,0.13959261631879707
35,11756.249902021276,1.0,0.08659249051606914,5.0,31.0,0.0,-11755.743401048601,-0.2615091634602755,1.0053117730750576,0.22551104459131557,0.13805903647076953
36,11753.995917574945,0.9999398891015424,0.08534834942478473,5.0,31.0,0.0,-11753.139480759892,-0.2956440772892248,1.0141765468728519,0.23189906236841512,0.14073032456548923
37,11751.064863430947,0.9977164298320019,0.08058346589575957,5.0,31.0,0.0,-11749.150734821133,-0.265692481206163,1.0073632809794966,0.21837830023140764,0.1431728305519517
38,11755.781997128986,0.9691420260752245,0.08507774914750185,4.0,31.0,0.0,-11753.088927243287,-0.2657122327614695,1.0066330078531318,0.2268861528140329,0.13781141599363586
