draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta.1,sigma
0,1183.7227424067846,0.9998668416913272,0.10032249343979786,3.0,7.0,0.0,-1183.5257967577834,-0.2881770451094273,1.029892423472755,0.18252426386836657
1,1183.2317723504618,0.9982495116489379,0.09198898111974162,5.0,63.0,0.0,-1179.1761444792448,-0.21593031251623668,1.0095027620536439,0.18999771970301937
2,1183.8590285270636,0.9978442417685822,0.09908368378383055,5.0,63.0,0.0,-1182.5075051389279,-0.2943939750493166,1.030179644395195,0.18434984219487172
3,1182.4755506444903,0.9984840997774919,0.11300627256675011,5.0,31.0,0.0,-1181.171055294379,-0.18871742383177842,1.0004252058831384,0.19021711019083343
4,1183.949744032209,0.8348639052802189,0.10032249343979786,2.0,5.0,0.0,-1182.548599889063,-0.2870480181832347,1.0282119437576358,0.18319781843612457
5,1183.3889343583248,0.9663283502222114,0.09198898111974162,5.0,35.0,0.0,-1182.5041847550585,-0.290828941500244,1.029755126972567,0.18074248231138476
6,1183.2731611423362,0.8417837495429042,0.09908368378383055,5.0,31.0,0.0,-1181.930760891809,-0.29122907428716566,1.031597329225827,0.18845066176366027
7,1183.5641978627523,0.9709791294995042,0.11300627256675011,4.0,15.0,0.0,-1181.6478770695437,-0.20254165090697143,1.004230197501144,0.18638336099116498
8,1183.6447876850398,0.9715495709309624,0.10032249343979786,5.0,31.0,0.0,-1182.8241085073596,-0.22608347966489165,1.0111883360243574,0.18992382012359005
9,1184.3176359745892,0.9992910520389349,0.09198898111974162,4.0,31.0,0.0,-1182.9159305455778,-0.26678379351715276,1.0228071476372,0.18336214628269584
10,1182.7347919999065,0.902519651931722,0.09908368378383055,4.0,31.0,0.0,-1173.8617842630506,-0.19882093530661799,1.0024412670512584,0.1813601551225328
11,1182.9919099954916,0.99907211301925,0.11300627256675011,4.0,15.0,0.0,-1182.7943345522167,-0.19532901750517412,1.0025410694481784,0.18912060523994143
12,1183.3523125556662,0.9961217283487894,0.10032249343979786,5.0,63.0,0.0,-1182.6559934241973,-0.3028235354781069,1.0337485268980733,0.18228690701520922
13,1183.9128223130413,0.9998357594705477,0.09198898111974162,5.0,63.0,0.0,-1183.5547296962916,-0.2127287447604159,1.0073280711029837,0.18500076167787444
14,1181.7632339532372,0.5780253755175737,0.09908368378383055,5.0,31.0,0.0,-1176.9017544104822,-0.19946989688236932,1.005713235497592,0.19187806844431285
15,1183.798171015808,1.0,0.11300627256675011,4.0,15.0,0.0,-1182.9389376170905,-0.20859039225578382,1.0063516893136906,0.18600890960979832
16,1182.87590137242,0.9979201962014083,0.10032249343979786,4.0,15.0,0.0,-1182.8356570468259,-0.304684514403785,1.0343977210690753,0.18070704350269856
17,1183.6061669302153,0.9964155163828649,0.09198898111974162,5.0,31.0,0.0,-1183.1738493399985,-0.2336170198005529,1.0130628034105433,0.19040895592639184
18,1179.168277500605,0.8065252065601105,0.09908368378383055,5.0,31.0,0.0,-1178.6249317563243,-0.21367332830306524,1.003254296449107,0.19265412678296182
19,1183.7261875343436,0.9013363999333167,0.11300627256675011,5.0,31.0,0.0,-1182.7769029734795,-0.25473595857364856,1.017499795811521,0.1839570440645166
20,1183.3701609031268,0.999744122623719,0.10032249343979786,5.0,31.0,0.0,-1180.7170823014255,-0.2013945281086621,1.0036487710745496,0.1876465274279282
21,1182.8271326854174,0.8500381081768115,0.09198898111974162,4.0,19.0,0.0,-1181.8805263242616,-0.25044384574848194,1.0153024332154548,0.18759864195734594
22,1183.0947723492006,0.980284081154704,0.09908368378383055,5.0,31.0,0.0,-1178.3181388313676,-0.2224949792109064,1.0115251646456642,0.1802848275677376
23,1182.928996506626,0.803805921074992,0.11300627256675011,1.0,1.0,0.0,-1182.8546234137816,-0.25628988430984695,1.017030111892463,0.18394938829054655
24,1184.2032624490491,0.9834619653063604,0.10032249343979786,4.0,23.0,0.0,-1182.1281484203332,-0.22580017256432608,1.0109483608964809,0.18499674279589468
25,1182.5751984781712,0.9802180824852577,0.09198898111974162,4.0,23.0,0.0,-1180.8337614939371,-0.25323128913533993,1.0158982425394352,0.18333683825667493
26,1182.1383426675777,0.9266205485232111,0.09908368378383055,5.0,31.0,0.0,-1181.6183354079649,-0.20117655050323924,1.0066614085478347,0.1820051398246872
