"","alpha","beta[1]","beta[2]","sigma","lp__"
"1",-0.279362532091127,0.99832062299656,0.289022783297081,0.298152172749706,14037.0245048329
"2",-0.271357479694365,0.997568526536261,0.282626504705283,0.296649190009378,14037.5260680524
"3",-0.271624738887583,0.997334607216025,0.282465770478277,0.296750473050741,14032.0707535704
"4",-0.27141172894424,0.996731350465254,0.285116822643763,0.29732848172165,14035.7096162142
"5",-0.270984797390181,0.996800994895536,0.284980077454233,0.296611278745958,14037.2620051761
"6",-0.270694023767416,0.997167378849463,0.284049189047653,0.297792026510045,14037.7053669979
"7",-0.271576313372491,0.998234222599113,0.280504675208091,0.298847128715178,14036.703577467
"8",-0.271882599560849,0.998969919917262,0.278533128905271,0.298282985670195,14035.2041200565
"9",-0.27108191276359,0.998378042407287,0.280340827222044,0.29780589125264,14036.3401153787
"10",-0.268728007378092,0.997156636166121,0.281756013337105,0.298105104570724,14037.6506590064
"11",-0.272726969540762,0.99768603355498,0.284051710029485,0.297451587681002,14037.9892536248
"12",-0.272165119099569,0.997646418349407,0.283797119228874,0.296917725075155,14037.8878864765
"13",-0.266452986213614,0.995951888593596,0.283534529800842,0.299367153807454,14035.8508989408
"14",-0.270467502698239,0.997016176062577,0.283658509907648,0.298868046016616,14037.4171587751
"15",-0.271277024820991,0.997355546551692,0.283727629144851,0.299066838449401,14037.7876598051
"16",-0.274185998890616,0.996655452536427,0.288944215107788,0.301193389136848,14035.4094673575
"17",-0.277568777993776,0.998309928532109,0.286437651643189,0.301025317640225,14035.4044544605
"18",-0.273684478009106,0.998660230269585,0.281219046471718,0.29428235781447,14035.1986291288
"19",-0.272320395320554,0.998792629808169,0.279155890749294,0.29593205450239,14034.9690371071
"20",-0.276236398696882,0.998747580840773,0.284519155439993,0.295801746017437,14036.251733978
"21",-0.277801610436001,0.997751356203727,0.289049592145838,0.297507306100697,14037.2058617345
"22",-0.267338736952009,0.996930860522247,0.279771449996462,0.294442801035198,14033.6066723079
"23",-0.267173600143528,0.997045080384155,0.279908347296256,0.294380363365497,14035.9886756671
"24",-0.268842669011635,0.997412724132428,0.281265562171271,0.294851542679559,14036.6117966565
"25",-0.269856559879704,0.997814463075227,0.280972694810343,0.29421906412692,14036.0444025897
"26",-0.269706296863336,0.997047876682113,0.283331768320451,0.292582439587827,14035.3433466415
"27",-0.269947467049518,0.996624205336408,0.284673175534856,0.292588770258562,14035.0132404087
"28",-0.271058908123266,0.99821268551435,0.280321228718182,0.30073275111804,14036.2278820854
"29",-0.26807366957393,0.996841389880389,0.281780027214911,0.299959887932265,14036.8751501771
"30",-0.276106926282722,0.997931845452616,0.28668019700818,0.299125054558373,14037.4761985972
"31",-0.2707857866506,0.997303915267377,0.283028612952698,0.301867787406057,14036.1283210722
"32",-0.273913288040973,0.997691222351762,0.285656092929635,0.299232514403411,14037.5716256487
"33",-0.273859838199666,0.997263508555734,0.287540335717618,0.298553406525597,14036.6627420251
"34",-0.276589582409028,0.997505071343255,0.289982446154353,0.296267452378163,14034.9454993889
"35",-0.273348672111016,0.99590663062976,0.29094924198126,0.298247107629337,14034.6961620625
"36",-0.272592568785045,0.998710951853013,0.280844961260419,0.296606862913502,14035.7207395363
"37",-0.273740123561388,0.997869714341231,0.283898510153782,0.297025985849949,14037.0328214537
"38",-0.27075533414021,0.996401989673336,0.285892423320497,0.296738744112386,14036.1262395953
"39",-0.271864823104281,0.996254281829594,0.287825527752583,0.296535718830321,14035.95863903
"40",-0.279046136322295,0.998494484084256,0.287975762871657,0.298449346251628,14036.9339876551
"41",-0.280707430342167,0.998144266106606,0.291116419929668,0.299095931417552,14036.4391707813
"42",-0.283070056003359,0.997954782421379,0.294529578323659,0.300538948744689,14034.5352889992
"43",-0.283402257280386,0.998018512258533,0.29430332616125,0.300574139237289,14034.4615068435
"44",-0.266241700647384,0.997452416893806,0.277833772666749,0.294733520762325,14035.995750744
"45",-0.269953527127498,0.997918074044071,0.281304363190823,0.297916244632885,14035.2256629162
"46",-0.268950684810973,0.996901926496074,0.283578139044379,0.297793956367824,14036.3619909817
"47",-0.277131269727764,0.998135670194468,0.287760626627881,0.298560080253014,14036.9883298492
"48",-0.271397393402743,0.99730155507092,0.284301487001893,0.298794458640458,14037.6889760299
"49",-0.266855531805669,0.997159664061086,0.279811477798968,0.296595866389158,14037.0875815744
"50",-0.27584184670095,0.997376909534855,0.288584554417501,0.300310633782253,14036.9245836465
"51",-0.26647035859127,0.997357421931047,0.278340802337223,0.294841904809919,14036.21619675
"52",-0.283877126745154,0.999085784093572,0.291353188242364,0.296206402908951,14034.848440893
"53",-0.275172487373838,0.997259499966553,0.288001654005456,0.294921549635473,14036.8253441967
"54",-0.274050269048229,0.996402013826222,0.289090252621247,0.294956945312263,14033.5740173546
"55",-0.275899541213745,0.997416592189659,0.287513523043611,0.295611253156144,14035.3263639685
"56",-0.27423526764759,0.99729153849143,0.286717820654063,0.295684316247417,14037.1460723573
"57",-0.275359611365194,0.997543003041961,0.287533548686277,0.298830024106702,14037.6561923701
"58",-0.272141254745675,0.997530018004458,0.284752451453179,0.296106398808495,14036.6907896516
"59",-0.27122462348229,0.99680036863692,0.284961186659255,0.296761577400933,14036.6967004868
"60",-0.270212363646581,0.996322155963382,0.286139461851192,0.295927503846023,14036.5657652495
"61",-0.269781437355261,0.997884833633153,0.280199458293378,0.29781058150606,14037.3518832078
"62",-0.27650331759639,0.997165056284551,0.290521209976481,0.29703289992772,14036.5300180566
"63",-0.276830900507302,0.997273742550846,0.290270855662004,0.297031221849018,14036.9653207015
"64",-0.276931109516002,0.997441445962007,0.290285238731806,0.297042721848707,14036.0506483445
"65",-0.269455546784346,0.997157614090164,0.283514630458647,0.298599762825611,14035.3049807931
"66",-0.270223887312185,0.997120947558874,0.282820261999315,0.29862925996888,14037.1156321398
"67",-0.266562461582139,0.997111102583894,0.279385106928501,0.3000224501257,14036.6643219211
"68",-0.269114639992193,0.99738507418837,0.281365305421043,0.297662250475652,14037.682971313
"69",-0.268146697239699,0.997149884740492,0.280986467538878,0.297215317096015,14037.5675504641
"70",-0.278321033629078,0.997880547162021,0.289409997676842,0.299099043607126,14037.1086154299
"71",-0.277822341064817,0.997716491637835,0.289093945648962,0.296695753187245,14036.9562824057
"72",-0.276124825561197,0.998148600984529,0.28711550367102,0.296924176773278,14035.6509853288
"73",-0.269058708181211,0.996596127688441,0.284837305882568,0.29688758439562,14035.797818938
"74",-0.284009954671029,1.00047738818394,0.287139729173572,0.297577171715741,14030.2728905756
"75",-0.282758350569973,0.999760058717875,0.287121470259804,0.297767603661074,14033.4858190303
"76",-0.269411586942245,0.996082507577848,0.286691153030466,0.299818861404181,14035.3675907518
"77",-0.270637673352806,0.996471075300115,0.285841007381392,0.299198921900477,14036.7165663634
"78",-0.271298130363556,0.99629153554555,0.287221613679397,0.293214181187823,14034.6572371633
"79",-0.2763248566052,0.999531533645578,0.281659214514114,0.298192250981591,14034.4372436122
"80",-0.276063063523297,0.99926489082598,0.282564753760252,0.297547298557632,14035.0560349661
