draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta.1,beta.2,sigma
0,1888.2498685849393,0.9988162219316066,0.021264886404270496,8.0,255.0,0.0,-1887.1228632517768,0.017558621258392425,0.28193888919962723,0.6871318946301932,0.09024891647821956
1,1890.4049051279098,0.992101303445678,0.021765770852745368,8.0,255.0,0.0,-1889.1759188818803,0.03404979641655341,0.3243350304130963,0.6397261000178653,0.09112994420042436
2,1888.7352824450973,0.9943672615274267,0.022577872639330785,6.0,119.0,0.0,-1886.3883849087913,0.0022726808642543547,0.3486117198573537,0.6229337201614087,0.091393058605219
3,1889.305471774526,0.9999610696718443,0.02347331351994421,6.0,63.0,0.0,-1889.0727915005461,0.019664261428036716,0.2985182458489557,0.6699669320978278,0.08941160874115794
4,1887.2759660208144,0.984951371899603,0.021264886404270496,7.0,127.0,0.0,-1886.3002359059562,0.07274314589320302,0.28894938072766335,0.6646758056362486,0.08918929963325709
5,1889.507705194402,0.9728893954121274,0.021765770852745368,6.0,127.0,0.0,-1886.671486110357,0.01413241641092065,0.30121318000364955,0.6688662438552612,0.09219430546653334
6,1889.3751998345233,0.9611538699205676,0.022577872639330785,7.0,255.0,0.0,-1886.0925113483397,-0.00011528609747868979,0.3391127269024378,0.6346330020072842,0.09093891648605434
7,1889.6006792781957,0.956224385641461,0.02347331351994421,7.0,255.0,0.0,-1888.374538644466,0.03838115817962187,0.3405135901340212,0.6216785439569297,0.09180643837018873
8,1887.0978848384377,0.8330049628809028,0.021264886404270496,3.0,11.0,0.0,-1885.6857202360331,0.0731526533329488,0.28767693650714543,0.6646270492378225,0.08912808765306124
9,1890.0971654058374,0.9877684239001129,0.021765770852745368,7.0,255.0,0.0,-1885.818949406573,0.030101799598836156,0.3237030028883693,0.6415284094032471,0.09328177913124253
10,1888.5064143494187,0.9136375384751961,0.022577872639330785,7.0,255.0,0.0,-1883.882212425609,0.05453348605940112,0.30881113224794104,0.6491294767576891,0.08839923442426233
11,1889.910297526942,0.9541956427685179,0.02347331351994421,7.0,255.0,0.0,-1887.6198634129323,0.04838376352477158,0.3001241701219617,0.66017665326696,0.09276392555459737
12,1886.4239037184414,0.8759112976307055,0.021264886404270496,7.0,127.0,0.0,-1883.7979034387733,-0.013651944238805927,0.32232292179176414,0.6556116028623856,0.0946728877726259
