"","alpha","beta[1]","beta[2]","beta[3]","sigma","lp__"
"1",-0.260642232417878,0.909711606846305,0.0840294739328579,0.301952552537388,0.271296612078046,14821.8507602622
"2",-0.260015811926468,0.909612066419913,0.0857937579067221,0.295599591151305,0.268632165680346,14821.5056268062
"3",-0.257159234056107,0.909186663098818,0.0854341410513765,0.296571905534846,0.268562439316591,14822.462260375
"4",-0.257262955042321,0.90907626960121,0.0853691473725635,0.29604783143462,0.268550367761132,14822.5084956755
"5",-0.263814210258773,0.910537679761273,0.0840251440946213,0.302873547590642,0.266582537645093,14822.6795464116
"6",-0.262597602214637,0.90967543587018,0.0857960925481271,0.298575466569878,0.266507076434586,14822.0867933651
"7",-0.252310624934228,0.908493426505616,0.0842887803280679,0.29627015335191,0.267214964326269,14818.1710299681
"8",-0.254152168089803,0.909684537318582,0.085173631070681,0.290884385986506,0.265893268606812,14817.7006220313
"9",-0.25912225551884,0.908458031604147,0.0854656866683938,0.300680945603215,0.267166700834323,14822.7827547313
"10",-0.260707170114303,0.910418922164652,0.0847279250335013,0.297925540038608,0.271863394654313,14823.3985035268
"11",-0.261686924568384,0.910774522393642,0.0842168507688664,0.299135020172386,0.272146318212724,14823.4894782462
"12",-0.261476731843802,0.910057371976217,0.0840283386264269,0.302162702886256,0.271841957040013,14823.0914288061
"13",-0.261848148093044,0.910707040754994,0.0840533377074646,0.300561189774041,0.272174330696954,14823.3359227464
"14",-0.264477406726343,0.911295234324882,0.0846158976746571,0.299567999845404,0.271872887856875,14822.1263694951
"15",-0.260172696005979,0.910532307083263,0.0843476761085649,0.298522018404585,0.273317161177442,14822.2350322674
"16",-0.261871732210376,0.905538709254628,0.0888589420707741,0.303193091895085,0.267721474327558,14820.6259628014
"17",-0.263091384783997,0.905933569480975,0.0890612120644308,0.302419427435331,0.267952730375282,14820.630297965
"18",-0.261193753558,0.905160424449147,0.089094624653456,0.303014213116307,0.267061565353426,14819.9498140701
"19",-0.262700282081913,0.904996173179832,0.0888939441798336,0.305407656246072,0.266678392658813,14819.8858936053
"20",-0.256196735081027,0.909568363634632,0.084138973627008,0.298001913513431,0.268473026200435,14822.7436646052
"21",-0.264100049488835,0.910447581097587,0.085161591751878,0.300368678197052,0.269367594755702,14823.0801631434
"22",-0.260981613689566,0.911144526542201,0.0832416185573057,0.300916052967005,0.268705320196624,14823.1668531211
"23",-0.261111533415828,0.911226201283736,0.0833276489395783,0.300048612693411,0.268940062727136,14823.8952837192
"24",-0.262348773055114,0.911179063779737,0.0834878117295618,0.301742321598869,0.268648562707463,14822.510529523
"25",-0.262337050467706,0.911028212993567,0.0832649971994683,0.301599554043644,0.26858796812855,14822.3257435251
"26",-0.261734093838531,0.911006952777921,0.0848465455656687,0.296944086284366,0.269577445818003,14821.9721843728
"27",-0.258317258730303,0.910139313049706,0.0843494614257068,0.297998274863635,0.26979870428146,14823.1857691072
"28",-0.263585619067141,0.911508376886252,0.0834570215034545,0.300840435523627,0.269444723536683,14823.5361737592
"29",-0.266165499740602,0.91131297186312,0.0839432463402358,0.302557325053143,0.270278324515087,14822.8864984615
"30",-0.264572035190117,0.912687062728686,0.0825057036772775,0.301593267497928,0.270136612687642,14823.3321115862
"31",-0.258773329686784,0.90606545206843,0.0882126962194414,0.299137348879935,0.268850466192749,14822.228948012
"32",-0.263582483493213,0.906679300829512,0.0881005201238671,0.303169860500537,0.268892177830989,14822.5546602437
"33",-0.262349281457545,0.906242354894097,0.0879575889349012,0.30387143337798,0.268584381979436,14822.2197620715
"34",-0.262064340912188,0.905451145436376,0.0885676967113713,0.302985543274014,0.268466975856574,14818.8393223259
"35",-0.264462032590287,0.905850337600959,0.0890586368038457,0.304681856811527,0.268097046909745,14818.4862547219
"36",-0.26453319140666,0.905816260318786,0.0890458797779953,0.304660832298669,0.268108671763338,14819.749685716
"37",-0.256420851062404,0.905521472321589,0.0887488830327449,0.296282930617695,0.271327855677901,14819.8324939627
"38",-0.261473344159225,0.910882365847458,0.0837114856855671,0.300282692240869,0.266844265617856,14823.1580639108
"39",-0.261374711693678,0.908915077380975,0.0852542091872209,0.302026451017279,0.269204989842262,14823.7848764176
"40",-0.258704621835817,0.908071021318601,0.0869346906898147,0.296801948702361,0.271267464023714,14822.6858474887
"41",-0.265395005821411,0.911983629745548,0.0828547786730793,0.303826628425247,0.268412998565295,14823.0305983764
"42",-0.25606492121655,0.908249970497316,0.0856607909988307,0.297473091807443,0.269750411621313,14823.184620123
"43",-0.258699830997568,0.908519153542793,0.0856981801408868,0.298725907036066,0.270049676377593,14823.4908504543
"44",-0.258329025910901,0.910687886797071,0.084225109550895,0.295574583934894,0.268075724691674,14822.9388408603
"45",-0.26634925568964,0.906773153863383,0.0883420688124043,0.304314311624499,0.268968559857038,14821.5736581943
"46",-0.263406843373136,0.905780349874918,0.0884247931079264,0.304279137073389,0.27018025491224,14821.2844353954
"47",-0.25978560053035,0.906173780180977,0.087999559851611,0.301456801540584,0.270411140337567,14822.015903408
"48",-0.268442011221795,0.910750155067091,0.0844613446058329,0.305354211511888,0.270324253598497,14822.4504372995
"49",-0.258853437105769,0.910679728022701,0.0839269641388268,0.296867830063827,0.273309055167521,14821.4874515133
"50",-0.262699657818185,0.909561095261775,0.08521481292681,0.301726136972531,0.268970727301058,14823.8306363907
"51",-0.261729432167989,0.90812646989305,0.0869323818671172,0.30005517795926,0.268275498450816,14822.956058589
"52",-0.259933305166885,0.908462167702248,0.0865911939765131,0.298059690523091,0.269419032025554,14823.0917702911
"53",-0.264694395754887,0.912080201403307,0.0828357132827908,0.302637059167578,0.270346041282622,14823.5491218695
"54",-0.259165022748649,0.912763648040866,0.0820694819717241,0.296501556599904,0.271585780688124,14822.6250926902
"55",-0.25957212828638,0.912468325192039,0.0832888823911932,0.293687016515451,0.270826885055941,14821.3283023228
"56",-0.259157072975966,0.912461541711772,0.0832370616951216,0.293714144551309,0.270809258891738,14821.7285174801
"57",-0.255566346517781,0.907380277304022,0.08617745723263,0.297769035232231,0.26888334744288,14822.1424225384
"58",-0.259105930017155,0.908233379405033,0.0866795243669557,0.296916567983768,0.269165354509037,14823.0020251615
"59",-0.263201387598399,0.908424452123689,0.0868103632250615,0.300693233728026,0.269703213379949,14823.524910222
"60",-0.266404621900289,0.910375986614734,0.084390417551536,0.304949606047827,0.271663072156213,14822.8877552358
"61",-0.254891733017416,0.908212827583197,0.0858862692024937,0.295734878690561,0.267821884775134,14822.2988525292
"62",-0.266539711514498,0.911726323893546,0.0833966304649966,0.303515106191153,0.269888162416317,14823.1541690323
"63",-0.264305312087366,0.912164050408812,0.0824539628388667,0.303405102240826,0.268918609653925,14822.8730593341
"64",-0.261226521008276,0.912874811733456,0.0822346039855108,0.297573840304451,0.267922885089468,14822.5524909514
"65",-0.263790935489126,0.907888327205384,0.0870686116695233,0.302219943230222,0.26879276412487,14823.4214453427
"66",-0.257978828898679,0.906001577732481,0.0879827452309518,0.299385134659755,0.268705360968825,14822.274985517
"67",-0.264639247983486,0.910748472037011,0.0835935867011471,0.304553094254536,0.270474481709404,14823.1148061847
"68",-0.257569534531115,0.910295532679339,0.0837422594357205,0.298826893362658,0.270448579689973,14822.1391432582
"69",-0.257667487483526,0.910326188371257,0.0837084108522209,0.298595995649103,0.27042827323631,14823.0725806404
"70",-0.262839427019538,0.910324145238269,0.0848122311150321,0.299537727710864,0.271021470492565,14823.0507314694
