"","beta.1.1","beta.2.1","beta.3.1","beta.4.1","beta.5.1","beta.6.1","beta.7.1","beta.8.1","beta.1.2","beta.2.2","beta.3.2","beta.4.2","beta.5.2","beta.6.2","beta.7.2","beta.8.2","sigma.1","sigma.2","sigma.3","sigma.4","sigma.5","sigma.6","sigma.7","sigma.8","lp__"
"1",-0.156724834189824,-0.103169846644069,-0.151457995426963,-0.0585481354333405,-0.060416899760878,0.000120726907988826,0.00959499594129037,0.00576779283175159,0.952430425189716,0.936708728865816,0.964900872000655,0.942353351930388,0.967507434458599,0.958664750782619,0.97431973754857,0.99452427902533,0.237519422961279,0.20186627975504,0.180366802275395,0.157277938693624,0.12049646656787,0.0863181923915508,0.0553709765220815,0.015106810216391,43321.5915712931
"2",-0.173283565351833,-0.10780404033717,-0.132097172575705,-0.06289676271599,-0.0234735374360139,-0.00138996059832466,0.0187344497279506,0.0048291835581987,0.958917154341636,0.936847079248082,0.957173606003454,0.945694782056273,0.952115919424758,0.958967289288108,0.971346289013732,0.994585455480675,0.230307015266112,0.194893747399248,0.177557726663945,0.153973467388066,0.119774410347074,0.0873443891151733,0.0535606112846178,0.0148702477550619,43334.8989312507
"3",-0.16017056094805,-0.107114733786258,-0.167604245598978,-0.0755969089336522,-0.0271930274832266,0.00741732916013317,0.0128541972414968,0.00625455295682933,0.955645553321979,0.938405814578461,0.967961626377703,0.949289422029992,0.955229259375869,0.956824722407977,0.973862999632203,0.994043952760824,0.229611644742783,0.195684618516368,0.178533325156464,0.153875705398787,0.122723166160314,0.0874486908754544,0.0528968175282094,0.0147068357724902,43335.6798385305
"4",-0.163584809629181,-0.170390853076157,-0.137899493138572,-0.0620686704075644,-0.0338420253724325,0.00618826776386041,0.00811248848844281,0.00952453238710574,0.961280909598678,0.961669064785258,0.958279494997984,0.945571295352826,0.95619919090976,0.956493030105404,0.975624822247036,0.992911956520746,0.234057114787329,0.199568513102027,0.178668939820964,0.156185792561884,0.119518003448046,0.0854720916588205,0.0523232481081411,0.0151244540499143,43327.6121407059
"5",-0.154723937832755,-0.129593278660029,-0.137202565976334,-0.0463012576336236,-0.022919109743091,0.0116601394180909,0.0160047659351004,0.00572550250074287,0.954833041857079,0.946364051746693,0.959223673036219,0.940642119102281,0.952624933755862,0.955032469480271,0.972125122916777,0.994537402219565,0.233347867378017,0.194584094782515,0.176301780648827,0.154515977250799,0.117500945023624,0.0868568936452725,0.0533803707435825,0.0152563124937119,43334.9963665623
"6",-0.166243540356589,-0.130510942734514,-0.119762336212717,-0.057795752366459,-0.0334063779727951,0.0103141485957864,0.017129184000659,0.00691037294176164,0.956466040361647,0.94592209355211,0.952547311969002,0.943820053854877,0.956634677021623,0.955651145601275,0.972041750641167,0.993832821083597,0.233014303782557,0.196329097151012,0.176638950984964,0.154512873903941,0.118486019222854,0.0865860703873688,0.0523351006965605,0.0151815799434811,43337.8290006028
"7",-0.192190310353695,-0.154520758329105,-0.130187221810994,-0.067156650778999,-0.0562185114163289,0.00603584649891711,0.0121398260979684,0.00649628157920302,0.964763636470539,0.954772231674331,0.953761329709696,0.94533645434871,0.9647703303053,0.956536473916361,0.974652792240988,0.994160760768785,0.229757751681156,0.194153233599074,0.175389228342397,0.1569486723339,0.121736846382755,0.0873612909860345,0.0523507451177935,0.0147303092414657,43327.9279450796
"8",-0.198371840800917,-0.0864973743913835,-0.159271509692458,-0.090632401158497,-0.0277699174624405,-0.00429719345872544,0.0182243438635874,0.00447996997369068,0.969182157588195,0.932637663830061,0.966072838494184,0.955949437860239,0.955726469390825,0.960205669928712,0.97149950450394,0.994768075806702,0.230140402678108,0.203195813602619,0.174810646287954,0.152049089767869,0.117594910901206,0.0870569452157136,0.0533836302913773,0.0149641302673257,43330.8340005979
"9",-0.173279980028855,-0.101110445463117,-0.142315390490219,-0.0503767890420318,-0.0329178718180227,-0.00319424767916321,0.0137939369511021,0.00670801966052046,0.959494331629193,0.936584181539585,0.958858188845018,0.939669997326635,0.955322617856235,0.96117273205313,0.9724957702604,0.993981588682904,0.229970888592276,0.200655457991132,0.179190815573312,0.15405382871027,0.122923544534795,0.0879001714913265,0.0530070816727684,0.0147777646948137,43332.8173753959
"10",-0.169344290725213,-0.113506824327473,-0.148404720982917,-0.0686727141846179,-0.0190214528980369,-0.00238948403648869,0.0140158744771665,0.00562052333575478,0.960967115404958,0.941045240859705,0.963190441084954,0.947338045597586,0.95262276255121,0.960032639217421,0.973997342590057,0.994429846329977,0.227396960895211,0.192800571299713,0.173853229715313,0.148958044318076,0.123635256560534,0.0865422967032857,0.0527793026795859,0.014851877088009,43330.0222548097
"11",-0.0982209491350316,-0.0966857105597302,-0.125579486850142,-0.052530007655921,-0.0400447257241483,-0.0103190608788008,0.0180895381491678,0.00563647848025061,0.932831445582221,0.937638972666298,0.952434106802639,0.942123931345338,0.959625413679793,0.962896974767398,0.971749104791311,0.99435014760134,0.23755495923003,0.197184244115423,0.173559377123425,0.153036431333239,0.121464068431557,0.085650893921414,0.0530912572437449,0.0147937188350317,43328.0903195845
"12",-0.157714899959024,-0.129233204420514,-0.153385262018626,-0.0628864748911938,-0.0282492024249415,-0.0176436148950716,0.0122255554340219,0.00787414002694265,0.953627168811841,0.94604710376884,0.964562386914642,0.945098720050598,0.954182139135168,0.965384912935092,0.974088183542133,0.993609079679398,0.231161341156386,0.198573694831358,0.173917026242358,0.152542849901166,0.120639815061751,0.0857881346859739,0.053493635826684,0.0151686567566647,43340.2149437299
"13",-0.233345400410135,-0.125078050843696,-0.147761539009163,-0.0515062613725635,-0.0438490442684798,-0.0126581574948887,0.0169670851545077,0.00696942426330033,0.977789119755455,0.945343872771284,0.961191464507051,0.940942575717761,0.959137558335333,0.965304932637205,0.972115219058803,0.993920408756668,0.232971904311923,0.198042499671382,0.179971502705605,0.15243612203101,0.120364232411214,0.0870437438726709,0.0527687502562508,0.0150919853232037,43330.1535705929
"14",-0.153492419151174,-0.119339644598806,-0.148814919621411,-0.0466591712130684,-0.0334863004197098,-0.0135456998836403,0.0124635806868459,0.00704320961394475,0.951835905023424,0.942678285291869,0.96241857192822,0.939345598080126,0.957096150486779,0.96398943451676,0.974705910454074,0.993946557145223,0.226573057497791,0.196403589758269,0.177680182601036,0.153331000013764,0.120674915160009,0.085504653518375,0.0534230703447024,0.0150528109714957,43337.6652053721
"15",-0.133608677701688,-0.119853119573734,-0.13684867859288,-0.0614020321310036,-0.0274481718204181,-0.00543285819380523,0.0159795000825063,0.00718265020305114,0.947188268807188,0.944116530822105,0.959497849392427,0.944129029850883,0.954725837838173,0.960275632053766,0.972081995143754,0.993785226879754,0.23126095002443,0.198457178859424,0.178318087627358,0.152718467886901,0.121655329462984,0.0868205425660036,0.0536701720759804,0.0151616863963039,43339.4029078202
"16",-0.138692311307313,-0.128264314720887,-0.174693909610716,-0.0555482990639799,-0.0262624619016969,-0.0142369289316164,0.011567823838804,0.0083414713049381,0.945360871233338,0.944614395731817,0.971501095183549,0.94171802241146,0.954348110191712,0.963732852293297,0.974047692019882,0.993449816871999,0.227966552196486,0.196213306097142,0.178357521811955,0.152860101278314,0.118715434631301,0.0863899283566951,0.0531467840829087,0.0149797554475476,43335.6219235265
"17",-0.18837996146912,-0.125743541413791,-0.184617969803579,-0.0505352464593718,-0.0423183384122178,-0.00862579929894877,0.0143520348916051,0.00404198283678938,0.965027468954952,0.945951557037087,0.974589035876376,0.941046789496797,0.959351737157917,0.962168769961658,0.972939500686593,0.995109356904054,0.231320978598792,0.199835282493455,0.175005992925537,0.155522441209256,0.120169845272232,0.085944172879283,0.0528318902882033,0.0150896741806703,43337.3085848408
