"","beta.1.1","beta.2.1","beta.3.1","beta.4.1","beta.5.1","beta.6.1","beta.7.1","beta.8.1","beta.1.2","beta.2.2","beta.3.2","beta.4.2","beta.5.2","beta.6.2","beta.7.2","beta.8.2","beta.1.3","beta.2.3","beta.3.3","beta.4.3","beta.5.3","beta.6.3","beta.7.3","beta.8.3","beta.1.4","beta.2.4","beta.3.4","beta.4.4","beta.5.4","beta.6.4","beta.7.4","beta.8.4","beta.1.5","beta.2.5","beta.3.5","beta.4.5","beta.5.5","beta.6.5","beta.7.5","beta.8.5","sigma.1","sigma.2","sigma.3","sigma.4","sigma.5","sigma.6","sigma.7","sigma.8","lp__"
"1",-0.186460391491776,-0.162133615706852,-0.102800806192735,-0.00394973484560544,0.0409235506947154,0.0495489064112276,0.0564617708737279,0.0066020158291921,-0.696723961702007,0.0192812873760918,-0.0580446513364113,0.253965293247517,0.473174878305023,0.669820582278237,0.795552830967971,0.951957287557017,1.69098668708318,0.970273059624034,1.0392620881862,0.717511782449889,0.48564208779444,0.306207875900421,0.188154105685098,0.0455931695118119,-0.0649391276632136,-0.0845139801559686,-0.0631579841833374,-0.0573832426464318,0.0159508123430432,-0.0439862736263693,-0.0219439508893524,0.00336931819562853,0.0181395351512332,0.0340620505081349,-0.0152707121446139,-0.0271591448315523,0.000193289210376238,-0.0268737804896141,-0.0276066317449937,0.00425115897372519,0.219166170504959,0.174332506278089,0.154277492988709,0.130772438905889,0.102818839513719,0.0759498330339851,0.0394683367666255,0.0114457271446611,29769.2854064003
"2",-0.143393824920212,-0.118437659210932,-0.0932214327669371,0.00724945873216097,0.0411697358694401,0.0531587312697897,0.0666026528948276,0.0100046013992074,-0.00619834188827646,0.0344880080896913,0.0282114177105034,0.253811051248534,0.459077085826487,0.657142351643806,0.790957300942559,0.948766251930877,0.989511213668918,0.946571490586903,0.953593607361855,0.710452936739282,0.499038098623846,0.318191338851223,0.190684990581774,0.0477728756699283,-0.0901528392314191,-0.0965446117196425,-0.0742754325943977,-0.0423908352374098,0.0286692671116498,-0.0482430351688444,-0.0214318837403698,0.00354972396411259,0.00360874798517141,0.0292509022666007,-0.0395144962257984,-0.0224143934386067,-7.9262738233354e-05,-0.0265339773522598,-0.0311849433663132,0.00483819920864032,0.220103956173277,0.1791174807585,0.15729970544739,0.130764074091212,0.103609862614619,0.0757729102100411,0.0396600000920923,0.0112722222171939,29776.6755236832
"3",-0.0964801319456956,-0.0964120571550394,-0.17986695973415,0.0327256433537852,0.0288180747473255,0.0537335378497037,0.0571603786888423,0.00874826371486168,1.19654915015011,-0.0753811252671448,0.0729756366741236,0.1843209968409,0.486885362869428,0.672077431537931,0.806440038701462,0.951943185563642,-0.228200522426724,1.04953744920631,0.930341345345547,0.772085417542541,0.475629599105989,0.302209052502536,0.176073983886042,0.0449728563866189,-0.0773665345219972,-0.10755433283642,-0.0547219598581808,-0.0352857792031944,0.0239853292078817,-0.0491884351877382,-0.0186466602300438,0.00194534959167689,-0.00529128302356833,0.00947975964380845,-0.0186458106570431,-0.0223320432916426,-0.00674079849258671,-0.0250672516772402,-0.02647352603872,0.00355810861259163,0.221756814715517,0.172984889226433,0.159452263322498,0.127951526580971,0.104249522797726,0.0743935912264067,0.0399765087894912,0.0117819097649729,29765.5864645968
"4",-0.10994214826926,-0.158841231560892,-0.154368200369851,0.0404386115225231,0.0610698044733036,0.0621872194660527,0.0629388743230935,0.00901378135782747,0.58903454996926,-0.0354821182911318,-0.0159967824941276,0.185327175669205,0.460573661543483,0.649241089136303,0.792212833497118,0.951900258056044,0.382316231807828,1.02728434469245,1.01501038138743,0.770575436575459,0.494146415541155,0.324793139261114,0.190494355383031,0.0448812231602455,-0.0811123636692336,-0.0986662811180754,-0.0566984919614279,-0.0496308837631637,0.0186108178079525,-0.0558213803338035,-0.0224195966727447,0.00297339585968943,0.0036792134487307,0.0366630554248122,-0.0194816247064042,-0.0374848814468967,-0.0215104385532686,-0.0403089330766917,-0.0298957047700821,0.0036629990051375,0.221561624908091,0.181268966908521,0.156525762319429,0.126996085324671,0.103734802742499,0.0775887207062612,0.0396251537930702,0.0114976866302826,29772.4971314646
"5",-0.097564334324394,-0.141890913488999,-0.126335397099911,-0.00364576493116113,0.0327767997476228,0.0458130959057918,0.0531630290470246,0.00887204759803569,-0.0583237207184117,0.0118021825384064,0.0432775096514104,0.286686030439954,0.490822804971218,0.662781969484025,0.800907832926981,0.949310525758521,1.02675106042784,0.972331034569718,0.945630343069722,0.681651921050019,0.473567161370938,0.314899822088891,0.183911869715537,0.0475764434512959,-0.0863346331918885,-0.0977115987283362,-0.0544756018532635,-0.0484878734679946,0.00994858408744604,-0.0482820861134587,-0.0171239557831227,0.00310254419298713,-0.0077917319549872,0.0313724556101341,-0.0177311967743501,-0.0293105290480529,-0.0192936014552777,-0.0278273937175156,-0.0276609949319356,0.00419985831962507,0.223500488600013,0.176123830107274,0.155332282986079,0.126749212910734,0.10318451486626,0.0746810552030053,0.0393143297635853,0.0117443409478368,29776.1244409132
"6",-0.165169431321436,-0.137913760567032,-0.0960604873398042,-0.0154183892833893,0.0380947216552695,0.0424124290251044,0.0564858255033811,0.00862497931375257,0.260922928139221,-0.000338365275156913,-0.0313811786003778,0.233885593379117,0.461376561404843,0.672368405083109,0.80261042118043,0.948995707550991,0.727573435485833,0.986888547440067,1.013904086732,0.736903047232192,0.498257192207816,0.304954040597999,0.180630058916114,0.0480940206612795,-0.0709139685350594,-0.105529591982647,-0.0746198177360421,-0.0348251946290336,0.0327287708317441,-0.0425026815527596,-0.0170387302604865,0.00316620782167235,0.0154789789401362,0.0200848892829364,-0.039808230410865,-0.0190159204042812,-0.0150342410446189,-0.021864479160481,-0.0258187014065643,0.00426506860555408,0.215130299093627,0.176438506875137,0.158378678485123,0.130459987889504,0.105659745341596,0.076804944082775,0.0381413380292096,0.011667745037462,29773.3070477077
"7",-0.114525865036646,-0.155643610331225,-0.146278485395623,0.0219477581807776,0.0370296839406633,0.050729000280298,0.0604827220327303,0.00727671558643725,1.03842062955032,0.0289614833259568,0.0561223827586937,0.194042568140858,0.48090537388202,0.683809793777002,0.78444097795768,0.949227266354849,-0.0630330482243332,0.964523388455228,0.942234454455935,0.770786670446325,0.479470430458657,0.290959351437689,0.198382722010058,0.048025414895772,-0.0829756953276777,-0.103494495599246,-0.0635859974224105,-0.0483072835691813,0.0168107882040238,-0.0511006488150104,-0.0179107216244259,0.00426953062726646,-0.00235998175365018,0.0254705858294736,-0.0333471016572133,-0.0419793344866595,-0.0106389920496672,-0.024722238391057,-0.0263079748468705,0.00582700825459815,0.218222922792887,0.171949174390168,0.15713928093,0.126826496996315,0.102005998524975,0.0757282713793277,0.0390560294470152,0.0113312610291377,29773.9595057074
"8",-0.10148224270287,-0.132495162056792,-0.133466478663888,0.0232000896417829,0.043716160317402,0.0269790145207479,0.0647209556235962,0.00850595087949658,1.07099473406393,0.00337984138481551,0.0781521935901313,0.200815447657804,0.487709686203366,0.673282382022693,0.790461451394658,0.949936144649047,-0.103380281182737,0.980885513041085,0.915807203566358,0.761614719785721,0.471145510780634,0.307438645504935,0.190938585246228,0.0469297853780448,-0.0701662662292782,-0.102488173343742,-0.0775983501197684,-0.0502333489779634,0.0149957419757519,-0.0355706440122984,-0.0182620407186188,0.00442666859719862,0.0106386761519925,0.0217260238889309,-0.0209127913448835,-0.0325005837536535,-0.0116907554327193,-0.0188592278066744,-0.0273092581801629,0.00494727567739522,0.224645471070233,0.176012644635858,0.158218825079339,0.134500278171167,0.104002167727489,0.0755070790179934,0.0384619907769327,0.0114473640679632,29771.1463208458
"9",-0.196034999645467,-0.147904208287158,-0.125760210662414,-0.000965737910676114,0.0519779514577853,0.0371380294198815,0.0524703277352826,0.00740835947982504,0.306728238476938,0.11634930566202,0.0607773707255917,0.23053643956181,0.459525147114744,0.67334730049064,0.805720293491761,0.951109134393081,0.689619880369482,0.871030002567785,0.931266834535788,0.738165292810249,0.497568386346224,0.306212453457377,0.178496580083271,0.0462424646996175,-0.05713853507446,-0.0925714832363057,-0.0730649081276488,-0.0468913653294236,0.0193643655975945,-0.0463686198327148,-0.0179038731530437,0.00327213170686656,0.00111647926385323,0.0205916490008028,-0.0407654008580725,-0.0244246527372002,-0.021456030746416,-0.0235809077805327,-0.0256789316227737,0.00436428297736016,0.217949935540262,0.174353567444436,0.155847333071419,0.129185224965718,0.104647266732441,0.0753640220797226,0.0394255917622591,0.0114503036806139,29776.4100029444
"10",-0.167868332054034,-0.14515623857502,-0.120717137947465,0.0634019727791535,0.0422527132437173,0.0626639188226131,0.0637769770374474,0.00828095021043433,0.870933351585471,0.033994348307478,-0.0596351426666053,0.133424948751501,0.480967314599319,0.666328788994459,0.795526526198452,0.950413230335934,0.121613917540428,0.956791983471866,1.05096639676877,0.81819316086985,0.480108875053561,0.307488074558233,0.186864329904218,0.0464858215965009,-0.095372457982626,-0.115764359464781,-0.0631596706892212,-0.0491790725031852,0.0192765468277105,-0.053598636348844,-0.023799374420379,0.00378837734023431,0.00784600081250722,0.0154370107587056,-0.0266579428867397,-0.0326686347925971,-0.0189181487483339,-0.0372632506996266,-0.0298764291008299,0.00447339117820266,0.214278896877562,0.178161161331524,0.152995761188365,0.132047217428674,0.103282024169352,0.0777115306612844,0.0384172584079389,0.0115932988488056,29769.1796991116
"11",-0.104311993842656,-0.175087968528492,-0.116285309947757,0.00397909448857732,0.0585309197938013,0.0477085470474572,0.0593788877680478,0.00786086711264833,-0.0719615866457808,-0.0266231835854277,0.060115821966153,0.184843767688684,0.446579281516863,0.664838815402093,0.798786832204734,0.948434525692135,1.04364095379969,1.02344339054455,0.930837727938102,0.780350965555877,0.508621542240642,0.312238546803925,0.184088033385011,0.0488622638085255,-0.080859265469807,-0.0915440437833052,-0.0762273413736988,-0.026549843163427,0.0243773751871999,-0.0509675372603054,-0.019117130411193,0.00335952081011493,-0.000418093868483765,0.0217380460356525,-0.0428305387606397,-0.0213806430258992,-0.0190668790277249,-0.0280055185862319,-0.0282225663932543,0.00490675723552786,0.221039841959594,0.176562432330207,0.157163675329788,0.126972699120642,0.105560519372369,0.0769352128875259,0.0393365658990277,0.0112181127330933,29774.1012803782
"12",-0.142238747647442,-0.137571765034984,-0.153869631232481,-0.0214096450711197,0.0475814940278976,0.0565741203218893,0.061961266212671,0.00739189886869045,0.561677949559842,-0.026215977720717,-0.043153413210248,0.283146609636216,0.459489880798849,0.671961673489146,0.801652814301638,0.949745125596906,0.416395663595945,1.01142683897214,1.04374698209079,0.690610942550973,0.497326519576544,0.302282059742273,0.18058695061019,0.0474883222870675,-0.0768085091105503,-0.0957687900446447,-0.0664932548787102,-0.0538441636199626,0.0237155006546721,-0.0494176572267231,-0.0228204308327285,0.00414125203582997,0.00753028308973786,0.0250759198383167,-0.0264364845559854,-0.0182948158712472,-0.00801497847228198,-0.0293173460835081,-0.03092209841541,0.00464562764534857,0.221302420768351,0.17422938557359,0.157238908359154,0.130491882978292,0.102121617978066,0.0746655082071883,0.0386132441565065,0.0119250707337534,29774.4466379996
"13",-0.158579730356217,-0.186524939515316,-0.14473436733903,0.0493279371003714,0.0101376029630722,0.057012502563361,0.0582555979084235,0.0101348935098783,0.442766189943147,-0.0103222989175764,0.00599334105671051,0.175706717573473,0.473258228052961,0.669198610894622,0.798473443675426,0.950267151435145,0.545265500512715,1.00843142200989,0.991469117944229,0.778957804368585,0.494234835040524,0.303072897114621,0.183836852354298,0.0462801169979598,-0.0904968160132743,-0.088799295231889,-0.0553221493725062,-0.0440044784176141,0.0284551915311765,-0.048056250663047,-0.0182487154956647,0.0029140332598677,-0.00130309710248856,0.0432400115158041,-0.0204628686480306,-0.0410106485694726,-0.00563695156809037,-0.0219184146554086,-0.0256342879293978,0.00372644315944658,0.222997991065955,0.181533120557891,0.151850748072259,0.12780918214369,0.102451901136122,0.0757732141194968,0.0396230332545194,0.0116882143390314,29773.5104782738
"14",-0.158282021287904,-0.140204391124093,-0.107665014508107,0.0125186261344537,0.0457787371306219,0.0462438338701756,0.0689499892177933,0.0089861297940129,-0.167717874216607,0.0614099036982017,0.0406813347784335,0.230058844217545,0.456680073073486,0.647107864821942,0.788731961011471,0.948358484609763,1.16090261829196,0.925570300732819,0.946650478328219,0.732749370421629,0.500490872270089,0.330580971697823,0.19225525163247,0.0486031460938745,-0.0973308670309109,-0.108700579511462,-0.077087481272585,-0.0409506853633279,0.0254344967635364,-0.0422490754808934,-0.0225539107032476,0.00276516558235562,0.00652225257721559,0.0169906086312883,-0.0250715797250112,-0.0279437205499926,-0.0151871525418771,-0.0253505584324646,-0.0315092521770706,0.00472519263482198,0.22541978630315,0.174103786876933,0.155782432920735,0.126336415643019,0.101429394493218,0.0759523421801652,0.0402754607511763,0.0114354648289667,29767.4236903994
"15",-0.166277517163451,-0.131941578926736,-0.120914227449544,0.0411309019714013,0.04232626481223,0.0453226366872579,0.0501218339869763,0.0069716889578103,1.50975389914028,-0.0464939369811899,0.0327297334639572,0.231540989217435,0.47035415753246,0.679904757534098,0.80035305726661,0.950004732737562,-0.524877102910107,1.03273394681339,0.957292480628983,0.725005860304518,0.487673481080533,0.295831979194567,0.186159110374299,0.0474306191727346,-0.0683670884057742,-0.107716336576936,-0.0559446369745553,-0.0535746783944604,0.0189686631663577,-0.0455357785923799,-0.0210829255448698,0.00352474923419002,0.0200550876656313,0.0132504925618306,-0.0214133969466613,-0.0401017857948214,-0.0106841177886697,-0.0260778093886713,-0.0306285737396785,0.00439525207742092,0.222443060803608,0.175253903073942,0.157615064968284,0.128296588329733,0.100452476968095,0.0758012969297588,0.0396142912902529,0.011432169979454,29776.6913329797
"16",-0.197954640637487,-0.145255584939799,-0.125472209295814,0.0350739232600305,0.0329905079547064,0.0659215717964854,0.0615693194641378,0.00757963855042054,0.403122243894708,0.106151097324425,0.0394416703610967,0.166549984258826,0.47640339468632,0.658328182258726,0.788912513307694,0.949328355320522,0.590554271824302,0.879590507468556,0.950418008151816,0.792889127403611,0.484143533740449,0.312788403095111,0.19276856147981,0.047776160273003,-0.0628827438070235,-0.0963255593377852,-0.0664645970848843,-0.0432614595633468,0.0280108796150061,-0.0506725266001842,-0.0179023721338745,0.00406973534438267,0.044142088084015,0.025296565111328,-0.0336476078585142,-0.0316042884643123,-0.0100312378490211,-0.0272770052323868,-0.0265323039774188,0.00511145527369185,0.226730613929052,0.176257789743495,0.156600754449112,0.130072373084313,0.101857288493325,0.0746074487800389,0.0396153075936241,0.0113145743004157,29774.427975057
"17",-0.10566779864155,-0.0927346208684281,-0.0935438319019847,0.0357382115100521,0.0494498471477125,0.0788839029068436,0.0552225129013589,0.00608120901129238,1.3461911907551,-0.094414734637677,-0.015551640826131,0.180912308087634,0.488142109865551,0.658927137111995,0.800201901717316,0.951073166817943,-0.373262658030022,1.06610807661081,0.995056855138401,0.777771726946885,0.466944212474014,0.307893764086221,0.18387786409522,0.0465212981491705,-0.0836842716499104,-0.113790691768852,-0.0568332349637251,-0.0430436262767015,0.0275397296347045,-0.0510995725429817,-0.0205444132313367,0.00428702162401321,0.00940569675713474,0.0308488827684753,-0.0279212972358048,-0.0388824213170844,-0.0108095881582429,-0.0331642059375625,-0.0284415612232447,0.00542941701612491,0.223546258334441,0.173665245823517,0.153370839371975,0.129480495897938,0.10546202550152,0.0736675312847949,0.0395374296636958,0.0112960979117467,29767.5919487822
"18",-0.0975878733078967,-0.0976619028438638,-0.0748728716647914,0.0314719872776789,0.0303419420409216,0.0621494762174587,0.0579766635262783,0.00901253582416478,1.49778077022126,0.0624254725747435,-0.020866240280599,0.200767319414509,0.471722689917256,0.674451283798863,0.799416607786685,0.950047418920044,-0.527939218500375,0.909833752948518,0.995554296652672,0.756166048542873,0.490857294141892,0.297053563714559,0.183974449367835,0.0468455241074314,-0.104552468443294,-0.102210804656945,-0.0689119983260457,-0.0405113250922144,0.0258945705363094,-0.0512681072622829,-0.022028066906822,0.00317762237824534,0.000829481375606934,0.0157129635507037,-0.0347404236049042,-0.0373679233184262,-0.0114993628370479,-0.0270031175340867,-0.0275671502259664,0.00433256373920833,0.221645939304232,0.172397129066426,0.153007831794275,0.127814381047466,0.104299661682389,0.076632537583664,0.0399912545235757,0.0118278364699498,29772.955954992
"19",-0.133560667178956,-0.118361200567002,-0.151258470723633,-0.0202755812515402,0.0501686741973316,0.0359264707157444,0.0560676522636404,0.0085673452763424,1.04555919579782,0.118317982254381,0.0699904038899471,0.202307321906845,0.476937597244087,0.667909876236584,0.797719184040376,0.949318045069392,-0.0647713577301623,0.864719865581409,0.928645063831792,0.773230999961307,0.481601941269207,0.312855345280434,0.186828948663665,0.0478840137996277,-0.0869333488201758,-0.107512254384938,-0.0591359911269994,-0.0345067160606798,0.0121910590619887,-0.0427045983041263,-0.0224087717675053,0.00254140324060646,-0.00182168252515661,0.00950730480290451,-0.0286649523901796,-0.0467049910466526,-0.0242321512189491,-0.0228257046072338,-0.0291672310920138,0.00368047946243264,0.219467047066882,0.179606308515502,0.155856838350093,0.134178156263918,0.100909484773081,0.0739331598833762,0.0394323435765436,0.0113900089535822,29763.7137943296
"20",-0.131361812140494,-0.171528255723088,-0.0726229314727606,0.0582972182411192,0.0558896285070626,0.0395652449519878,0.0630928696744132,0.00880392202234429,0.858214448882329,-0.0695382454166141,-0.0686087982804677,0.189627426937555,0.471939683771948,0.687875750027185,0.789637883669636,0.948542314829416,0.118438268112998,1.06595606879955,1.04517380762195,0.760691476171835,0.484428285896791,0.289902321319349,0.193168574898558,0.0482247957300727,-0.086596800348382,-0.0915734854542218,-0.062747206005612,-0.0366410970135308,0.0107886522593989,-0.0436780615863634,-0.0214610739737621,0.00392894003656008,-0.00510758349744661,0.0335809976987706,-0.046724412507252,-0.0293579171459299,-0.0180056152755769,-0.0211976083642957,-0.0300523742389422,0.0049219857632573,0.22280598892532,0.17721395314274,0.158737531548638,0.124882639792355,0.104084963380686,0.0772190544594887,0.0396928118382242,0.011669039311444,29765.5548932566
"21",-0.154565183619214,-0.130737850871346,-0.0996518960285571,0.0630638462222224,0.0437848159902975,0.0458740703345121,0.0791123196857621,0.005304098414894,1.31412364433628,0.0196116158374811,0.0279755421155602,0.161551610144235,0.470311935960278,0.666496354747987,0.785446028424715,0.950811888386173,-0.327639973698708,0.962866023888078,0.957806620671518,0.78839076538646,0.486142986339432,0.311111317584167,0.192967466032422,0.0469802087946802,-0.0754367428132797,-0.104866993436048,-0.0730099205826106,-0.0550776687201585,0.0191275194505258,-0.0488345404562018,-0.026199163139298,0.00391267943840974,0.0145640977650938,0.024979501710256,-0.0321510187560239,-0.031805238203517,-0.000242365983311403,-0.0269526544041528,-0.0349243139055715,0.00504243914364071,0.220621721818204,0.173561387172096,0.156725887500025,0.127394957263474,0.102406174324347,0.073548292471594,0.0384879499426214,0.0115489360949767,29765.6142952192
"22",-0.145654185266118,-0.18929553957184,-0.114637858259764,0.0156243458761735,0.0586504731429591,0.0358849110571027,0.0554903280935174,0.00739024374680556,0.280518825713155,0.0152293906365008,-0.00625650407129666,0.226986470887762,0.473852714018123,0.673729485123628,0.791880105537075,0.95014433711768,0.70126278303231,0.984039995881306,0.992009951028048,0.737810274848494,0.484052895109981,0.307745505101879,0.192537437289293,0.0471219878424491,-0.0857383671172159,-0.0834201653385741,-0.062317747239374,-0.0456211968399248,0.00706289624496729,-0.0493531737254568,-0.0174089004055841,0.00384217039312748,0.0128113811369756,0.0378693315353021,-0.0280960856834447,-0.0403299120078158,-0.025658264464437,-0.025342297633944,-0.0283015653684506,0.00417203509228632,0.220024712842552,0.178723762107414,0.155018119580947,0.131619897449505,0.10561970825853,0.0761335575954964,0.0382301479815462,0.0109105897757406,29767.8350259153
"23",-0.158543117476585,-0.15422575436046,-0.131749899022056,-0.00289012554411065,0.0493903390499075,0.0587371510146238,0.0502772833400943,0.00563943228864772,0.102247622664703,0.000363921970114694,-0.0132407444051953,0.227243481282881,0.473246352121345,0.655248315729956,0.807074085810551,0.950342493563842,0.882619636931082,0.990304416913449,1.00316312047705,0.739356315626305,0.484195888145413,0.319229988710847,0.178175588790387,0.0472856285982722,-0.0891553734530536,-0.10007443372312,-0.0484021741334508,-0.0432015564221094,0.0211374067004674,-0.0509755323837406,-0.0206437593320906,0.00560112357665108,0.0262891571940653,0.0259012961112721,-0.0167933982225452,-0.0195799902926756,-0.0119080335057968,-0.0329434381049608,-0.0282355213173532,0.00508817711130371,0.216178970493468,0.171009384480869,0.157255053553111,0.130914837880134,0.10443391609946,0.0771171473339902,0.0394997633098983,0.0114813230494679,29774.5734209562
