"","beta.1.1","beta.2.1","beta.3.1","beta.4.1","beta.5.1","beta.6.1","beta.7.1","beta.8.1","beta.1.2","beta.2.2","beta.3.2","beta.4.2","beta.5.2","beta.6.2","beta.7.2","beta.8.2","beta.1.3","beta.2.3","beta.3.3","beta.4.3","beta.5.3","beta.6.3","beta.7.3","beta.8.3","beta.1.4","beta.2.4","beta.3.4","beta.4.4","beta.5.4","beta.6.4","beta.7.4","beta.8.4","beta.1.5","beta.2.5","beta.3.5","beta.4.5","beta.5.5","beta.6.5","beta.7.5","beta.8.5","sigma.1","sigma.2","sigma.3","sigma.4","sigma.5","sigma.6","sigma.7","sigma.8","lp__"
"1",-0.29165132008167,-0.135515602622905,-0.267096614521124,-0.149827312503099,-0.0271271411998787,0.0282649042678118,0.0198098172670787,0.015995581041276,-0.330277798544063,0.252600168530247,0.206420776332438,0.31980657644892,0.492984018927997,0.677529956681967,0.833940258952914,0.960197661055812,1.36433240109225,0.759726353990074,0.825927237830976,0.687040952162421,0.488489414841527,0.300226103336973,0.155168776237599,0.0370538372552706,-0.0358089269645048,-0.0476596251570172,-0.0695304195478719,-0.0596004320527765,-0.0592248915128626,-0.022031037723866,-0.0194944879982286,-0.00265434669667371,0.0351160227973563,-0.0828400943224552,0.0743714747204239,0.0825056052121527,0.0599712979863337,0.00132819613408411,-0.00775113519909422,-0.0113730613437386,0.221037955849481,0.186563185468593,0.156111073734826,0.127452643034423,0.1093125956795,0.0703944125583201,0.0440979285107497,0.0127121669170956,46475.8689190908
"2",-0.240361213948262,-0.184434726337771,-0.216274049319187,-0.150261070747486,-0.00778508056785343,0.0176218828820659,0.015456937202574,0.0183606091559686,1.49738697532774,0.222986016652187,0.149473693341616,0.282990899476636,0.500088179116401,0.663780597766148,0.829425133920694,0.959858539648219,-0.466157296888189,0.799142616071412,0.870896295769875,0.722057028441792,0.476853185701841,0.317255926471,0.159377366832332,0.0376902937722397,-0.0418659475484693,-0.0599369790627429,-0.062432693129591,-0.0597720157930689,-0.0468617040484039,-0.0302454174795191,-0.0188507605686806,-0.00229569950532807,-0.0561044945366433,-0.0179887739475569,0.024421746912722,0.0882041187954845,0.0306998681553267,0.0184553748478067,0.00536019570076308,-0.0190396326805795,0.219572137346384,0.189550078238465,0.156834425985059,0.130984751835303,0.108292265858276,0.0727916978435736,0.0455068697575384,0.0127941579368937,46464.4330717167
"3",-0.256856238614479,-0.178159832406487,-0.306570876054486,-0.129202875157194,-0.0131972284580628,0.0263236079812245,0.020001771205577,0.0161045551794341,1.22940351015432,0.273997181216617,0.27153204683895,0.255313105737824,0.50280348286493,0.650205922342284,0.833460011309622,0.959707002263335,-0.199329032654233,0.734459677915651,0.766872629232952,0.749948110104264,0.47630759147351,0.328129864115347,0.155264827650458,0.0378765481994816,-0.0323001603350923,-0.0408211376326118,-0.0743823296379111,-0.0573561157088453,-0.0474600723934765,-0.0224769016850537,-0.0196368745829141,-0.00298537770475441,-0.0172650988191522,0.0315273672656297,0.132960096872379,0.0487441954214641,0.0323041739150701,0.010771704663695,-0.00311699367980467,-0.0118977979780941,0.210329193720363,0.181946334462417,0.161860473294045,0.129084904243398,0.105593894883425,0.0700317435387102,0.0449801939251138,0.012972693287083,46472.3089637472
"4",-0.282701727189755,-0.138570464065898,-0.26949465171117,-0.117951892062424,0.00280969750639882,0.0197468052800298,0.00898235946217572,0.0166670855607742,0.994139792744001,0.253804279741615,0.261149334327615,0.272013384411766,0.475281355877699,0.669086429446153,0.839020905807741,0.961058250653095,0.0367039287328978,0.747296873583799,0.770803591693127,0.733484778836889,0.498831423168139,0.312408018743485,0.151525548365382,0.0365162515210985,-0.0357858664210004,-0.0534081413127041,-0.0680531998603358,-0.0542794562496308,-0.0419760535998299,-0.0217175949269954,-0.0201809790136127,-0.00252347526368687,0.0380176682272363,0.0117342438920205,0.0691484693022565,0.0132455729084368,0.0241122805986631,0.00258475305804961,0.00635480401162276,-0.0155811550256497,0.216094637800957,0.187912155174884,0.152274721221299,0.130188266793758,0.10756855126861,0.0711011882654337,0.0447589276275907,0.0127222907434271,46473.3103738904
"5",-0.27549144593507,-0.144047065290787,-0.272409263067785,-0.14270932351724,-0.0236379387214696,0.0264864831064369,0.01850416178734,0.0148037470703852,0.635481118320728,0.223296451375111,0.215763779630601,0.251298008998551,0.512844693494827,0.666406904794752,0.8351605770615,0.958229446752976,0.400124444315149,0.781645106049116,0.814650341144763,0.751632404011327,0.469779618272119,0.31626709391616,0.153665447924383,0.0393474419043615,-0.0427443991189493,-0.057934664558985,-0.0690946465536222,-0.0573269671362252,-0.0479644372812458,-0.0246701188383495,-0.0164567970336417,-0.00226679923515866,-0.00370008124887511,-0.00644443095735257,0.102432996046503,0.100396216150226,0.0259531847401571,-0.0160121792549352,-0.00670462172915211,-0.0104662778619914,0.216595627296435,0.182338531056821,0.157056601358999,0.128963401249073,0.106250030551496,0.0713034482971998,0.0449168096225391,0.0126825947244232,46480.8546401813
"6",-0.214555111334229,-0.152793241850229,-0.298086652671182,-0.106954472158011,-0.0276447475601997,0.0252751873892506,0.0201748602599573,0.0166455796906765,-0.17384234582675,0.329118119068196,0.252233518707596,0.263341656755235,0.474782856122493,0.669445429640563,0.835616310236683,0.958383292550992,1.19661497240939,0.691180324538584,0.788546978277007,0.737958857443393,0.504529597897113,0.311985579121307,0.153609514293481,0.0389503240323585,-0.0428120621100124,-0.054287239251851,-0.0711015024857786,-0.0576955040092711,-0.0454813523906199,-0.0295482161116644,-0.0193074160741111,-0.00335596752898635,-0.0610144528296474,-0.0711150377049346,0.0967310764649104,0.0230071292460512,0.0731430025054208,0.000746217505804621,-0.00955852022471571,-0.0118828985254595,0.209338670365216,0.189242195048117,0.157158152410868,0.130527993730071,0.103989215808032,0.0712731769624748,0.0452196943886876,0.0129509185624995,46464.8449339232
"7",-0.24824407739966,-0.186497116865309,-0.274107527622989,-0.155525586989179,-0.0384069994954374,0.0236921300803465,0.0259239436884778,0.0166430057435243,1.28791094235052,0.222591800665199,0.232507555696941,0.262561425300656,0.509580713046862,0.673779896726241,0.828901824094564,0.96054433237783,-0.259732185847618,0.796843142090216,0.796775086892646,0.749689497050568,0.476069179487157,0.308403201946406,0.157768793718839,0.0370515439781579,-0.0315093394033467,-0.0574077315084172,-0.0620677348141556,-0.0604186668273028,-0.0471241531044926,-0.023228805479286,-0.0193945595270008,-0.00314173397064287,-0.0114441194255035,-0.000764521675359396,0.0902434652964547,0.0726406353289639,0.0371211365169322,-0.0132313306708654,-0.00468333191867313,-0.0160085646041889,0.217483904816779,0.1878493877077,0.161093683918909,0.126734789537437,0.10778302023909,0.0711841749646496,0.0443664690975014,0.012744799104582,46475.2211710952
"8",-0.225580527368275,-0.139449100451341,-0.23489945632024,-0.130831310955567,-0.0229084743901635,0.0330652705348428,0.0151140972891612,0.0178727558639108,0.224211293756044,0.287966290085815,0.192301032461458,0.311129008156844,0.498667069912483,0.662429033227411,0.834344295479934,0.96006331377489,0.803807834016927,0.714856161811903,0.831336062661595,0.690284953290716,0.482203749488813,0.316603502227018,0.154731012999868,0.0372691364903158,-0.0394495097383571,-0.0473847820156982,-0.0618249327153924,-0.0569119364305225,-0.0395724466272044,-0.0203225523915109,-0.0197240663383472,-0.00349669417162077,-0.0620178831586943,-0.0177677712915791,0.0456428529522514,0.0714580509070618,0.0297896894654686,-0.00875293995071731,0.00486407643402668,-0.0160138360797471,0.214463295353683,0.186730126059773,0.156189707614632,0.130278766223364,0.108628270886459,0.0719996885047219,0.044057646671279,0.0128978928613421,46478.0279352707
"9",-0.279343807964063,-0.187856991709726,-0.318893746027943,-0.152486639258232,-0.0318737391257081,0.0332815384216208,0.024878458473224,0.0175129992828802,0.403036802479098,0.338237388032541,0.213541041342835,0.264205280931237,0.483669118886043,0.66474225742543,0.832320896822481,0.958122195497351,0.628673827085229,0.677018831588692,0.829336174264369,0.741448828030917,0.500390602314452,0.31326592452073,0.155706411045132,0.0390798722519771,-0.0453729827853413,-0.0406847955444959,-0.0653143377645853,-0.0607379779689299,-0.0493848103473081,-0.023837953215765,-0.0177853611234352,-0.00418728337381526,0.0448952616944999,0.00464490196327929,0.123739227575423,0.106070392077205,0.0478907762579534,-0.00280756058654485,-0.0153732329802831,-0.0117668287769006,0.222800890969028,0.186432924985981,0.163847537534779,0.126342656506214,0.108018141874647,0.072175604816761,0.0445057491264831,0.0130086070364122,46467.6060214318
"10",-0.249879533246783,-0.163185941208281,-0.287630155959303,-0.158666034959855,-0.0130227800703214,0.0181270772364933,0.0139319013321275,0.0176460360599902,1.12944411851943,0.335587243071864,0.241263384851484,0.235095631224681,0.497096136187572,0.672200470428386,0.830582581372633,0.958263263412894,-0.104571898305446,0.677700880646235,0.794164608921106,0.773880032782271,0.479847986224017,0.309132267213759,0.160045393567859,0.0388155684205693,-0.0439741452592649,-0.0537093126349786,-0.0697645735888291,-0.055509530905858,-0.0465732191813692,-0.0273560265591942,-0.0206397260695333,-0.00299378548268532,0.02419058042925,-0.0355493165676406,0.0859575541301701,0.0882102841490433,0.0309998745401604,0.0108290426813937,0.00309831256638262,-0.0133957152489453,0.215971201365039,0.18630830661448,0.158897609991874,0.130681696824187,0.105259038606835,0.0700303077318296,0.0445147292583123,0.0129238229449188,46475.3678249615
"11",-0.270345381446683,-0.113183610004922,-0.25610536102875,-0.153262659658805,-0.00632233123175201,0.00458404365858872,0.0101056445276856,0.0161411329440284,-0.152268683284623,0.274808871450398,0.16263163620481,0.2907198138411,0.478900482377079,0.692959453961796,0.833774336082472,0.959256501707961,1.18570008092448,0.731425530239554,0.860613157090564,0.720605405086697,0.498578490482534,0.292626554202262,0.155139652558016,0.038262807026374,-0.038464031736875,-0.0572538253861622,-0.0591254572129859,-0.0687569520803703,-0.0477278170175706,-0.0249091136244333,-0.0143973803748307,-0.00241410975273024,-0.0109646893780337,-0.0660813297889867,0.0913107800519005,0.0830720048475539,0.0240411129863243,0.0091691855065631,0.0107353197182219,-0.0137564418275012,0.220739668123966,0.186483773748925,0.160298205973392,0.132033328456581,0.106449133741874,0.0710540821467067,0.0434762546922328,0.0130312131313519,46468.7883084209
"12",-0.276394538920113,-0.142364020380788,-0.268784540969439,-0.124469531020942,-0.0354410013666009,0.0246557824361287,0.00685581618753892,0.0172404184067332,0.0197925137579491,0.177779938227975,0.210050888232113,0.233957531984239,0.513154716999484,0.657064378400557,0.838193840948079,0.960592441443165,1.01055318714348,0.82639705648838,0.816829927027145,0.766159956599676,0.466225877764641,0.322644919849722,0.151695134952892,0.0371535053217205,-0.0377497752542683,-0.0490117487003004,-0.0659932470531772,-0.0545471720444563,-0.0438121394913044,-0.0239836280150172,-0.0192787052472918,-0.00302143972306668,0.0259027481912782,-0.0299264360679921,0.104494915008999,0.0718026487303264,0.0595336913989324,0.00637780429180547,0.0170957502504888,-0.0174439619694383,0.223487823377952,0.186720871742567,0.159134180108512,0.12762490808543,0.108785640488044,0.0704602114163137,0.0443364352391988,0.0128337235916365,46469.1692659482
"13",-0.247836763131781,-0.129103780575906,-0.265458277010361,-0.115580108747287,-0.0239251040403905,0.0222425993578215,0.0148477211164344,0.0194743362025138,2.27018279438921,0.283185278270217,0.130289231742871,0.283321498847827,0.483956557526713,0.662599105429249,0.835372683890727,0.959727694312594,-1.25110135360772,0.724492630965482,0.901032556900961,0.709580720017102,0.495279131954784,0.317233202296088,0.154289685754123,0.0369686083151966,-0.0377067496137921,-0.0449240540809529,-0.0703756782194542,-0.0442335307556031,-0.0471662540066721,-0.0211349267414532,-0.015098690986748,-0.00265338731321547,0.0492649829598951,-0.0650916509783986,0.0730045071877978,0.0848164963875831,0.0560773062030732,0.00704229694633536,-0.00262514058297508,-0.0158808811084128,0.212940302719182,0.186131231022664,0.159411291786935,0.128263870476014,0.107647850773218,0.0700930115879312,0.0454028919606587,0.0126707763843063,46470.2932146835
"14",-0.272896559925794,-0.103416690821813,-0.290112480593299,-0.132043920641571,-0.0126911189615579,0.0207763245086849,0.018884785531424,0.0170233559369186,1.57883019318686,0.23134737213071,0.258546207406659,0.252845755539567,0.487801019344638,0.659517252053734,0.832751095769183,0.95898270728919,-0.547443761624849,0.7662163522492,0.778638731336193,0.750343141170629,0.490914765054875,0.321588088779101,0.156229620479245,0.0387082606647022,-0.0293681858263157,-0.0368454029823239,-0.0659830012280496,-0.0619989453228969,-0.0488527086607155,-0.0240128207337369,-0.0192495265665741,-0.0035647577439625,0.011470481375941,-0.0724984938561375,0.0863996850995121,0.0749669114951985,0.0310210416965497,0.00677421371634515,-0.00515473486351144,-0.0141555274811501,0.216117545424173,0.186208178292809,0.159349464725882,0.128460795913531,0.109314123903206,0.0700649595541675,0.0453603494160092,0.0129505574677359,46482.6388739763
"15",-0.25144493613223,-0.166891869571604,-0.319621389468373,-0.138845770927308,-0.0143718796795587,0.0163447008066322,0.0150161554941365,0.0165324182607054,1.63528517428283,0.332913675390631,0.201003628238175,0.265256567696345,0.477129114575337,0.675976658181073,0.839895950809793,0.959015754019125,-0.608761419196123,0.680834435886781,0.840603247996959,0.739449657114367,0.498661493432503,0.30623687642943,0.150931915467036,0.0384464999099259,-0.0308517167707725,-0.0422708034810877,-0.081037382618587,-0.062456267230875,-0.0437604121089574,-0.0244831174642068,-0.0175959763858093,-0.00286396256609456,0.00307985265338381,-0.0212812919449911,0.134582425670685,0.0805085641559159,0.0569778327068683,0.00305276189670513,-0.00907771965590979,-0.012836382446084,0.215775057347003,0.185844193682726,0.160584138957162,0.128929261957848,0.108114725245552,0.0705764401761843,0.0442206634236464,0.0126948312488778,46480.7671408732
