"","beta.1.1","beta.2.1","beta.3.1","beta.4.1","beta.5.1","beta.6.1","beta.7.1","beta.8.1","beta.1.2","beta.2.2","beta.3.2","beta.4.2","beta.5.2","beta.6.2","beta.7.2","beta.8.2","beta.1.3","beta.2.3","beta.3.3","beta.4.3","beta.5.3","beta.6.3","beta.7.3","beta.8.3","beta.1.4","beta.2.4","beta.3.4","beta.4.4","beta.5.4","beta.6.4","beta.7.4","beta.8.4","sigma.1","sigma.2","sigma.3","sigma.4","sigma.5","sigma.6","sigma.7","sigma.8","lp__"
"1",-0.170362890971291,-0.166295164444413,-0.207911922999717,-0.129840219827966,-0.0996139578584589,-0.0433066974104807,-0.00419882695427668,-0.00133188403969221,0.986776473493859,0.995142495936998,1.00833389865557,0.994556470857838,0.99288871363538,0.987551660469728,0.98827740592525,0.997190584273171,-0.0652567304599247,-0.10258065346825,-0.0827015061582451,-0.0748143423904105,-0.0375611662153557,-0.031261781908534,-0.0256566395597711,-0.000190153182494593,0.0289557834284329,-0.00220593868372633,0.00157762268438541,-0.0195646616653411,-0.00706047789676567,-0.00793510330890336,-0.0158051218560701,0.00172468286867127,0.222568850961933,0.186200086201406,0.171020298492357,0.150872020940501,0.123259628248153,0.0930262738693104,0.052801283936172,0.0157779698251489,27361.9985348377
"2",-0.170805209550001,-0.198599963358929,-0.227279074442801,-0.102179017083371,-0.0770698778484046,-0.0639285638857678,-0.00126958135438317,-0.00119741321859043,0.991038132932796,1.00376074140453,1.01237569943851,0.984001501532335,0.985385920477749,0.993721372382874,0.988291641486532,0.997298516268487,-0.100372307995295,-0.0878046743127929,-0.0728123344586105,-0.0822796282189431,-0.0316154650479318,-0.0274349926854386,-0.0279951830281481,0.000213269960757829,-0.00477183721949415,0.00775952098825326,0.0194560047316909,-0.00579110514598934,-0.00936033910296503,-0.00937740456364547,-0.0167194532793718,0.00122997337324357,0.216145864096897,0.182290165822588,0.173177752029528,0.155926662285993,0.120050527913086,0.091733235775976,0.0521271035574502,0.0156258305619446,27355.1196677231
"3",-0.189868373183789,-0.169750215576205,-0.149304711570117,-0.137955830357922,-0.0962836995611457,-0.0454853697821908,0.000988758849603249,0.00540862765788783,0.992696951992053,0.998635662388187,0.99222251475127,0.994928741630143,0.988929200669788,0.98711481797163,0.987783771348606,0.995188088975721,-0.0854430058607487,-0.104612727901169,-0.0899218775896925,-0.0602481659798638,-0.0244558256219801,-0.0314833190350473,-0.0273620856311224,-0.000625848636413977,0.0165198794339505,-0.0116146474588821,-0.0083667246129352,-0.00562412082952878,0.00347822423582366,-0.00923750690693677,-0.0184855469246203,0.00110756568836831,0.220697637043137,0.185036120381057,0.172854531836324,0.151193427637007,0.125948750482381,0.0917592409999393,0.0524993134610453,0.0154702564662566,27350.9934963836
"4",-0.111021137196775,-0.183536936321282,-0.202302111797495,-0.159340192864839,-0.0500917978679766,-0.073938648843387,-0.00536950414358439,0.00638344578560513,0.973818523997619,0.997917899208027,1.00771374943169,1.0003637299812,0.974551810206329,0.99531479376205,0.988878763683685,0.995359715084056,-0.095859979569311,-0.0846395834548065,-0.0839007554866688,-0.0600258763452688,-0.0197259169828707,-0.0248514237836132,-0.0294966880895505,-0.00261869360002008,-0.00408883161159182,0.0204561684509972,-0.00101033496687875,0.00767530418459003,-0.00990059733718691,-0.00664588032322595,-0.0138277171891373,-7.62816152091041e-05,0.220863902466554,0.187109383250393,0.173629807260929,0.150360569894721,0.124008080167311,0.0902413298736924,0.0536751996192024,0.0156672941301523,27347.7503447393
"5",-0.15102159841666,-0.192303294739052,-0.196730068378316,-0.138105760916076,-0.0960493326428296,-0.0634690978434689,0.00944829280939015,0.00106943252721101,0.983939436441301,1.00035490955472,1.00782377249917,0.99354315157424,0.990697672133803,0.992740138730877,0.984700535247664,0.996692147246061,-0.0890666261736217,-0.0878933505199869,-0.0991456705201804,-0.0705241546083134,-0.038744289000325,-0.0212781594688986,-0.031993469192492,-0.00029363396861433,0.0299956870120566,0.0182966224923136,0.00505746692442014,0.000266294940773545,-0.00862517082768172,-0.00699162437846799,-0.0178763530922092,0.001447161801746,0.219897452782331,0.17952677160792,0.171537567286607,0.150670889909086,0.121409058728458,0.0920874261093302,0.0538379461242352,0.0157564070769246,27357.1649202979
"6",-0.163948883035403,-0.211475934798143,-0.230709248769928,-0.113428076176607,-0.104561818744767,-0.0581506289851296,-0.00159333983006352,-0.00166331948312837,0.98788809480917,1.00785101000634,1.01550719969202,0.986944011176756,0.994801718300744,0.991196531732647,0.988540240028831,0.997473130698433,-0.0755006235756271,-0.093219583855238,-0.0828975912975098,-0.0721552560620866,-0.0259497632023907,-0.0265285390504724,-0.0303384691127814,0.000313782909682499,0.00817916047311882,0.0150422999646563,0.0133546582603595,-0.00206952573388488,-0.0113489862131689,-0.00779308536381031,-0.0198064976339599,0.00158228379269164,0.21932937619951,0.189536857372406,0.175473665798611,0.150589757048134,0.124129924890333,0.0934882071256828,0.0533295866793597,0.0152838038493447,27360.2886384677
"7",-0.0980453589387007,-0.168138396949563,-0.197271498568587,-0.160224190775629,-0.0515253705337705,-0.0591873591450854,-0.00438197053447184,-0.00209759790069892,0.971035490056315,0.992865672294855,1.00592121758024,1.00136711619247,0.976459799541548,0.991400564412863,0.988111189474575,0.997254478348884,-0.106560610228459,-0.0894288650643815,-0.0816103637716409,-0.0615378908933358,-0.0332174737110532,-0.0199260396315029,-0.0227066956151949,0.000647322972605515,-0.0079049910419166,0.0225789643534805,-0.00230793508019739,0.00425976206655479,-0.00938275320638929,-0.0109231888157434,-0.0138703640549285,0.00238027390589441,0.223288032663466,0.186840317207231,0.170999983273635,0.152141419710427,0.122845293597439,0.0904842347552659,0.0545033030290378,0.0156945432916422,27356.6836086559
"8",-0.168001546129103,-0.251049130840957,-0.177223241504225,-0.129797839538532,-0.0764965763729538,-0.0728925776174547,-0.00285039671048822,2.10018523386466e-05,0.990489772408345,1.01829847805022,1.00250804557026,0.995722184882815,0.984855338306654,0.993750051094273,0.988263859406717,0.997025708256093,-0.0853135813565425,-0.0731107754602581,-0.0884601806856755,-0.0701717260669026,-0.0367784796841427,-0.0196277500054103,-0.0300261293277268,-0.00198061271960885,0.00282515477622662,0.0214935757550102,-0.00726603538185791,-0.0199650418296113,-0.018249973429187,-0.00613575899824389,-0.0174150115206021,-8.67233938355122e-05,0.22286938857856,0.183569276340981,0.168040416261092,0.151232213709144,0.126296555134711,0.0938366495361773,0.0526653317810286,0.0150079460239852,27350.5761206833
"9",-0.171857063315504,-0.190163226415515,-0.222928491029337,-0.107152878690573,-0.0610910327440014,-0.0459877205121392,0.0077408450703513,-0.0025902569949756,0.988997304424385,1.00229313947483,1.01303173491581,0.985858404413773,0.9842100359504,0.98763363724137,0.984415290095546,0.997624162132224,-0.0773558762051714,-0.0961663538101363,-0.0787079615316033,-0.0645254752853739,-0.0435504499264192,-0.0274916784763816,-0.0295180263995729,-0.000112465248767753,0.00659656477832712,0.0242831774923284,-0.0142157211461301,-0.00102323907163861,-0.0210201185637494,-0.0123342074660006,-0.0177048366730094,0.00148659011255169,0.219662881571641,0.188204530885307,0.172178984491357,0.149795790846156,0.121144968605695,0.091972867442382,0.0530374626821881,0.0156034204767929,27354.4977512697
"10",-0.128883499997223,-0.191212479823798,-0.210868873535476,-0.119380038667287,-0.0571958474068307,-0.0714378985707612,-0.00730112894732337,0.000248024666961536,0.974387011676961,0.998470859648345,1.01131075741991,0.991126049021082,0.979323932675396,0.996242210409292,0.989661640924512,0.997050189101033,-0.0778305680324861,-0.0889726772215782,-0.0815526841985553,-0.0686174667678192,-0.0430105893246565,-0.0196087290084556,-0.0253969563977295,-0.00168639957029115,0.00491084790458709,0.0227983814533111,0.00909942835453704,-0.00710160860935581,-0.0113632805096853,-0.00620066328612225,-0.015351267170588,0.000590817989102909,0.219128434487565,0.189085271352228,0.167297777959733,0.146492260171776,0.123967552487534,0.0941865346481004,0.052374445360068,0.0153246547525305,27351.7590624114
