"","beta.1.1","beta.2.1","beta.3.1","beta.4.1","beta.5.1","beta.6.1","beta.7.1","beta.8.1","beta.1.2","beta.2.2","beta.3.2","beta.4.2","beta.5.2","beta.6.2","beta.7.2","beta.8.2","beta.1.3","beta.2.3","beta.3.3","beta.4.3","beta.5.3","beta.6.3","beta.7.3","beta.8.3","beta.1.4","beta.2.4","beta.3.4","beta.4.4","beta.5.4","beta.6.4","beta.7.4","beta.8.4","beta.1.5","beta.2.5","beta.3.5","beta.4.5","beta.5.5","beta.6.5","beta.7.5","beta.8.5","beta.1.6","beta.2.6","beta.3.6","beta.4.6","beta.5.6","beta.6.6","beta.7.6","beta.8.6","sigma.1","sigma.2","sigma.3","sigma.4","sigma.5","sigma.6","sigma.7","sigma.8","lp__"
"1",-0.134759463483715,-0.135696988295868,-0.232033117424155,-0.115344679750527,-0.1738770881671,-0.0848201871044242,-0.00732356751046423,0.00587910422216241,1.00626322464024,1.007898499789,1.02061937284318,1.00265494234612,1.00958897196765,1.00338911272481,0.995289780139136,0.997264719914788,-0.0496996442479337,-0.047239531178915,-0.0636180812312853,-0.0655241257873742,-0.0597137601863952,-0.0417133662610583,-0.0291266725256757,-0.00743291545319362,-0.0883361224631072,-0.104245091171557,0.0471612981075012,-0.0132113853186211,0.0906031997444706,0.0146092928319468,-0.00398533735944878,-0.00618945143226795,-0.0926295683502508,-0.0975617131908291,-0.0666182965222602,-0.0636811098022421,-0.00688162254061413,-0.017093002104039,-0.0221389911378136,-0.000808510679122853,-0.0144149151198711,0.00837847886587214,-0.000810602661895691,-0.0100031381394165,0.00296265989740436,-0.000309782598509608,-0.0175830927419165,0.00102205555592778,0.217437070468465,0.188691911151996,0.168928154089828,0.151399303291106,0.126082042060031,0.0890559200239444,0.0535966662896094,0.0153783908802054,54509.9390210537
"2",-0.12412834087311,-0.134451100772678,-0.228611560882403,-0.154608740408273,-0.162113294671512,-0.0720141771840865,-0.0155437815221277,0.00792033967675998,1.00013174285886,1.00406053447147,1.02355849411454,1.00692640350868,1.01150222848687,0.996770293675668,0.995706776856823,0.99735714416534,-0.0348238957708223,-0.0556944694655453,-0.0668452787586053,-0.0615192073669422,-0.0599202180321836,-0.0379916346078489,-0.0257943685175746,-0.00724724380829305,-0.101957894571595,-0.0733572060419466,0.0195460232673303,0.0209404462195638,0.0561872425852185,0.0264131341586599,0.00671187420438711,-0.0113277326312305,-0.0941819994569447,-0.105206422126142,-0.0777824212622932,-0.0476751790148831,-0.0168741144370615,-0.0154202524929064,-0.0219705125385298,-0.00065483647554914,-0.00342407193911652,0.0105534572951047,0.00808001689843403,0.00173863250364054,0.00891097067558582,0.00282639749968048,-0.0156743663630072,0.000784808544144749,0.216961811358046,0.188083522762824,0.172190850641157,0.148088289960462,0.126170526077208,0.0897818008539298,0.0542170375822584,0.0152543433308976,54506.4436597036
"3",-0.166218486980405,-0.172412613103452,-0.19520003158234,-0.138286820412444,-0.117870867725712,-0.0866332316555618,-0.008764526961665,0.00596711438897424,1.00585264844722,1.01398517178195,1.01567895008933,1.00569695888324,1.00113826083422,1.00219312013356,0.99289851904229,0.997509513447086,-0.0469293653386764,-0.0484772973472873,-0.058033482430532,-0.0609817293186134,-0.0543083860256955,-0.0372584070758766,-0.0232641434334245,-0.00645981122033002,-0.0328447986638855,-0.0728030899038879,-0.00746664606849928,0.00681872527966006,0.0184551050556168,0.0242322146149631,0.00421677586873394,-0.00855297723514444,-0.105336258866131,-0.0945631637353643,-0.0810501692424813,-0.0552144394799098,-0.0165172473321282,-0.0160889469498954,-0.0221137204040501,-0.00089165945311281,-0.00668024046946307,0.0160562220338466,-0.0025726915434525,-0.0134216053795499,0.00138716840630268,-0.00189435993906108,-0.0139982371386161,0.000358863671630478,0.211687530146339,0.19041904225269,0.171386644585501,0.153135614470662,0.125921805513357,0.0891664362663127,0.0541455895640791,0.0153481856024463,54509.2610590484
"4",-0.134860776679814,-0.181405519439016,-0.229435706532168,-0.12444280314577,-0.170428824634304,-0.0717645902565898,-0.013372628144891,0.00488821451099551,1.00432319404245,1.01675983188033,1.02681784440212,1.00195779796168,1.00791225954087,0.999109937467965,0.995156275957925,0.997634147993236,-0.0391297110534228,-0.0493511895784311,-0.0758790503777703,-0.0708967514563129,-0.0560397640266963,-0.0382685518362284,-0.0273466836460595,-0.0063196983653061,-0.0997344913476654,-0.073151478393394,0.00727333515068568,0.0212561677147753,0.0904630015177531,0.0088109299137708,0.010844687171724,-0.00632152786312259,-0.0900666799105474,-0.0978085789093963,-0.0756082131663709,-0.067822414310906,-0.013502762139722,-0.0178822559326419,-0.0234236708319627,-0.00199554481808537,-0.00652530109030319,0.0169721638439394,0.0120551661505633,-0.017682295142669,0.0107772720034416,-0.00186271717938525,-0.0185088949400833,0.000437681524757518,0.216080112177487,0.185474796030394,0.170923385247513,0.15040837541337,0.127231628655925,0.0906534794437059,0.0535698484717206,0.01493185983955,54506.998283444
"5",-0.155332591185515,-0.173290966975887,-0.226733371617644,-0.146845419434304,-0.158013510316709,-0.0816283143871194,-0.00928935294547488,0.0084285444184044,1.00887555669972,1.01814004966752,1.02004214856993,1.00843029439439,1.00696529464785,1.00200390232263,0.995235622388924,0.997221288317346,-0.0438226602874516,-0.0522587857889809,-0.058155141774305,-0.0687935953392828,-0.0630468665010119,-0.0396435827101723,-0.024340090297732,-0.0074721927521416,-0.0727036793002291,-0.0856098373070671,0.00758059737229497,0.00853777918447182,0.0776383731133602,0.0214839273713755,-0.00267302639251258,-0.00968722350334615,-0.0955748873705938,-0.0968314460351519,-0.0667811864684023,-0.0654934141857385,-0.00929322937860218,-0.0234571625083089,-0.0208004485782658,-0.0016708427235952,-0.00791419918762444,0.0110767945637168,0.0121630220840046,-0.00072926312546828,0.00726114830228088,-0.0015494783184775,-0.0177919802238246,0.000662298993143717,0.217247553356712,0.189498972776196,0.169450895286549,0.150507662909788,0.12644940478839,0.0900613411587694,0.0538406385667059,0.0155162475002496,54511.861518131
"6",-0.194353211426037,-0.0998161909582017,-0.216310577973948,-0.113540722609138,-0.150201338894947,-0.100650786756775,-0.00830231960125267,0.00610812908835524,1.00977384969839,0.99804590093375,1.01990212886077,1.00122082640267,1.00626908242321,1.00401105419818,0.994067633839241,0.997539913660234,-0.0470108350224015,-0.0580656362368388,-0.0605881361762843,-0.077361558347253,-0.0592175560995769,-0.0359701573224971,-0.0247220386914628,-0.00711527970334455,-0.0254093891025793,-0.0988217345993421,0.017165152379775,-0.000159822206954975,0.0660056569509557,0.0402565022411715,0.00443327171379768,-0.00704384618603987,-0.0783894414406017,-0.106545332728255,-0.0805561542902552,-0.0661966271133707,-0.0138065285102913,-0.0188709283631829,-0.0234986550447062,-0.00101882158815891,0.0104080318741761,0.00456403610136072,0.00621438962918325,-0.0121945146408744,0.0039591207133583,-0.000320898378416509,-0.0179752563899632,0.000458568712514808,0.216002874268832,0.185602998474812,0.167960987549152,0.152786994966796,0.127989454782182,0.0889192328223686,0.0545084781654232,0.0152512951748079,54503.5992920306
"7",-0.206203771563342,-0.176006099783527,-0.218246485396596,-0.135855773127836,-0.123596749093572,-0.0767821541921981,-0.00149598743558503,0.00793805047354025,1.01806491619135,1.01475929425583,1.01656631825041,1.001235349299,1.00165438190113,0.997972180188844,0.992195785694422,0.99716915171206,-0.0353919386462098,-0.0568296003066793,-0.0486909776218695,-0.0534867156447021,-0.0577164935840848,-0.0424308718083469,-0.0274300679260088,-0.0072964827343785,-0.0315224489706721,-0.0566708635387976,0.0352421506404326,0.0305567180980056,0.0393206751927033,0.0390584638809074,0.00175716403794163,-0.00964040281152852,-0.0939872215692881,-0.0955807583068046,-0.0853840822298914,-0.0640774977939899,-0.0131286516138111,-0.0233159074325624,-0.0220133086913555,-0.00148477176611787,-0.00749864988993971,0.0164091509294522,0.00534309088173494,-0.0105258128690541,-0.00282845199883922,0.000903169461499138,-0.0175466835871805,0.00064919363363699,0.217196099011503,0.186364545852412,0.168133937508867,0.151628436361671,0.127805945798008,0.0886972157249287,0.0533633583512745,0.0152200184138167,54506.4946209552
"8",-0.196333663950844,-0.137432185868103,-0.184686934412383,-0.0781351836589696,-0.140671621909363,-0.0624344577602129,0.00664363636851728,0.00536472843165454,1.01409236730707,1.00760690780983,1.01300171512876,0.993264792800542,0.998785926990511,1.00176323353793,0.992476786019798,0.997360615314854,-0.0345559528234056,-0.0437498601393778,-0.0597144191759465,-0.0542781364480361,-0.0519813767176625,-0.0388674811698158,-0.0250121007915637,-0.00623960038775127,-0.0487222277168717,-0.117139359669577,0.00324317430219522,-0.0238677714842073,0.0837303358307834,-0.0184995186464647,-0.0238553689173786,-0.00632913968219031,-0.0935987712317082,-0.0943430947090794,-0.0804932635043447,-0.0824181834242292,-0.0165348854836401,-0.0187579022486912,-0.0228872545426247,-0.00124969470131844,-0.0017998649699459,0.0127830280086035,-0.00890822624372717,-0.0128270117002114,0.00148275736560841,-0.00848589268070846,-0.0182914394455412,0.00107752714785941,0.214115252880263,0.187426912116446,0.169492684956519,0.148827110362219,0.127252945956432,0.0896624093049645,0.0538025657012477,0.0153248003631459,54491.6397921517
"9",-0.126186545794971,-0.139009268554465,-0.220427491182791,-0.126606805575479,-0.107658412988631,-0.0760675589334825,-0.0180494042143904,0.00518025895820786,1.00797967997104,1.00890683469803,1.01885230014366,1.00227515217312,0.99985893712068,1.00166619219956,0.995458182365095,0.997802856412144,-0.0414809084031056,-0.0482228687328595,-0.0580201590145585,-0.0659735778502192,-0.0593562857907899,-0.0376279172654906,-0.0279745598267127,-0.00638702407065842,-0.154414188937482,-0.0883187693279332,0.00886065613723679,0.0219280721509854,0.0189613999850005,0.0153406794633737,0.0106925478927665,-0.00903077689457869,-0.0999487109897509,-0.11560188672795,-0.062590716868876,-0.063846465104677,-0.0193214968008305,-0.0183194443752111,-0.0163214156748972,-0.00108725130840127,-0.00581259252150404,0.00519616328786452,0.0160752735595801,-0.0136810114392018,0.00275017537826812,-0.00801982411907864,-0.0151249007452158,0.000284393906536086,0.213677578198148,0.184764931650301,0.171365586723897,0.149595449244225,0.127604461063835,0.0883003360728655,0.0539714995323047,0.0151981021326867,54502.9198231281
"10",-0.178028163187581,-0.13730396335166,-0.20540392128323,-0.103610304218264,-0.139837320221718,-0.0704574793752234,-0.0197738905393852,0.00880295020406515,1.01079893319893,1.00519739448779,1.01972654375958,0.996829065702575,1.00557686698358,0.998515885765332,0.996281741328377,0.997153410596508,-0.0420727527518748,-0.0488771336475889,-0.0562525474778335,-0.0562180902002652,-0.0495320054536372,-0.0393985720837121,-0.026443992102115,-0.00664819118023292,-0.0338554562379595,-0.0866134220300384,-0.012252639288158,-0.0121623186338155,0.0387977443235332,0.0365387968276666,0.0078344162466607,-0.00993913322901779,-0.108637793112327,-0.0965215432778057,-0.0817416129451505,-0.0707151915247184,-0.0155036517179379,-0.0286944332281273,-0.0167019886423833,-0.00222769345167204,-0.0211406750804072,0.00312912329761701,-0.00188886657084216,-0.0106442154677318,0.000363186454531582,-0.0157479838098763,-0.0122513685304067,-0.000481851258903288,0.214870035741506,0.188820173667912,0.172972724421329,0.150241340709756,0.12488393031428,0.0892832704209581,0.0554521572514527,0.0153699458747054,54496.9034519779
