"","beta.1.1","beta.2.1","beta.3.1","beta.4.1","beta.5.1","beta.6.1","beta.7.1","beta.8.1","beta.1.2","beta.2.2","beta.3.2","beta.4.2","beta.5.2","beta.6.2","beta.7.2","beta.8.2","beta.1.3","beta.2.3","beta.3.3","beta.4.3","beta.5.3","beta.6.3","beta.7.3","beta.8.3","beta.1.4","beta.2.4","beta.3.4","beta.4.4","beta.5.4","beta.6.4","beta.7.4","beta.8.4","gamma.1","gamma.2","gamma.3","gamma.4","gamma.5","gamma.6","gamma.7","sigma.1","sigma.2","sigma.3","sigma.4","sigma.5","sigma.6","sigma.7","sigma.8","lp__"
"1",-0.178891672737347,-0.148231329895676,-0.0972614015463557,0.0284972993555983,0.0422666993071292,0.0753738872187973,0.0615622565471869,0.00922485962698037,0.998481083961416,-0.115275619388508,0.0094415255920593,0.182455818971412,0.464368887853429,0.619539663911659,0.785703884440617,0.946941599468665,-0.104709106698779,-0.105120748870066,-0.0571788447569328,-0.0371264377347913,0.0203241358004604,-0.0521509636939519,-0.0190788148589869,0.00325554853585416,-0.00829263386547192,0.0222928210586602,-0.0256013811078501,-0.0371313375360725,-0.0160128803764564,-0.0293619265329751,-0.0304403171504814,0.00458418625232442,1.10092024609678,0.972538899009561,0.777536352972988,0.495157363452184,0.351337666681197,0.197069603664714,0.0499639893840925,0.213278972781942,0.182721976763156,0.158817214069061,0.133323714386626,0.106633188254234,0.070762200530401,0.0396936404769735,0.0117570941090439,59126.6489734703
"2",-0.167511419414897,-0.128845049936124,-0.102731786709607,0.026084888138295,0.0466747372233776,0.0855403894693671,0.0815610344865529,0.00968018557817711,0.991440840481165,-0.0916245667990593,0.0249586143453626,0.172536169669833,0.456022232374403,0.624152890167916,0.776474801996438,0.947745741029314,-0.0931188920129311,-0.100403075556738,-0.0664895257444166,-0.0416648341239792,0.0255526708129881,-0.0552530596266735,-0.0259157120114537,0.00286946188341998,-0.00886550311967584,0.0303988776100052,-0.0307639408272691,-0.0295986345948808,-0.00674012539038892,-0.0340188764989704,-0.0363064648226516,0.00432184860066171,1.07049833531628,0.958906204343564,0.788927677301606,0.501085984151131,0.342847275919652,0.201183492767014,0.0490696369712758,0.217145924060641,0.181747721830908,0.156800082746098,0.129546901119402,0.107790881829516,0.0730081634425409,0.0394857948963785,0.0117408863268633,59130.8094804174
"3",-0.189473551335897,-0.122835158686429,-0.107859224091343,0.0353930626916706,0.042546361859453,0.0762353864998336,0.0726524881104434,0.00875424392114221,0.999761645365595,-0.0959155104434549,-0.0174956923158972,0.196366596557656,0.446190999683277,0.630023364116405,0.779582682291337,0.947877626944791,-0.0924549392177062,-0.107230899191888,-0.0685750641958059,-0.0523799732757353,0.029215034041826,-0.0489023523837663,-0.0229604776370477,0.00343203390942489,-0.00959375352985476,0.0235296971646605,-0.0328703493312006,-0.047807088636719,-0.00974233858490707,-0.0269307954974306,-0.0315109457610456,0.00475440737169875,1.07611289064719,1.00232163514319,0.763738581229786,0.512311081928991,0.339043173795324,0.200293086608142,0.0491433381093833,0.218990240226938,0.181682132566483,0.157619033512372,0.136416023706212,0.109251656947481,0.0709514731744333,0.0396403113110946,0.0116992035034838,59141.3714563984
"4",-0.190891815799219,-0.114142568711878,-0.125930818679693,0.0595237423609374,0.0518178149764184,0.0781591361273209,0.0666471269391092,0.0103192948045877,0.999017900126499,0.0310854944391081,0.0242569411939957,0.154083140634963,0.439051195892803,0.615238109875117,0.781677731140687,0.947031927883239,-0.087304800767197,-0.107063019794795,-0.063568981352658,-0.0509265936184091,0.0281661021127267,-0.0534953909435056,-0.0238445497428742,0.00206370933522297,-0.00084010254460463,0.0291310361080446,-0.0263468371055473,-0.0386945913965792,-0.0138991773366522,-0.0286700369391585,-0.0307559764332624,0.00452179598859332,0.947260220097455,0.965729718922073,0.797445425708276,0.517815685320546,0.354518913334489,0.200203852762159,0.0496566342778883,0.211055060999174,0.18056394974561,0.157448634218627,0.130836966656592,0.10760344157546,0.0695533066244228,0.0402750500147602,0.0118975694291719,59131.8277361589
"5",-0.166968998920352,-0.122747718446104,-0.0878975524554969,0.0558470933492657,0.0445406294279048,0.0769293352071379,0.0688997621460779,0.00949446747308277,0.991636768625043,-2.84851468156686e-05,-0.0635408674182516,0.201725766030148,0.442195688358694,0.636247018199252,0.781710520377432,0.946960563521113,-0.0964174843963275,-0.114182803993415,-0.0649545053553656,-0.05381732145176,0.0285678200404659,-0.0504871418973576,-0.0199467044589594,0.00269182452952061,0.00668124904478507,0.0177534479979246,-0.0371419509447381,-0.0433933416981287,-0.0101342750160205,-0.0295055384884353,-0.0314743403034497,0.00485821482175649,0.981827521257575,1.04513053600188,0.749724514932785,0.515604704265883,0.332932157196203,0.199115825666672,0.0500245692710404,0.219362569513009,0.181382647592513,0.156298636841694,0.131312473841651,0.108452795882454,0.0707936803605255,0.0392798159134575,0.0116426591246101,59139.2603176985
"6",-0.160142461773519,-0.145951538054379,-0.0810912750087103,0.033745132022914,0.0519158952382982,0.0678673912522809,0.069539973195924,0.00922812101241318,0.992531906909946,0.026820422617112,-0.0348768677932849,0.191689497580713,0.427662317758799,0.639444293510137,0.78036941892947,0.946405873128568,-0.113087493946861,-0.100337480907841,-0.0683029476462829,-0.0519245328206593,0.0272209355223153,-0.0495384978456776,-0.0204961489335045,0.00236220256300152,-0.0146586433070851,0.0291927059183357,-0.0342221093185033,-0.0439886234251033,-0.00262479552782487,-0.0253563211378158,-0.0299443448664892,0.00415182301204135,0.958604892642172,1.01186503734536,0.768141146429274,0.528446244848816,0.331936954120434,0.200542342587091,0.0507345036230876,0.215202190101813,0.178742806356117,0.160190858315511,0.131307180427815,0.107066100890364,0.0719271078824864,0.039487883214146,0.0115906205494335,59135.3687594083
"7",-0.220628393290277,-0.149512843768746,-0.123699961965956,0.0323348587358109,0.0423975743048424,0.0851913306654434,0.0619427848595525,0.00977284526513847,1.00610697111903,0.0636911474263942,-0.0303257883944345,0.188889690762136,0.444592150054351,0.621374266808378,0.786005974007709,0.946933132117498,-0.0875332652276096,-0.1078744524174,-0.0609518815172059,-0.0425277108374638,0.0234300837300273,-0.0531184063288099,-0.0215754430346065,0.00266544698307656,0.00951020454728802,0.0241837888715501,-0.0223442890885343,-0.0357472284585517,-0.00851908476795777,-0.0300035388895685,-0.0292810887777782,0.00451850546600627,0.92537915018997,1.02012119299428,0.768944304718971,0.515260227703153,0.346391041915057,0.197523125144037,0.0499900015482727,0.217779999659517,0.18149983894256,0.152812704561411,0.128420917954633,0.108724221084573,0.0704240106276572,0.0391346835620033,0.0117896440053306,59131.976494485
"8",-0.205304264805822,-0.126986235591441,-0.113158274635528,0.0422956320573091,0.0479816838914068,0.0711274935681549,0.0705992405872539,0.0110144996448127,1.00312163128997,-0.0296287624676098,-0.0495798641897779,0.165953308371892,0.443912261738403,0.634214320697291,0.782984401142025,0.947949181191395,-0.0856715722318737,-0.114676316799449,-0.0578242054114296,-0.0325566970720614,0.0270489761120192,-0.0468664182931449,-0.0211675440481609,0.0026937309731637,0.00516296912310113,0.0215417043522767,-0.0309899905651865,-0.0318877800859059,-0.0115243918600074,-0.0279633300872118,-0.0342958609258758,0.004161298867908,1.01265632801449,1.03674974752704,0.787337622862461,0.513083693703515,0.336642061058687,0.197705566768584,0.0484420225415117,0.217264099749231,0.181600044127464,0.154892703063651,0.133124504554459,0.110878044876714,0.071186438795098,0.0393870523899246,0.0118865479214494,59134.0798127327
"9",-0.218620456950669,-0.131199387944645,-0.108722817216288,0.0443814728186128,0.0504127980037406,0.0657347317878209,0.0659617339883038,0.00991493366211084,1.00871068268701,0.0118576519533421,-0.0636478230457341,0.150362506036461,0.436886527264927,0.63197724208486,0.776609988418116,0.946459774060578,-0.0847816333304735,-0.107969909227076,-0.0497374591674605,-0.0367003708143193,0.028917432182209,-0.0492500702943518,-0.0215255402682861,0.00302198036669077,-0.00619851380478991,0.0180642345340574,-0.0336233255801878,-0.0361202546400489,-0.00801172627212918,-0.0273601578628331,-0.030420923527563,0.00454764658753234,0.972762958374581,1.04828793931362,0.803554073581359,0.520259517818241,0.340527400360758,0.205728144618808,0.0503251617743953,0.217496352053771,0.183177219922021,0.153596260465282,0.131204180775023,0.10827320339301,0.0714492633063259,0.0389599609548825,0.0117647500488424,59135.0586163425
"10",-0.16343810666557,-0.0997124776571021,-0.0847866670024418,0.0219273503777158,0.0360261403168792,0.0743608690746456,0.0638827488092607,0.00932468026558233,0.99349039294242,-0.0570554326292048,-0.00328077477733678,0.182303629723186,0.404470209652258,0.628975525219479,0.781547641373139,0.947458606659583,-0.108857748898944,-0.122251297497419,-0.0629659027795554,-0.0369799422116345,0.0399095158860437,-0.0482535311295821,-0.0228239920030115,0.00220279392709109,-0.0119506050738568,0.00820523770784854,-0.032004239166407,-0.0325064335906049,-0.00168992061549001,-0.0338211592509803,-0.0290665437743692,0.00401169668945302,1.03448301489322,0.97984597896359,0.778244808755699,0.556263830353119,0.340452322935612,0.201115987281228,0.049681840271078,0.216496346285004,0.178787968414912,0.15622534180052,0.129205223962595,0.108265602166679,0.0711098544282289,0.0393215094321137,0.0116738796765657,59127.4675438255
