"","beta.1.1","beta.2.1","beta.3.1","beta.4.1","beta.5.1","beta.6.1","beta.7.1","beta.8.1","beta.1.2","beta.2.2","beta.3.2","beta.4.2","beta.5.2","beta.6.2","beta.7.2","beta.8.2","beta.1.3","beta.2.3","beta.3.3","beta.4.3","beta.5.3","beta.6.3","beta.7.3","beta.8.3","beta.1.4","beta.2.4","beta.3.4","beta.4.4","beta.5.4","beta.6.4","beta.7.4","beta.8.4","beta.1.5","beta.2.5","beta.3.5","beta.4.5","beta.5.5","beta.6.5","beta.7.5","beta.8.5","beta.1.6","beta.2.6","beta.3.6","beta.4.6","beta.5.6","beta.6.6","beta.7.6","beta.8.6","gamma.1","gamma.2","gamma.3","gamma.4","gamma.5","gamma.6","gamma.7","sigma.1","sigma.2","sigma.3","sigma.4","sigma.5","sigma.6","sigma.7","sigma.8","lp__"
"1",-0.170125857287913,-0.153976851038991,-0.116214309581056,-0.0430836211870304,0.0112025705882829,0.0723905155138872,0.0739228924655012,0.0188897766771302,1.01236820207158,-0.0258352836485792,0.0305270445122158,0.200882102410417,0.462062350381181,0.644377989475162,0.786870099546494,0.947947157120359,-0.0383430037686517,-0.0559327792286925,-0.0622748469744898,-0.0522853596948061,-0.0436009192059157,-0.0224242705247833,-0.00987970254764402,-0.00189890865120815,-0.0573841009022913,-0.0510981221599493,0.0314818133369595,0.0731526842706717,0.0208032232461093,0.00237897087632819,-0.00527251531372473,-0.0156961111786039,-0.0962891813891564,-0.100725924934695,-0.0602759627926555,-0.0257908457439067,0.0380416656407754,-0.0537956844033326,-0.0211600633916028,0.00188663617624648,-0.00656341995452736,0.0329207953303368,-0.0231592125668919,-0.0161003004217515,-0.00233442617840607,-0.0309438667459362,-0.0292353976038424,0.00364570584865358,1.03178778295423,0.962782649284243,0.778063445549178,0.509755785771065,0.329971318189321,0.194513799204448,0.0486118775018882,0.220436103822801,0.179209067473804,0.151780481831943,0.128472560489035,0.106829346750492,0.0700301339970008,0.0397400644312831,0.0115298847382412,59492.2421419764
"2",-0.146647164706684,-0.141937711819438,-0.131941246298434,-0.0116083735648324,-0.0125077949130153,0.0627703603634498,0.0678180137680918,0.017906199383687,1.00937374720378,0.000417840012914852,-0.0042954346313258,0.223627398659358,0.490264488943458,0.650663147763278,0.787319339915957,0.949744376703714,-0.0429021372232442,-0.0521652620332586,-0.0608169316471445,-0.062373015829592,-0.0480824425745609,-0.0213899566413283,-0.00972629400056347,-0.00103745217199791,-0.0942799713120444,-0.0475129355526236,0.0141449628813501,0.0395599084623978,0.0434585696471255,0.0179397237691975,-0.0043363923767902,-0.0175632071354772,-0.0887477230195446,-0.0958162973412987,-0.0581739998235054,-0.0260299420791343,0.0373524889283214,-0.0485365593188371,-0.0185474198877906,0.00165004388717151,-0.0212588427363722,0.0241907515360058,-0.038329379200663,-0.0236955893268475,0.00213222986027987,-0.025731978029795,-0.0307064439643933,0.00374514514525192,1.00138888130555,1.00563680343671,0.752411806919908,0.485643243939784,0.323418044201176,0.196093482990213,0.0470174214901485,0.217646844222917,0.177837602393255,0.151309200313827,0.129856825876163,0.108721700259759,0.0708537455148859,0.0385943970165215,0.0113080331282169,59489.2614809135
"3",-0.173554682482885,-0.0939946338939061,-0.146766535433771,0.0234705981040973,0.0176571186835014,0.0561578769141404,0.0770379342150899,0.018256772557108,1.01203799837609,-0.0247313877899574,-0.0643801656919291,0.183135851663598,0.466084815603838,0.644339736622435,0.788702116367544,0.94739977631772,-0.0472152701089807,-0.0544989987947552,-0.0546551228764824,-0.0562003586156762,-0.0362412166909047,-0.020983822073869,-0.00981023873247933,-0.00205785800979113,-0.0713845026865478,-0.0624818905327813,0.000499739479963027,0.0171761530730048,0.046960627413517,0.0043299750522118,-0.0126705418054305,-0.0148058191299405,-0.0730532263087047,-0.113556210380711,-0.0470583217777102,-0.0408323115047108,0.0297473417397687,-0.0432173968119468,-0.0229412824065771,0.00264479732654107,-0.00921222184116064,0.0181000104110672,-0.0104808515305776,-0.0389819376589687,-0.00861930642613261,-0.0225590022887816,-0.0342663241067718,0.00415229595111425,1.01661863000312,1.06836585958112,0.786932994103296,0.501445366560685,0.332351948905329,0.193375752538361,0.0490640954285038,0.215848264985188,0.178737656269138,0.154407749816647,0.130427737840413,0.106793725612235,0.0710376933219513,0.0391234103253486,0.0114585806458342,59488.459792832
"4",-0.131095322842209,-0.105980295496784,-0.162528823563852,-0.023568200382549,0.0108942014006314,0.061739197854208,0.0774437103450921,0.0191522304318943,1.00139387722689,-0.0808138120242963,-0.0127227975517415,0.252079570382567,0.483932035433032,0.651053794058421,0.787726002398349,0.948054051541414,-0.0326585890653593,-0.0452403798835517,-0.0577584135262426,-0.0543224618150475,-0.0396609447739276,-0.0208605594457771,-0.00897826963676562,-0.00136614875708051,-0.0789898606450141,-0.0352191292330225,0.0327087701900233,0.0297820955261288,0.0275004374144235,0.00852501514318192,-0.0200594434379131,-0.016441203038826,-0.10002395681556,-0.110061801803531,-0.0547608248047892,-0.0327646215903032,0.0378404062628806,-0.0468446493775895,-0.0223327669726814,0.00246330982318116,-0.0152260791599231,0.018103805910058,-0.024527994099099,-0.0332263218161707,-0.00485440132623035,-0.0214225265605242,-0.0303528523347948,0.00440255260539642,1.06954246345074,1.01936211738584,0.726750068041538,0.485686293057444,0.323254155529154,0.194602059077965,0.0480649802426927,0.216627666040724,0.180454188512483,0.153872588385686,0.127365079255521,0.107482944651439,0.0697372847190465,0.0399275196096178,0.0113912983465016,59493.4395694451
"5",-0.138652413961525,-0.0830657024324086,-0.112477185202496,-0.0145454993237428,0.0289762804118706,0.0527924588549696,0.0788734199814,0.0215980221899008,0.999198634354226,-0.0387735615259964,-0.0679878238119681,0.211601127050646,0.448220546406422,0.652578454372547,0.785476193769131,0.945455369761012,-0.0359747561808453,-0.0420349765578275,-0.0573467615250819,-0.0530774062056017,-0.0410469237639061,-0.0222101457658104,-0.00950381038304702,-0.000899245770105441,-0.0370654601562314,-0.108615904111151,-0.00139068152129674,0.0507581118364254,0.0307356732165051,0.00488209019730306,-0.0196445304215004,-0.0176981446991598,-0.11134229619014,-0.100805289778699,-0.0497526078634786,-0.0333594525431436,0.0340634306407902,-0.0440640830816568,-0.0233930765579469,0.00186195540230404,-0.0239589744346158,0.0149603045577975,-0.0195053716315479,-0.0340656900576527,-0.00678899934655641,-0.0239252177228411,-0.0317753260078893,0.00390697853308998,1.02906471729922,1.06334682183072,0.763695896353196,0.517528106312495,0.325448962746292,0.196748865015659,0.0502381498789379,0.219255946069123,0.178334553691107,0.153552648604924,0.129751021797281,0.106651543326965,0.0691433288036224,0.0394327511207912,0.0112782368322279,59491.7105399898
"6",-0.175518189182794,-0.145140561391753,-0.127119248638548,-0.0408588514221555,-0.0044886702446631,0.0608567012505966,0.0807156905031272,0.018937285677026,1.01195251190405,0.00651337929867338,-0.0473914788558827,0.205949953482623,0.457766899179002,0.649986769139359,0.785639695936167,0.948184892732177,-0.0390999796511172,-0.0547680192451829,-0.0533023625275447,-0.0601212607933693,-0.043640658716792,-0.0206651700951166,-0.00889507432841431,-0.000741038254690087,-0.0602855397893268,-0.061246116555001,-0.00261207177335638,0.0632446555216143,0.0472682656926823,0.0164094053599463,-0.0235763657619352,-0.0139754151294122,-0.0913792307247694,-0.0971412845697563,-0.0553512291427867,-0.0227131891110403,0.0398314366760976,-0.0493017117787648,-0.0206789560471407,0.00149092689572779,-0.0075084037894858,0.0243209857196719,-0.0219505101788318,-0.0212840848936405,-0.000659178306724319,-0.0313739397780439,-0.029716845254798,0.00324208873175789,0.997409426064782,1.04728092027623,0.77561014980316,0.514633143639401,0.325007737279473,0.196449937819929,0.0477790520303403,0.216947837392786,0.179976847013889,0.152804440637648,0.128755852970349,0.107827140359531,0.0711773164811823,0.0391587548657551,0.0116841236152829,59494.8043832329
"7",-0.169778569801884,-0.109841412878695,-0.173741476004321,0.0184206427795961,0.00884061941524525,0.0905357709472931,0.0670605782939601,0.016539352631794,1.0122079166429,-0.077592912986327,0.0706084170535379,0.185580129070769,0.468555006798964,0.632136285234515,0.795346142347823,0.949433606694792,-0.0498286937370093,-0.0517311033917477,-0.0614340437025723,-0.0503296683146462,-0.0433421776894789,-0.0153169854864694,-0.010891059650523,-0.00122415465769405,-0.0777170804063426,-0.0774086149118538,0.0322838724174992,0.0358738928905694,0.00327302811580739,-0.0142322114031898,-0.00963335517021154,-0.0141516469074015,-0.0933245223122091,-0.10793155900645,-0.0502824317622399,-0.0362671170350038,0.0402925854147763,-0.049383702124317,-0.0207260464380513,0.00210477738632205,0.00279653727816682,0.0403902399026951,-0.0103432200875957,-0.039018355101247,-0.000861347813870016,-0.0278611889481592,-0.0267664704986545,0.00380328213474003,1.07241956582381,0.938525921523748,0.782203011497686,0.506886575978002,0.336938852791606,0.18851576917261,0.0471697426284125,0.219079068238082,0.173087764715048,0.154644103502779,0.130229543955762,0.106901174611289,0.0717476555708148,0.0397212406611756,0.0114187353348213,59482.9569892356
"8",-0.189250094741782,-0.113503011617796,-0.145821074725294,0.00610283669127732,0.0233342545099455,0.0600870401894384,0.0758002725359445,0.0171865007669212,1.0187638805987,-0.035339219067855,0.00506354964518746,0.20198092453378,0.486073333841243,0.642083736299506,0.78087860579114,0.948801288167334,-0.0439333700630903,-0.043135229679267,-0.058079177482797,-0.060877384035796,-0.0370683481487304,-0.0198783940051396,-0.00375519142815321,-0.00109129993676443,-0.0976722536243732,-0.0779979797482722,0.00682669564467622,0.0415474155268361,0.0253707556331204,0.00955900908962985,-0.0172870835460914,-0.0169982567560427,-0.083071127670606,-0.099691356909761,-0.0527687254852987,-0.0395509822530142,0.0287555031987453,-0.048080724456063,-0.0212592889301367,0.00253904568888084,0.0030695383132026,0.0310055771484575,-0.00919193942583786,-0.0390390711705565,-0.00515375251308022,-0.0297207206836193,-0.0301334203491461,0.00405152094036955,1.02964178960022,0.997846824129392,0.770076776854708,0.481728462389961,0.334363137134224,0.201064764083384,0.0481203120133354,0.219821183325512,0.17613481162313,0.155367596678103,0.12836364381453,0.105915439871899,0.0705642868977465,0.0386751462456156,0.011524235756727,59489.8639566374
"9",-0.146074479470213,-0.155243436605683,-0.188749238281386,-0.0159440031431704,0.0343511240412543,0.0680074150407159,0.0793278150455574,0.0198605028489161,1.00542940740802,0.0305084699731762,0.0600955506937532,0.171824859255735,0.469474728881094,0.636039938089807,0.779317920033728,0.948021623857827,-0.0437978093155251,-0.0592751499123222,-0.0646732643384145,-0.0552768902297498,-0.0391031285401328,-0.0206506689559431,-0.0091714886874695,-0.00177104506401012,-0.0877108196152444,-0.047421448775365,0.0424635477270043,0.0550264327554555,0.0054257111318254,-0.00463723480001346,-0.016213832321065,-0.0167151153375978,-0.0946035950270596,-0.0896913584762826,-0.041444201336887,-0.027292747335765,0.0305127820694671,-0.0448845468647217,-0.023407109036867,0.00184968774993236,-0.0159044421363918,0.0256364482486651,-0.00642136005679655,-0.02731109324668,-0.0159776027291248,-0.024979227333643,-0.0299406158393405,0.00365667698208589,0.97628648349291,0.951855785101004,0.802513698100784,0.498197348346557,0.33904447489695,0.202425438917108,0.0483574567092952,0.210372122427192,0.177280747486407,0.155222635519239,0.128219437981772,0.106865546797672,0.0713257996953063,0.0398969386100744,0.0119292528774575,59483.5315201132
"10",-0.0990909643036609,-0.0982155811632854,-0.161956917681672,-0.0287373686300574,0.0337661744300859,0.0753483653944583,0.07323648805691,0.0164212917019417,1.00169501778536,-0.0765097369925399,0.0250066015257347,0.20786581060935,0.473083692831795,0.641310947463882,0.792200082394358,0.949376755636148,-0.0509225148690561,-0.0567751717821086,-0.0599226449866375,-0.0587609338075208,-0.0413699601723845,-0.0190357278642963,-0.0105000577041355,-0.00192591406336853,-0.132917064044081,-0.0619613547536015,0.0186277416502687,0.0810688039022581,0.000478623636069125,-0.00847746345210439,-0.0154636116901407,-0.0120318445885857,-0.10674216728882,-0.0997216130325805,-0.0481251161242715,-0.0328128261826915,0.029706170455521,-0.0502125270166005,-0.0190122073430383,0.00308789562492828,-0.00908681872913802,0.0299494068197336,-0.0164184620390464,-0.0342800751418784,-0.00340960937954706,-0.0294961864976189,-0.028787804767486,0.00439015331267781,1.06596599949256,0.982656907877164,0.768867109785061,0.494711439445072,0.332535107255249,0.190471375279339,0.0470574819826093,0.21702285775851,0.179336110341005,0.152543646046803,0.128323396171669,0.104548279850832,0.0709649194362608,0.0395002325651993,0.0115804161342501,59494.7464903096
