"","alpha","beta[1]","beta[2]","sigma","lp__"
"1",-0.28253137162807,0.998664111095909,0.2908895329765,0.295857911312056,14035.3757940298
"2",-0.278086828807777,0.997050062916084,0.291541292118249,0.296653622677289,14035.4623665257
"3",-0.277785473517576,0.99732768974479,0.291731148938948,0.296779326421125,14035.1377937939
"4",-0.277666290963981,0.9976523192765,0.288961166580992,0.297992747461433,14036.6327839839
"5",-0.267012554151573,0.997072756531841,0.280249836132648,0.296293873070286,14037.1269523005
"6",-0.267435465658616,0.99765628432548,0.27833703890702,0.295839775669057,14036.6116223847
"7",-0.273262430734124,0.998341572447827,0.282529528099423,0.297118473975031,14037.2545889605
"8",-0.274573860543133,0.99910169493133,0.280999450329493,0.297307603813042,14035.6183983915
"9",-0.274606659585527,0.998537124459832,0.282975986917575,0.298330165579238,14037.0402859641
"10",-0.262567897166937,0.996043793485855,0.279248016236385,0.297722156556487,14035.3621204846
"11",-0.268377970526204,0.998471521409312,0.276174966702864,0.299149687050142,14034.7955924972
"12",-0.269880355013796,0.998306777841964,0.278807838356412,0.297704965754238,14036.5396771839
"13",-0.273512531843053,0.996691484444008,0.288971537775642,0.294020751504237,14035.2809282526
"14",-0.279426955505935,0.998375525809157,0.288521974748526,0.29331750474929,14034.989406943
"15",-0.279148969654266,0.998474347874094,0.288616712123247,0.29330891954172,14035.0112937707
"16",-0.270728532728171,0.995913622366837,0.288442780036203,0.293886194057048,14034.1466714291
"17",-0.270821950718196,0.997218982580627,0.284026078631297,0.29608728786208,14037.4964982457
"18",-0.271697010368705,0.998376658241136,0.280785667728809,0.296763811495171,14036.7633215594
"19",-0.272476129384109,0.998828299508501,0.280052495560446,0.296672998607201,14035.739874745
"20",-0.272829195437764,0.998497575857587,0.279753477720962,0.29655797673436,14031.5202023214
"21",-0.272449738864141,0.99887485319576,0.279968850850449,0.296637359701301,14035.441195624
"22",-0.280170500157076,0.998190176305576,0.290625329482129,0.299323659268224,14036.4281066482
"23",-0.278829024557687,0.998579657970117,0.287099989693271,0.297940881933268,14036.5652791817
"24",-0.269887724624877,0.997129598980994,0.282723913752038,0.303549220780426,14034.6007013994
"25",-0.27007353605465,0.997725448542546,0.281733857646885,0.301083555921612,14035.7435868959
"26",-0.270147635653009,0.997387821716232,0.28176330885198,0.30114005621512,14036.0292721586
"27",-0.269831430393308,0.998699934875717,0.277872647753896,0.301639196538015,14033.5433112275
"28",-0.265945826234902,0.996566307785352,0.281239362753964,0.292621950118752,14034.0775330723
"29",-0.26611645738353,0.996544196383604,0.281062161492567,0.29204799571429,14034.0784225849
"30",-0.266227247047697,0.996412080585253,0.280905126937428,0.292026473655319,14033.0110515372
"31",-0.276575661895719,0.998729797563068,0.284571105240568,0.295445154645297,14036.4543228413
"32",-0.272320865507325,0.997809568247504,0.283094820966123,0.296585542377224,14037.7716440626
"33",-0.275690261809044,0.997532617372201,0.287924938413656,0.295988654916375,14037.4933634506
"34",-0.269871897906968,0.997462231764909,0.282473611354315,0.293628317286095,14035.4119899477
"35",-0.276242575428645,0.997744594756101,0.288292156576776,0.299828360012834,14036.5525502601
"36",-0.274739306245874,0.997331145369214,0.287436724550045,0.297159422750686,14037.7309512371
"37",-0.26862478049592,0.996963523727288,0.282040068680247,0.296295678769435,14037.4326123493
"38",-0.26735984200264,0.997847312598498,0.277497520403312,0.299224180001435,14036.2441314494
"39",-0.264059076771634,0.996302951218028,0.279500851196515,0.298492761709363,14036.2020288712
"40",-0.265849557251731,0.996430547789987,0.280936348848327,0.298340860790265,14036.7353242071
"41",-0.270040670277852,0.997742627455033,0.280805966161394,0.298380891429075,14037.4753832078
"42",-0.267934632373718,0.997054033991987,0.281672546737164,0.297513275377032,14036.9954107679
"43",-0.270187520722682,0.997063504192006,0.283699948067937,0.29833244474419,14037.7502906444
"44",-0.272134995930176,0.997820513440361,0.28302180450149,0.298846895875166,14037.7283588857
"45",-0.274333334411808,0.997422484191746,0.286468450868506,0.300039221432144,14037.1844910627
"46",-0.270126167704649,0.9974674067149,0.282022929884825,0.302885974028948,14035.3822507479
"47",-0.269527723410178,0.997454828531359,0.281413164625572,0.300270681671618,14037.1066341951
"48",-0.27693241203109,0.997549127445966,0.289293594519655,0.296259555604886,14037.2449248613
"49",-0.273410320310634,0.997760550265307,0.284435108263194,0.294914194314343,14037.2852334155
"50",-0.274889111057404,0.997651525256005,0.286404738884446,0.297321465571997,14037.8627754371
"51",-0.272776515223527,0.99732144499521,0.284270573764772,0.29842378876827,14035.1275543559
"52",-0.272074502055628,0.997657424855471,0.284612561386051,0.298260476926683,14035.3751473025
"53",-0.274734227532895,0.997856736319428,0.284490564977941,0.296767028293385,14034.9942252261
"54",-0.276433189073638,0.997806947667405,0.286766821983959,0.296924986945021,14035.9772777238
"55",-0.276090714826426,0.99743842726439,0.287678755782117,0.297036376595585,14035.7926250666
"56",-0.273139640042876,0.997060443634512,0.285919417760898,0.300684982024035,14035.4976369835
"57",-0.273177857822756,0.997157055800319,0.286019904047867,0.300615046858062,14036.6445156613
"58",-0.273554626728285,0.998270329675476,0.284066674932234,0.295447225149516,14034.3873028461
"59",-0.271545908878472,0.998333854966279,0.281366491197486,0.297726837093018,14035.6015596546
"60",-0.271365458558979,0.997794389271008,0.282450251812402,0.29786386276668,14037.7090216884
"61",-0.270985763000821,0.998492755960196,0.278518951986152,0.295987121421519,14034.6479751644
"62",-0.278549114550719,0.997984757798094,0.28957393945451,0.299689839602961,14036.7768476967
"63",-0.275221549003174,0.997323736644943,0.287396723835927,0.299769184011197,14036.3290407358
"64",-0.264584350563861,0.997078003620176,0.276616181164718,0.302318747749061,14033.1763793339
"65",-0.265536917934295,0.997853660621001,0.275008079681062,0.302194873825904,14032.8017502732
"66",-0.273963011349919,0.996966657279064,0.288521329452142,0.296334338244119,14036.6718284482
"67",-0.274041665785171,0.997137761376114,0.288512708743883,0.296288439625631,14035.1712981673
"68",-0.276909748216219,0.99800088668962,0.286640031517504,0.294533135596133,14035.2015779752
