"","alpha","beta.1","beta.2","sigma","lp__"
"1",-0.27362782349291,0.996712929961516,0.287768310814002,0.292760363575911,14033.7442234378
"2",-0.270691907155033,0.997009371141929,0.284501256071156,0.291587262026956,14034.3608142169
"3",-0.277239286431962,0.998856488972359,0.285724600852309,0.294941392096087,14034.367810431
"4",-0.271568620435324,0.997285286591321,0.284009273908615,0.296848209678142,14037.8040506311
"5",-0.27948357396237,1.00021715169597,0.282866249310827,0.300458475075816,14031.2550828596
"6",-0.276525146980709,0.9979106648413,0.287334514735106,0.29524985325023,14037.1966897051
"7",-0.2741629465857,0.996797710614165,0.289004498730934,0.299041509865418,14036.8217045278
"8",-0.28045659686816,0.999536896171287,0.286514558068157,0.301065743096036,14033.1711948512
"9",-0.281110978581324,0.997883383852742,0.292965299354348,0.296819023966348,14035.6694520373
"10",-0.27512448961072,0.997672007967465,0.285802624705409,0.296294120410033,14035.9260304677
"11",-0.276210045647088,0.997811064898187,0.287677652559025,0.29912987242361,14037.4104005575
"12",-0.2658740869421,0.997181698892575,0.279273137467169,0.296684924749949,14035.5392286079
"13",-0.27028589701828,0.996534618477407,0.285913102222961,0.29669387823873,14036.8522046346
"14",-0.272999506705033,0.997543542422207,0.28539753933165,0.297343892695755,14037.4993244583
"15",-0.27288263627743,0.997177266550394,0.285576561699187,0.298305554665356,14037.3526531125
"16",-0.261912262591737,0.995237576927716,0.280319467318224,0.296894393106724,14032.6359669552
"17",-0.275507884539986,0.99754712237093,0.287488094469027,0.294505264231085,14036.8885178235
"18",-0.275472725612064,0.996879811768275,0.289775526693284,0.297427557237558,14036.8598160166
"19",-0.258849501536063,0.996490166670839,0.273129415867767,0.296068641261871,14033.5229662093
"20",-0.274100645703396,0.997141061393024,0.287859864448143,0.297117371458511,14037.3877680888
"21",-0.265302499745376,0.99745014647207,0.276491314651217,0.29596928889994,14035.7467087152
"22",-0.266655177366932,0.995758423341924,0.285082396388612,0.300780477079659,14033.6664073928
"23",-0.265975771493743,0.996847198991023,0.280550983350449,0.295302214042659,14035.3010945929
"24",-0.266794919598522,0.997261138995368,0.278918538334129,0.302342761101339,14035.0622410892
"25",-0.275788422753096,0.998772050787604,0.283517505351979,0.293414904700633,14035.1058319969
"26",-0.275192986998461,0.997724669002167,0.286961078339973,0.296204286993652,14037.4809259993
"27",-0.279521645354162,0.998163287055844,0.290006566373861,0.29560184708596,14036.5236578321
