"","alpha","beta.1","beta.2","beta.3","sigma","lp__"
"1",-0.257118705428663,0.906568748255647,0.0870430311158557,0.299968759659658,0.268536401346276,14822.2905311696
"2",-0.263257223632567,0.910343877686714,0.0841140399283615,0.303372068093568,0.271352440904828,14822.910635513
"3",-0.261806847572824,0.912357759072911,0.081448234931847,0.303272139031054,0.271009011593233,14821.1062359935
"4",-0.253984001076374,0.903331344921591,0.0907368950233385,0.296234463506853,0.268638960517114,14817.4242242237
"5",-0.260253273480352,0.909580590773733,0.0846245952536067,0.300528803509567,0.270830384666263,14823.8202312539
"6",-0.266635582858387,0.913735413853768,0.0817594969286048,0.302917594270735,0.268161403545694,14821.538212773
"7",-0.256413246765327,0.91170638892044,0.0832166925394471,0.294111810281713,0.271504309764016,14821.6918798932
"8",-0.265451610838045,0.908970731369416,0.0856522345725253,0.304359795792993,0.268291374287811,14822.3794309658
"9",-0.259829605069998,0.905803629965483,0.0891612904175553,0.298876252560811,0.263856008169821,14816.9941226685
"10",-0.25658387535111,0.90908378901015,0.0854924483829187,0.296280018186299,0.267615689926901,14821.3781852401
"11",-0.269906337616072,0.912799585088983,0.0832512471767638,0.304330934019636,0.270050220455755,14822.109318783
"12",-0.263341679974827,0.911630295873656,0.0832780845003479,0.300863170390612,0.263623117076752,14819.4526138956
"13",-0.270256906239059,0.913595880783657,0.0830215268206974,0.302670095460342,0.267970881580386,14820.4180377803
"14",-0.258607177128838,0.912454734469648,0.081775681117268,0.297939289857363,0.272175542615134,14822.0112187111
"15",-0.265033949579491,0.906047020406173,0.0883717517027315,0.305753148530646,0.268034116800027,14821.5348373379
"16",-0.262141132821797,0.904528895176874,0.0903113132282503,0.300975443541259,0.268507676006177,14819.3753482261
"17",-0.254113234637633,0.909732216397515,0.0843223225057019,0.294444444378757,0.269485300603512,14822.6684836911
"18",-0.257705728814556,0.90770414042146,0.0865581510037264,0.29879389969731,0.268887983409781,14822.031288937
"19",-0.264565782991399,0.912960576288352,0.082315342968779,0.300700187391523,0.26885614783632,14823.0507212952
"20",-0.257789278174355,0.914722717616776,0.0794545797550597,0.297527647083644,0.270353786862039,14819.3021647542
"21",-0.263960568761699,0.911758768520749,0.0833258058737004,0.300945311879333,0.268072312822208,14823.4212370221
"22",-0.260974649444175,0.909151507991479,0.0856763538809969,0.299117943360477,0.271166905492015,14823.7120789444
"23",-0.255523492071152,0.909474080143396,0.0851103078565691,0.293974063588901,0.267650311881225,14822.2702809522
"24",-0.259038708763637,0.910746276820791,0.0844280912850583,0.295377502413308,0.269826860226923,14822.9070212052
"25",-0.258646891848552,0.909862408640059,0.0848223114847709,0.297026847186192,0.268496755910395,14823.6867712028
"26",-0.26053481780541,0.908402503670908,0.0859945128674721,0.300668019693859,0.27233435652507,14823.2109845592
"27",-0.261946214298344,0.909511238405479,0.0854771363226716,0.299843552246175,0.269816539780413,14824.166595811
"28",-0.262732860791468,0.909781026651627,0.0853875144602168,0.299351610894816,0.270265278605684,14822.8530166892
"29",-0.26350166883534,0.911818812868409,0.0835386772884062,0.300159079970895,0.272262015614673,14822.8659573064
"30",-0.269210190183575,0.915066059010895,0.0809248784713638,0.303156069322849,0.273646079191616,14819.4859519966
"31",-0.255821612646309,0.908484195189304,0.0857854238554757,0.295990255398057,0.270939443954964,14823.0291778063
"32",-0.263490904920447,0.908644052234954,0.0854081404955219,0.305087281393038,0.268299388034655,14822.6317317099
"33",-0.254086598205605,0.911158882760321,0.0824517519487412,0.296083468250898,0.269658804516587,14821.0124579846
"34",-0.261676437396368,0.912201041833075,0.0829856329295455,0.297725489078175,0.271620093294818,14822.3738615789
"35",-0.262960585010421,0.912770475452863,0.0824573627176054,0.299709205717906,0.273530919751451,14821.8282504384
"36",-0.256394695729872,0.909676899134862,0.0844234678782233,0.296910747450878,0.269605913554687,14823.3901003671
"37",-0.264675064618759,0.912517682649589,0.082785554774659,0.300876872538642,0.267556949662994,14822.8986609971
"38",-0.25993112473688,0.910496379350555,0.0851465923711631,0.295659713264823,0.268419539232135,14822.0550308389
"39",-0.264698040645157,0.909205259905376,0.0852593777341703,0.304560261975895,0.271899867838711,14823.061531098
"40",-0.262714302333187,0.908524999727853,0.0863804438124276,0.301561989162227,0.268752960273175,14823.4283050035
"41",-0.255952346352688,0.909260827939419,0.0847018848933067,0.296769441165137,0.267197715035254,14822.5478941981
"42",-0.250919498160537,0.907903659740122,0.086176847632347,0.29148810522118,0.267568756031214,14820.1512929807
"43",-0.267024914937133,0.910055304979135,0.0848683893555426,0.305705441665069,0.269827059187641,14823.238686418
"44",-0.258016666851139,0.913854395787216,0.0802129059220819,0.298205844980922,0.273951905118746,14818.6761999105
"45",-0.258941195921213,0.909558394342785,0.0856593981360725,0.296510289404753,0.271503665755837,14821.7561640856
"46",-0.263046474422521,0.907253882821321,0.0871461243746107,0.30356964233963,0.268166397273308,14822.9586902865
"47",-0.257239897993299,0.913081391173609,0.0820969319778005,0.292986649646189,0.27050101465861,14821.4149086008
"48",-0.264462806075892,0.909876963520505,0.0851687370905984,0.302452651130367,0.269459994444412,14824.0292699992
"49",-0.265993060016247,0.908429183368106,0.0861565874678116,0.3061781359477,0.269447259523974,14822.7125853174
"50",-0.265555669747349,0.913085968944056,0.0822223237855099,0.301864778880232,0.266227173555546,14821.7812087677
"51",-0.2618529367602,0.90696146725425,0.087809870292306,0.300872656158981,0.268959554832877,14823.0607846306
"52",-0.264995594678753,0.909500246627632,0.0853781335337117,0.303366946554254,0.268103573035694,14823.5899343668
"53",-0.255446694412055,0.909402614685129,0.0843811400034685,0.296386974684748,0.268601551111508,14822.2894288582
"54",-0.269334396360795,0.911915520641978,0.0831847625289059,0.306206886894069,0.267033554507656,14820.1091247366
"55",-0.26662559847362,0.913011030614301,0.0824594942010633,0.302814189470657,0.271232566011456,14822.7083797636
"56",-0.255551273510977,0.910783276697889,0.0831156849635377,0.295681055441787,0.269525932164164,14821.7833766537
"57",-0.266359503769421,0.911296476833912,0.0838919778331228,0.303922827288304,0.27248273238863,14822.6003555012
"58",-0.271342144004248,0.914116158278952,0.0823103562751993,0.303880898764147,0.270697024863228,14820.3196344218
"59",-0.259645126543032,0.913715055835871,0.0807993936665814,0.298063399318569,0.26613224967808,14820.6495305725
"60",-0.251104576441367,0.906100033075141,0.0876905652820429,0.292744254033881,0.268328875616165,14820.1663494443
"61",-0.263726675456568,0.906952131193648,0.0870739652893538,0.305548814533143,0.267396898248699,14821.7642475651
