"","alpha","beta.1","beta.2","sigma","lp__"
"1",-0.317285346799657,0.993534117779916,0.342627853667028,0.289163769708512,14211.6514777717
"2",-0.326879782177521,0.992745001235216,0.355968581871365,0.288826586372273,14210.3250855849
"3",-0.313479878217441,0.992777372432592,0.341700047066579,0.295484106935222,14210.1675550314
"4",-0.322550552819198,0.992931624200238,0.350916001527259,0.289382203196032,14212.4797469016
"5",-0.323931214712104,0.994392508605019,0.347381505069147,0.285382652673148,14208.5303049087
"6",-0.329351110658615,0.993835287205502,0.354620320364958,0.291246219504296,14210.1016911763
"7",-0.32218934065341,0.994521015869844,0.345772567394868,0.292444693083951,14211.9300484487
"8",-0.320137761349974,0.993826890907177,0.345860430757698,0.290423822843515,14212.6913307918
"9",-0.319560807624878,0.992997850546458,0.347904345722409,0.291091810422022,14212.3824249285
"10",-0.317189336690199,0.992535791460903,0.345337610986781,0.289693911037663,14211.5926009074
"11",-0.324048588938002,0.994251727749984,0.348730723528809,0.290778801135027,14212.5021086659
"12",-0.319230238791969,0.993405968432808,0.345319870652169,0.288680964836262,14212.3910018428
"13",-0.329907891175795,0.993865304067664,0.355323302894535,0.292338191375483,14210.2765217996
"14",-0.322022311757562,0.992526089024944,0.351365313280025,0.291513284056576,14212.3153340408
"15",-0.317936120389406,0.993050554770545,0.346981242819118,0.29324967720752,14207.1310669244
"16",-0.330813259605395,0.994414971596358,0.355947250213335,0.29473802463713,14208.7092882127
"17",-0.316676562297848,0.993078632487693,0.343921257382642,0.292130406326483,14212.9238983125
"18",-0.32433217203125,0.994219202016317,0.348409337674724,0.290002848731468,14212.1244070126
"19",-0.312792250290412,0.99185081968549,0.343552865152021,0.291750266555837,14211.0409167273
"20",-0.328546441149764,0.993855892771016,0.354345550549192,0.289081880792861,14211.3086742953
"21",-0.310009447803551,0.991019383618756,0.343198561932996,0.289606222863871,14207.731708759
"22",-0.318726800058542,0.993634267779971,0.345122535742167,0.295832606816129,14210.2559792653
"23",-0.314140109434042,0.992718827121287,0.342652774291593,0.290979931073748,14211.9641310339
"24",-0.322864628010985,0.994447914084381,0.346708234991413,0.294587941746116,14211.2286260832
"25",-0.326525974347601,0.994375687115795,0.350800494354258,0.290894688457309,14212.2074112513
