"","alpha","beta.1","beta.2","beta.3","sigma","lp__"
"1",-0.328115323884837,0.925001526428177,0.0714968792549386,0.364668690573522,0.269303012945448,14838.5112078369
"2",-0.333605482506628,0.918163612048525,0.0777160489482878,0.375006842410073,0.269473637096943,14842.5357338915
"3",-0.336661984213312,0.919675421197501,0.0765933697814405,0.376696249273725,0.273764201155696,14840.4309898436
"4",-0.336583656821173,0.921192646393993,0.0748451425105565,0.376504779244775,0.267674072178115,14842.140336486
"5",-0.328123759825942,0.916970711025917,0.0785036935678039,0.369662010502163,0.26891702510118,14840.7821123121
"6",-0.336662534510776,0.921079474017288,0.0762460271987703,0.374188602044283,0.267632191528411,14840.5596051325
"7",-0.335018177876904,0.921869176808637,0.0747603644846247,0.372639293963174,0.270777868833438,14841.4644063228
"8",-0.328147620054885,0.916723095773798,0.0788314550022554,0.370521538718243,0.267429935736629,14840.6967966655
"9",-0.336842232572023,0.917981501342443,0.0787173637951696,0.376338714598624,0.269568232472397,14841.8230841799
"10",-0.332613098126515,0.921673259289362,0.0744408209953898,0.372256883914979,0.269783834324817,14843.0835546715
"11",-0.325857068438652,0.919688636639701,0.0765297451877065,0.364832549250934,0.268994820602093,14841.1571529742
"12",-0.333823598367563,0.921208564645417,0.0758965291585837,0.370826361067278,0.267970412314456,14842.2068192374
"13",-0.333925014026222,0.920392565730889,0.0754516496774237,0.374629543983726,0.268788222955836,14843.0745835284
"14",-0.328299766650655,0.917426945794809,0.0777215622197101,0.371518648645131,0.269885435329891,14841.3409744262
"15",-0.332869572425083,0.918820645064741,0.0777305571045062,0.372536349750875,0.269600577421268,14842.1022970494
"16",-0.334400467726231,0.920900863432463,0.075822178129246,0.372253607707458,0.271287835377511,14842.0980382199
"17",-0.33506291551671,0.923353392111854,0.0729631430911604,0.3741208321441,0.270523707000807,14841.7539501722
"18",-0.326856502671534,0.9212499193707,0.074539904539926,0.366516228123643,0.267412014573155,14841.5478059151
"19",-0.33611585627323,0.91767391767293,0.0784429978344372,0.376413661602547,0.268463811797717,14841.1649798995
"20",-0.33293698820265,0.92182947902657,0.0747262575204371,0.371238337174945,0.269630153923123,14842.9944830728
"21",-0.339599545729049,0.920723274141905,0.0758462050318562,0.378763571516751,0.26825035306576,14841.8512821964
"22",-0.336761125969876,0.920949612920546,0.0756274982262012,0.375878058071236,0.271600491539729,14842.0049081641
"23",-0.326162114274741,0.919720938075447,0.0745466534295331,0.37074874337991,0.268064974664618,14839.6934733209
"24",-0.334060423928757,0.91970534984765,0.077295067506567,0.371853556534947,0.268900785156577,14842.4318305372
"25",-0.332420967677704,0.925273802936301,0.0710835604925682,0.370560282986062,0.272386702883756,14839.3869371158
"26",-0.335576925245612,0.922728762299253,0.0747465728392862,0.371208052396041,0.268187310827783,14841.1554303689
"27",-0.320379339819516,0.918448528560159,0.0766403794873497,0.363034528678555,0.267147154167145,14837.6288979277
"28",-0.328193127211593,0.921109789240621,0.0748023729960808,0.367989486858222,0.268507637454548,14842.6358694306
"29",-0.335946075599983,0.919452307202088,0.0772986698947014,0.374426560997597,0.267930744632528,14842.4487156313
