draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta.1,beta.2,beta.3,sigma
0,12057.15750554976,0.9985318252955143,0.02320372495041992,7.0,127.0,0.0,-12055.666549501879,-0.23352186116361218,0.6842991062460795,0.30765103194373544,0.31432363887082165,0.13495373850544243
1,12057.152024630692,0.9827862128032476,0.027567250146182155,6.0,63.0,0.0,-12055.534010654743,-0.25333845526870274,0.6886558628313937,0.3066635813994344,0.32953591678320526,0.13448550729679074
2,12059.087577790853,0.9935669086424738,0.025731010478064465,6.0,63.0,0.0,-12057.630440084327,-0.2481219889900156,0.6999866458789546,0.29578283762949265,0.3144818866141146,0.13354295311769676
3,12058.018973727427,0.9998343441960398,0.027611744434291367,7.0,255.0,0.0,-12056.46597504703,-0.2539716980537361,0.6975123510418322,0.2984586787218874,0.3237732177735613,0.13563976690746204
4,12057.793860098009,0.9062835663896347,0.02320372495041992,7.0,127.0,0.0,-12055.161101979435,-0.2547716092091557,0.7090804179022958,0.2875617244351547,0.314570309839468,0.1333684317533117
5,12056.365349232607,0.9634987747986483,0.027567250146182155,7.0,127.0,0.0,-12053.85238465099,-0.23591815413325964,0.6769012889283693,0.31452056971666364,0.3242468610559138,0.13420732271809077
6,12058.029407628072,0.9999986224080867,0.025731010478064465,7.0,127.0,0.0,-12056.687477510499,-0.26454851421157394,0.7116647869201351,0.2878832136909295,0.3193728587470499,0.13512630063642622
7,12057.001041134467,0.8488054331062916,0.027611744434291367,7.0,127.0,0.0,-12055.961648507344,-0.2530296443012391,0.6939210589027879,0.3035548043444542,0.31674278136105083,0.13565500288238458
8,12056.25565901955,0.8788862594361396,0.02320372495041992,7.0,127.0,0.0,-12054.588897213367,-0.25768510739463885,0.7220590540280513,0.27532555521621815,0.31175984628020587,0.13373189254556828
9,12053.183152182384,0.4702210965258191,0.027567250146182155,3.0,11.0,0.0,-12050.26382906754,-0.23667311378442676,0.6792967766396573,0.3131247370250563,0.3245732238652548,0.13422196204987372
10,12058.442007940072,0.960796583376653,0.025731010478064465,6.0,127.0,0.0,-12054.861886073668,-0.2492599483498587,0.6929114579119356,0.30267582312410984,0.31897962644528355,0.13318691312727768
11,12056.221324026428,0.9514450339853514,0.027611744434291367,7.0,127.0,0.0,-12050.769561383548,-0.2546154711371239,0.7185867820726517,0.27989201954181464,0.3071926125040345,0.13226514172217643
12,12056.799459136151,0.9967443957460863,0.02320372495041992,5.0,55.0,0.0,-12052.351726245903,-0.25735497720560296,0.7219100242525042,0.27722195961475865,0.31104547452433506,0.13384494231360639
13,12054.419826492038,0.9997187287931443,0.027567250146182155,6.0,71.0,0.0,-12052.032016841593,-0.25600617395898245,0.6883177404227752,0.30804993544683285,0.3191335460696136,0.13475490354469427
14,12055.190236834313,0.9732968768483929,0.025731010478064465,6.0,63.0,0.0,-12053.629379306249,-0.26292388473260153,0.7035680669459209,0.2948553861893054,0.32452502129506655,0.13182166444619414
15,12054.123760953431,0.9988991199005206,0.027611744434291367,5.0,31.0,0.0,-12053.689569183733,-0.2528996453913722,0.7173806229574944,0.2806910919524995,0.30607331698784634,0.13136555263614638
16,12056.06739711256,0.9441515080416243,0.02320372495041992,7.0,163.0,0.0,-12053.752399213923,-0.2412761717756761,0.6940928823966073,0.30024336594451384,0.31725494201392235,0.13337709979487644
17,12054.130065054125,0.9581927659867284,0.027567250146182155,6.0,67.0,0.0,-12050.917434485691,-0.26463435073571345,0.6918819230818132,0.30531440744233307,0.3327624895695764,0.13545465463247008
18,12057.104671271178,0.8460778177991083,0.025731010478064465,6.0,63.0,0.0,-12053.913799761343,-0.2567581913837881,0.6987299715189964,0.2979764683913856,0.3228217813063465,0.13242957922069315
19,12053.698745130076,0.9991507458749495,0.027611744434291367,6.0,127.0,0.0,-12049.834542487764,-0.2550188218596548,0.7071153206303787,0.2893478427151701,0.3222280396478623,0.137729297949969
20,12058.12269930038,0.9292942993856689,0.02320372495041992,5.0,59.0,0.0,-12053.285415104989,-0.24582661028518962,0.6960342162481276,0.2996268392242529,0.3132610738739554,0.13341471528897467
