draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta.1,beta.2,sigma
0,3656.0438518812894,0.9576375794983051,0.029096422941445634,4.0,31.0,0.0,-3652.940786901996,0.013887965550635461,0.92941770323734,0.06686147575670057,0.015767648096957573
1,3657.4938903320904,0.9899468427302844,0.02741885258666978,6.0,127.0,0.0,-3656.003751658486,0.019533661544544806,0.9281390497398829,0.06651441990905346,0.015566096114095263
2,3655.5541265716247,0.925146704513674,0.028045589359150386,4.0,31.0,0.0,-3654.581153831567,0.015723472931392528,0.929817218949827,0.06620477240825168,0.015133304045023284
3,3657.4495439678917,0.9597541860100227,0.028430910559222894,6.0,63.0,0.0,-3657.1264161734803,0.016242084119911945,0.9293502125427154,0.0663414784909061,0.015668076837554647
4,3656.2482111388927,0.8390502369870327,0.029096422941445634,2.0,7.0,0.0,-3654.8644222505936,0.013644543087352358,0.9295202383901516,0.06701364383031946,0.015765603632536512
5,3655.6556069093876,0.8417900571544186,0.02741885258666978,7.0,127.0,0.0,-3655.273769170824,0.01811087540701196,0.9284696128318436,0.0664111059485339,0.015218929852854626
6,3655.955271362559,0.9956494482150302,0.028045589359150386,6.0,127.0,0.0,-3654.428337719327,0.022345033432846488,0.9281380613470298,0.06558115576386009,0.015378179138153633
7,3656.913855292669,0.9889065549238388,0.028430910559222894,6.0,63.0,0.0,-3656.6020955902113,0.015419270865173362,0.9311862714404965,0.06460573676604003,0.01576715749791897
8,3653.0459780714446,0.8997789326296934,0.029096422941445634,6.0,63.0,0.0,-3651.002474934924,0.012883446129996652,0.9348836270122625,0.06145105868439935,0.016230755292567223
9,3656.759351993109,0.981998275473433,0.02741885258666978,4.0,31.0,0.0,-3654.6573832289932,0.018802501995240885,0.928626115909727,0.06613812169879654,0.015281460510025243
10,3656.788237502377,0.8968976931706693,0.028045589359150386,6.0,63.0,0.0,-3654.9112164228777,0.017458965198542297,0.9279006574050573,0.06763039935004293,0.015327715004765007
11,3657.1942619609486,0.9996464830072302,0.028430910559222894,5.0,63.0,0.0,-3652.929122125289,0.01966692233533046,0.9296429389886931,0.06496574102093167,0.015661261028165514
12,3655.4189772385585,0.8257307937051928,0.029096422941445634,6.0,127.0,0.0,-3650.3888363770675,0.02123214802756088,0.9256854452549745,0.0688804008071051,0.01536237651571574
13,3656.1423030743376,0.9048646125802218,0.02741885258666978,5.0,43.0,0.0,-3654.852306973278,0.017413750354799713,0.9293174928548433,0.06625786891502615,0.01542855925292202
