"","alpha","beta[1]","sigma","lp__"
"1",-0.101471044450857,0.993498507635543,0.150388110241346,11053.6071439406
"2",-0.103325530969245,0.994034791155176,0.150318956118703,11053.5827519865
"3",-0.0984847778568821,0.993070481952825,0.151862812465634,11054.0715123281
"4",-0.124423727243344,1.00033971514655,0.15188849394964,11053.3721810406
"5",-0.0926364374758338,0.990639776156297,0.15209990241904,11054.052647595
"6",-0.0885685692063846,0.989390634941668,0.152556758866519,11053.4043978651
"7",-0.111020721174003,0.9958309242565,0.150912443312765,11054.0443931525
"8",-0.110968118174277,0.995808666042523,0.152312483027535,11054.6948447969
"9",-0.107423501899083,0.994796812079354,0.151708844250971,11054.6790010455
"10",-0.107854421369576,0.995060177194794,0.151720449376987,11054.8219259604
"11",-0.11846765178206,0.997478731834547,0.152239747376363,11052.9864173599
"12",-0.117606649978797,0.998186719478403,0.152223336963335,11054.4451894837
"13",-0.100476540386206,0.993730011906737,0.15154168224883,11053.8692529714
"14",-0.101122470725795,0.993020158741987,0.151474394305409,11054.4910306557
"15",-0.107342540038252,0.994449678816679,0.153482741310257,11053.6819533322
"16",-0.105746575234032,0.995029824762002,0.153472616911386,11054.2059418519
"17",-0.0899177889545761,0.989652439028186,0.153606016337798,11052.8826017676
"18",-0.0999316376019543,0.993458775814024,0.152309527406249,11054.2932095187
"19",-0.104070763773669,0.994619737932528,0.151681161647718,11054.4049443382
"20",-0.108921151893706,0.996127551337632,0.152384468750546,11054.3146907505
"21",-0.106895174125216,0.995224822500195,0.152250605138844,11054.8702399063
"22",-0.107315204662543,0.995153286130693,0.151598753314482,11054.8339239625
"23",-0.109128950318267,0.995234498599942,0.151937890510426,11054.6484465838
"24",-0.118598251053653,0.998404716475126,0.150485736656647,11053.2261223144
"25",-0.114232895646883,0.997634509678733,0.153872175314757,11053.3092091393
"26",-0.103910628024666,0.993157039739676,0.152058030410355,11053.151745073
"27",-0.108056974637145,0.996158315605634,0.152190675949891,11053.5205914224
"28",-0.0976918865114039,0.991783111937967,0.152476624688486,11054.0982163074
"29",-0.105433197032928,0.995191463128611,0.153947097376628,11053.2297946883
"30",-0.118857533535101,0.998774205379179,0.150429276339321,11052.8818611261
"31",-0.118562175616818,0.9984840836891,0.150744849821894,11053.5017014083
"32",-0.119531918550607,0.999157282027479,0.150624140302594,11052.7099344373
"33",-0.117187886139297,0.998083941412235,0.151159732271493,11054.0322270861
"34",-0.110324117165701,0.996118985228589,0.152536530658324,11054.8703808619
"35",-0.10434095526581,0.993996837526444,0.153039468793651,11054.6776262266
"36",-0.110029907682933,0.996136691189375,0.152070801201989,11054.7993727487
"37",-0.0979363932227307,0.992114264117845,0.151285071672283,11054.1878855776
"38",-0.0997999184757767,0.992475410043779,0.15099618001908,11053.8295686068
"39",-0.103543246890633,0.993881194946781,0.151455184635278,11054.700145139
"40",-0.117485443035664,0.997880120339074,0.153399685530799,11054.0219265518
"41",-0.115300563197577,0.998141765695438,0.153429025860051,11053.133534412
"42",-0.114051177345225,0.996283846763783,0.152398038126955,11053.621761954
"43",-0.112364027490248,0.997396513695204,0.152535576398562,11053.3983458702
"44",-0.114058318123232,0.996524108767647,0.152706341760029,11054.1718650974
"45",-0.106820795317864,0.994688312248052,0.151842219935133,11054.8057062901
"46",-0.105724402285329,0.994852822921467,0.151694258283702,11054.7807217166
"47",-0.102207647255294,0.993649516841499,0.151388130877703,11054.6397479666
"48",-0.0968544067412922,0.992161963968537,0.150297281891537,11053.1724962966
"49",-0.103984968466652,0.994274381564336,0.150565025317489,11053.8966316297
"50",-0.0902140108357014,0.990914573160013,0.151035412108265,11052.0449265299
"51",-0.0902413163493345,0.990152485321412,0.150954905393651,11053.1962079473
"52",-0.0914324370601516,0.990037899001704,0.151191930471044,11053.1445231858
"53",-0.0910615778133398,0.990560187789506,0.151188916475609,11053.4534137875
"54",-0.096669247180218,0.990843990405354,0.151402980358628,11051.5429412887
"55",-0.104951539052809,0.993303438778268,0.151881887381837,11052.490361194
"56",-0.10910135781041,0.994485609618951,0.15213146591673,11052.4490600445
"57",-0.106213257876933,0.99552328803146,0.152143206444896,11053.8537827614
"58",-0.109995435716209,0.995199005633527,0.152814844584603,11053.9756717622
"59",-0.106578089798063,0.995218193973991,0.151888037479675,11054.7142166048
"60",-0.112008845770676,0.996874208275668,0.151916324954954,11054.4614856842
"61",-0.104415407165663,0.994004010047087,0.151611896005124,11054.7073532069
"62",-0.113551994840644,0.996486482104895,0.150955443623822,11053.8423404454
"63",-0.112485207670669,0.99656276555557,0.152737347056676,11054.7817655416
"64",-0.092311057702118,0.990495682260459,0.150978815615279,11053.3718097798
"65",-0.0930564239176157,0.991127880559564,0.151083017530655,11053.6318511917
"66",-0.121283564458438,0.999378188882043,0.150789126033633,11053.1401460868
"67",-0.101728886623487,0.993619097306383,0.150916628232663,11054.2052407871
"68",-0.102229687719113,0.993238621378774,0.150813595890423,11053.8739543274
"69",-0.110562864759943,0.99653411095078,0.151265161563377,11054.0558728385
"70",-0.110468083543726,0.99580163965045,0.152107971723833,11054.8506144613
"71",-0.110021029805664,0.995383452251383,0.152689169369507,11054.421684746
"72",-0.0953031785279844,0.9913636481967,0.153244529875109,11054.007738586
"73",-0.114230793249757,0.997464975800838,0.152964520082696,11054.3098963131
"74",-0.114228401084129,0.997022486868809,0.150773746669719,11053.9443857899
