"","alpha","beta[1]","beta[2]","beta[3]","beta[4]","sigma","lp__"
"1",-0.470175654551902,0.910661964182439,0.146906820360614,0.525971083291169,-0.0683375447564987,0.268720869376528,14876.9496649876
"2",-0.468139054373254,0.906611744422388,0.148476731432237,0.528105889788672,-0.066490331571475,0.270441710784591,14874.9353348049
"3",-0.475216432532815,0.907624539543456,0.149734182189179,0.53509696250798,-0.0688273231867955,0.267445427248202,14876.4976154276
"4",-0.479463595385171,0.908842924416455,0.150593503936867,0.53593069004642,-0.0696545653071629,0.266890757891067,14873.8850302118
"5",-0.479305031920067,0.913284422027292,0.147184445760244,0.535619430617326,-0.0712625162665687,0.267406633401228,14876.3669435647
"6",-0.480256024063311,0.914022373508192,0.14777208621676,0.537516919586258,-0.0729873878469113,0.264875882469953,14873.2878814099
"7",-0.430924094589382,0.905455356359524,0.142197855853098,0.490142849851421,-0.0593545003467899,0.270085810581599,14871.6367876698
"8",-0.430353633331882,0.915956760898267,0.129452887925234,0.482453721121844,-0.0550307712949328,0.2668215293724,14870.6333672016
"9",-0.425959040960402,0.912241302458129,0.131767033992231,0.479531587085118,-0.0541135862833375,0.266925855397857,14873.9363857053
"10",-0.427039387121253,0.911435447369096,0.133974931318306,0.478610260423998,-0.0546631416029339,0.268006611165628,14874.5248802595
"11",-0.437994590051179,0.909934985223155,0.137836034243939,0.491437408147298,-0.0577189723739976,0.271564160572111,14874.6518534578
"12",-0.502385621951981,0.908321770170157,0.156936769384055,0.563252709654499,-0.0772481217472001,0.264327434659814,14873.7339018644
"13",-0.495920039369277,0.908979319634139,0.156787943787536,0.55420814520261,-0.077104299742258,0.264764879238338,14875.7934055698
"14",-0.489421713275511,0.906457139080279,0.157284002513326,0.552623678241404,-0.0763191192949766,0.263909964939566,14874.1531132213
"15",-0.487014027991167,0.908102092198537,0.155257592664582,0.543967873627665,-0.074186398109537,0.265877849355756,14876.0951299011
"16",-0.502216641434344,0.911517680226627,0.15463334779777,0.563804119134162,-0.078435940559278,0.267797816577247,14875.7332089682
"17",-0.491638409750813,0.908945860630909,0.154399151432302,0.553878483154174,-0.0757762048259761,0.26971422543251,14876.5826570399
"18",-0.506826158057646,0.912429945757428,0.155391949745474,0.563089784079555,-0.0785196489841847,0.268380666187748,14875.6585737923
"19",-0.447839558219714,0.907567724599052,0.143958948280611,0.502832647149218,-0.061561198846178,0.268358207148788,14875.8041172403
"20",-0.445040263033786,0.907333939904911,0.144161397488321,0.502731641771798,-0.0624681278705619,0.268511951573457,14875.4840120158
"21",-0.449338983334057,0.913157684942223,0.139322215665142,0.503349248061946,-0.0627368373155464,0.269324727365323,14875.3440921943
"22",-0.439987049370827,0.907147908821836,0.142353322536499,0.499779441613969,-0.0614104942805163,0.266513510171579,14873.952628971
"23",-0.445044037848299,0.907613301864494,0.143359937877107,0.497020027339081,-0.0600131119610688,0.266782340795046,14872.6298139043
"24",-0.488984315712608,0.910229551345596,0.153396023753021,0.543042524516116,-0.073351196237865,0.268992083065713,14873.5907737841
"25",-0.462183793821986,0.90915119379895,0.145670959211774,0.523344576267328,-0.0670994233671939,0.270980894373872,14874.8762550511
"26",-0.461972999377299,0.91189364627961,0.143248705380875,0.515002380782821,-0.0648480345016805,0.270516993139473,14876.1377528481
"27",-0.446442638620617,0.908858916443037,0.14147379697813,0.504934005428269,-0.0614740966560956,0.265129399743242,14875.0155660374
"28",-0.466833352840598,0.91131345138015,0.145320759884043,0.52035086906205,-0.0666613004411805,0.270306456867639,14876.2489363482
"29",-0.478779994653777,0.905888091460019,0.154459343141002,0.537302080268917,-0.0717314868831951,0.269985938832184,14874.5332960959
"30",-0.48445066440953,0.90837774468354,0.153392733844999,0.540905301345291,-0.0727718742639498,0.268426140116453,14873.5294968699
"31",-0.481065110849728,0.909811906411282,0.151125170480184,0.540930392625783,-0.0728080616823174,0.268206383265073,14877.6265621723
"32",-0.485912650816652,0.909045070542107,0.152589795192668,0.54488213930637,-0.0731977012782057,0.268351318320785,14877.2650124852
"33",-0.485096139615943,0.907699392283204,0.154455933269797,0.543713264699855,-0.0735192187677224,0.268728958364931,14877.2328371535
"34",-0.511259488206228,0.912828418004052,0.156251764091905,0.567799647123911,-0.0797907613132758,0.270552638132405,14874.10035937
"35",-0.516618697957305,0.908325995417514,0.16221240619491,0.577048013142734,-0.0821695420606327,0.266121162445228,14874.7238626118
"36",-0.495367037412609,0.908374868658638,0.156435134221509,0.553544261437598,-0.075835349183063,0.270741852333795,14875.9933465891
"37",-0.451185044427932,0.910976734632352,0.140871683235323,0.502551575226648,-0.0611192540689861,0.266365063969942,14875.7561242447
"38",-0.449885691033921,0.910696380198263,0.141278001482104,0.503880773943902,-0.0621662291427343,0.26638009728472,14876.5275809423
"39",-0.454323188680906,0.910520633772105,0.142537270617861,0.509139929978216,-0.0631689425014666,0.267709182540854,14876.8315285938
"40",-0.441555166068491,0.908117937710023,0.141261776001139,0.500395420187124,-0.0604617472640656,0.268529779536495,14873.1236260836
"41",-0.471654374939287,0.911694176032542,0.146280351726723,0.526825983961737,-0.0681457486480497,0.269771557569873,14875.6188910826
"42",-0.48696903852046,0.905377536367635,0.156259681650527,0.550691514653496,-0.0743674134404639,0.27078768061074,14874.3528008246
"43",-0.476845849373128,0.911991672030248,0.146902595727016,0.528894169256875,-0.0679368291539675,0.269341228752819,14872.1534811377
"44",-0.469592805658172,0.90948011112847,0.14876330469624,0.525026679181732,-0.0683645892344546,0.269864770230217,14874.245002171
"45",-0.453383196223398,0.908234335844446,0.145071477693651,0.512778231683642,-0.0652647590613359,0.268666909963116,14874.0445240905
"46",-0.453798053234356,0.90825325919306,0.144884775255282,0.513663086260419,-0.0646260018622146,0.268781735741863,14874.8985016361
"47",-0.456651790596619,0.907146825484266,0.147014794011999,0.510814368296082,-0.0642796661572467,0.269496398456497,14874.4095152098
"48",-0.468693691506645,0.910614775160997,0.146928846037917,0.521476635161563,-0.0673420765684426,0.265766992466433,14875.4593765436
"49",-0.485266625073536,0.906669318665484,0.15632917493387,0.549655227562271,-0.0763642538127446,0.270347057767213,14872.6099281073
"50",-0.482903941395092,0.911098488277365,0.148662231622355,0.540226622980297,-0.0709357692691149,0.268145728796321,14875.5422053661
"51",-0.496285014946958,0.908583142937507,0.155670444099051,0.555361241908398,-0.0753839223942331,0.266116005828922,14875.4052859129
"52",-0.485870450858295,0.908455514434292,0.15437460568526,0.545891987275053,-0.0748494705165947,0.266896216273882,14876.1854682147
