"","alpha","beta[1]","beta[2]","beta[3]","beta[4]","beta[5]","sigma","lp__"
"1",-0.502592056508085,0.911463776388665,0.156753420929969,0.565751710952267,-0.0801786077613834,-0.00184018412948144,0.26669107953982,14882.2189313047
"2",-0.505069818765602,0.912039542014229,0.157477753982253,0.566458628011775,-0.079413753839432,-0.00477475487344146,0.267016516076457,14883.174803837
"3",-0.489845097056047,0.909968314575522,0.153019772515972,0.552500949285092,-0.0747580243758167,-0.00173518874894594,0.265738100192309,14881.7644024515
"4",-0.456647924592386,0.91534805562549,0.141488754677178,0.511603190610829,-0.0648367266340404,-0.00522318231119783,0.268438538676656,14882.3392979034
"5",-0.494659875897796,0.912973716276589,0.153193250727693,0.55811008385494,-0.0770734232280435,-0.00408998547803203,0.264700439649882,14883.6649354846
"6",-0.511380064806214,0.912692366550878,0.157638683487849,0.571518331248581,-0.0806097235437956,-0.00330356863077013,0.262172467762338,14880.1312616789
"7",-0.502571361745534,0.911997589086285,0.157196174993097,0.563906521597495,-0.0793128424699937,-0.00442924666554924,0.272587093935794,14881.486695155
"8",-0.507755566301718,0.912824800268569,0.157476610539111,0.572353732794053,-0.0815403672162887,-0.00417100135733326,0.273186961092795,14880.6579071037
"9",-0.514003545107414,0.914036847632854,0.158320437701348,0.573440531941047,-0.0827919431275312,-0.0029888877443988,0.27419771676566,14878.4262403628
"10",-0.490344846816175,0.906362592797655,0.157519015174715,0.556341852195922,-0.0759933589856631,-0.00268927810055907,0.269611633043722,14880.8375385791
"11",-0.479923723239848,0.911472312192896,0.149045020716914,0.538419530905974,-0.070804847270662,-0.00197904212053654,0.267303088110194,14883.9165227456
"12",-0.477786139468903,0.912068467919824,0.14949158149959,0.538181825841057,-0.0726217777374496,-0.00223761107515451,0.266923905960347,14883.9929890005
"13",-0.470244484438498,0.911345877206498,0.149018027890803,0.53392905097563,-0.0711477594146824,-0.00472231109943431,0.264661274164944,14882.6230321497
"14",-0.484508141615165,0.910438819432845,0.150889281188983,0.541532356842778,-0.070689735594593,-0.00283304726673767,0.266630031552628,14882.5320874445
"15",-0.436252943419532,0.913063395211813,0.134319699469762,0.494272400287844,-0.0572195545357967,-0.0030953317879001,0.268796004222755,14881.9740229901
"16",-0.437550085293149,0.911152618202392,0.138538198222858,0.493436653269047,-0.0586361813550489,-0.0032373761518921,0.267597303524363,14883.8764797422
"17",-0.43976045409856,0.9111195772852,0.140300377884559,0.497231149928111,-0.0600654109197426,-0.00488304038685762,0.267281806675284,14882.4552563313
"18",-0.434974277858321,0.911917382953407,0.139656497671577,0.496466197776701,-0.0620224842820597,-0.00438189496963703,0.267385503991698,14879.7433599079
"19",-0.444820516580235,0.910844316006592,0.139035214800995,0.498226520451074,-0.0574555787153445,-0.00403283939034495,0.267456881824869,14879.7863004619
"20",-0.468480433390329,0.912600265731124,0.145784048617567,0.527339011521296,-0.0679919627503865,-0.00372062641182312,0.271511740888225,14883.9615201393
"21",-0.464090246330178,0.910011331418391,0.147387724389006,0.522508017639512,-0.0666332710944055,-0.00406005817998698,0.269699915804514,14883.8149753618
"22",-0.444767503878293,0.911782886766331,0.140806745398481,0.50443289554254,-0.0622998252578106,-0.0044840370144208,0.262830386084696,14881.12216205
"23",-0.445534908975832,0.913484921582175,0.138050817260077,0.503888502115085,-0.0606785783372247,-0.0041846919742622,0.271666852664361,14881.4176940812
"24",-0.44220433416974,0.912426148897882,0.138339546161671,0.497339733606652,-0.0597476265250568,-0.00308233971925052,0.267521271960916,14884.3590146105
"25",-0.491798268514591,0.910790987352571,0.15458438815718,0.550092457036147,-0.0750332193853719,-0.00354916899873354,0.264863933757252,14882.4085773081
"26",-0.487677053780324,0.91165901556525,0.152927126793599,0.550712897332312,-0.0757925818336608,-0.00305994445086883,0.265080828739133,14883.4404614812
"27",-0.452196120564399,0.912698274132979,0.140163537866636,0.507154914701405,-0.0611385550953981,-0.00429157986289864,0.26859240333577,14882.6964412076
"28",-0.463163976456506,0.909499810144001,0.147519598251508,0.524616962777584,-0.067375135577818,-0.00328721003216136,0.270421618745098,14882.5602433465
"29",-0.490282315625491,0.914837607819436,0.150045787665151,0.549342423330852,-0.0747052338104506,-0.00408794253817893,0.268004625797258,14884.5648989341
"30",-0.482090291906256,0.910554108568279,0.152688255539125,0.546492981349086,-0.075009622750508,-0.00309313812377145,0.270206969842932,14883.1617623261
"31",-0.520353189184028,0.915675145669144,0.157531907660682,0.578586334010201,-0.0825918589559484,-0.00419461963069777,0.266453568524613,14880.9426312434
"32",-0.455408559410486,0.914687129630994,0.138592018858706,0.50945258180425,-0.0613724667839846,-0.0040596512861669,0.269987361560589,14882.3178806872
"33",-0.448184958890302,0.916133565647895,0.139050079355781,0.510970073347239,-0.0661388764283813,-0.00465104478702635,0.268856164496015,14877.4233201507
"34",-0.451851862563212,0.91535394313567,0.13960752391354,0.507549628298539,-0.0631596631997509,-0.00491157840260901,0.268892585516835,14882.6238296824
"35",-0.457427659414492,0.91665920552084,0.138446113580591,0.511356289382014,-0.0636383818124533,-0.00360958552554436,0.269137603102306,14883.3016594413
"36",-0.439410813034287,0.910294933783426,0.139254586731804,0.496604752618558,-0.059475566749482,-0.00256314199303381,0.269360092789809,14882.2808545421
"37",-0.438483936241645,0.910301436866296,0.138837916567651,0.496211228863537,-0.0588878016113319,-0.00320257615480895,0.268618373569298,14882.4648019051
"38",-0.461097463340954,0.914938842705764,0.140960885134714,0.518486888657819,-0.0653492661252245,-0.00403883983390128,0.264947814780015,14882.5120724708
"39",-0.462761122978645,0.914813560260673,0.141390866729513,0.517616491538179,-0.0658573276704567,-0.0021764100137052,0.264301030983104,14880.3900299394
"40",-0.480560977422922,0.91143276294359,0.149898622055688,0.537500748946161,-0.0715636931081131,-0.00101478153431544,0.26535310844996,14879.6178394736
"41",-0.479279759154206,0.911140014959942,0.151594542780826,0.54210431194214,-0.0734484103886977,-0.00414547381793599,0.266190803466579,14884.6558179131
"42",-0.483238484431117,0.909509627005983,0.153651122998682,0.542894525122389,-0.0736079993294678,-0.00252961711811021,0.269448381870356,14883.9157435672
"43",-0.490546027049056,0.91559801955765,0.150794780485085,0.548735941318033,-0.0757939112079846,-0.0044166420224983,0.269364578120374,14883.6655633466
"44",-0.471994938561255,0.909625920555232,0.149026497980903,0.536544613144271,-0.0697615963351406,-0.00367442914039895,0.266120748116558,14882.4175869725
"45",-0.471440021666369,0.912216559564552,0.14616388015409,0.528342569969118,-0.0674908569690168,-0.00330874541130408,0.267818746163045,14884.653876437
"46",-0.481333986290651,0.912987762671421,0.148648121382208,0.540858857370536,-0.071512030604972,-0.00396621671681363,0.267732347312216,14884.9972090349
"47",-0.476533608228006,0.915185573131782,0.147187529715688,0.535453229283199,-0.0720528105801286,-0.00429659163921445,0.267857161230052,14884.5862827142
"48",-0.490150107210074,0.913674132528718,0.151650483311898,0.549817576367799,-0.0756922738705621,-0.00308156021032902,0.270572133243151,14884.0968324181
