"","alpha","beta[1]","beta[2]","sigma","lp__"
"1",0.0200076169131365,0.918774014098099,0.0730844114902323,0.355458827800945,12605.1317872577
"2",0.019666642645858,0.919479538513853,0.0727648542086283,0.356061141590551,12603.9013300126
"3",0.0196611742316958,0.91942752247174,0.0722266937470237,0.356031190294032,12604.011262575
"4",0.0203072281317894,0.920022382712958,0.0716180396630797,0.360113528136891,12604.4562504583
"5",0.0192662373909881,0.926478476955342,0.0652386630904357,0.357875567012149,12604.115684413
"6",0.02029577575224,0.925190829889732,0.0661865972812287,0.35782287523549,12604.4592002216
"7",0.0205514575393283,0.923412538695858,0.0680594372235174,0.358916259151012,12604.879704048
"8",0.0169142248946249,0.924180122898555,0.0683954994164214,0.358135009539626,12605.577534584
"9",0.0155828303031378,0.923111370916266,0.0699355838189135,0.357043709000488,12605.6144165169
"10",0.019285420865476,0.921465257072884,0.0705471570765698,0.360007124813403,12604.8513285261
"11",0.0193612191140403,0.921666729694196,0.070160348808461,0.360138848809892,12604.7243946653
"12",0.0143529265176579,0.926298408563838,0.0668398226027985,0.357800381311023,12604.7627267152
"13",0.0226418524948418,0.916688918260735,0.0747553289392813,0.359327921250912,12601.9318777137
"14",0.0245021693339379,0.91957859611489,0.0710588498883105,0.358345266056446,12603.0410637398
"15",0.0198134683155834,0.921612309563961,0.070105695059791,0.353364727115989,12605.4160070707
"16",0.019874267468199,0.922514119929816,0.0691265847097003,0.356896407045857,12605.7073882634
"17",0.0198627790455123,0.922554190675214,0.0692207741961011,0.357010442308922,12605.70285342
"18",0.0197430803935751,0.922471732237256,0.0692120217223058,0.357313684486062,12605.678400776
"19",0.0180452904545259,0.920056916243776,0.072338144051776,0.355682558455636,12605.4619636906
"20",0.0206707985473963,0.919903099032107,0.0713707807303991,0.358336205236978,12603.3999990445
"21",0.0206839118165688,0.920401233899024,0.0715005829009905,0.358196206484522,12603.5345879716
"22",0.016656476600331,0.922905652749987,0.0698891638061099,0.354159767631621,12605.560971557
