"","alpha","beta[1]","beta[2]","beta[3]","sigma","lp__"
"1",-0.25239510637694,0.909719576871694,0.084656803390831,0.290434535353978,0.271992142716845,14818.1300239476
"2",-0.252471715190489,0.909565080720085,0.0851139747483529,0.289972940158305,0.271954390387797,14819.4751114275
"3",-0.246802764646595,0.910916665594323,0.0825630722675265,0.288675901510625,0.270237726254278,14817.0254386966
"4",-0.251539832394786,0.911194700864658,0.0836750403321308,0.288528925875013,0.272852050142721,14818.6751584706
"5",-0.268668129997977,0.908350248961925,0.0872112738381305,0.305507359891958,0.27066491136851,14822.153719732
"6",-0.26366692370602,0.907733194847481,0.0867063159499723,0.304031615124771,0.269747622046689,14823.3653656412
"7",-0.261659005298536,0.908921749075866,0.0853863137903216,0.302035548443574,0.27300984259686,14822.7792392987
"8",-0.27159397327161,0.912583921210605,0.0835559958340305,0.305740857520507,0.269157751960201,14821.4947552345
"9",-0.262924441102837,0.909057516793646,0.0857416991228894,0.301544648957049,0.270928562201968,14823.9666753998
"10",-0.262743875238947,0.90923766795033,0.0848306525545398,0.303824604322762,0.270927507706234,14823.2188609567
"11",-0.265945941158907,0.910545036408561,0.0849246862418801,0.302233044640867,0.270253955890331,14823.6748748517
"12",-0.253030168923522,0.907244325175293,0.0871831476058523,0.292329550909419,0.270362707053741,14821.1004597401
"13",-0.251260348047906,0.906997722753325,0.0860001945948404,0.295772376892374,0.270478219654203,14820.1930117593
"14",-0.263199331744583,0.909351547735995,0.0864230544793324,0.299094043201552,0.268518407226826,14822.0431784305
"15",-0.261587320297165,0.909886793858218,0.0851404163206681,0.29932206201137,0.268918101151277,14824.0778633182
"16",-0.263624896445987,0.912480758580018,0.0823076488624309,0.301844134460481,0.266299736139753,14822.0471914058
"17",-0.263178223815024,0.911866958125855,0.0826927693178901,0.301529865293872,0.270301024977357,14822.6655035981
"18",-0.264317672523016,0.908915966477,0.0864831683169777,0.300679326744682,0.268029839682634,14822.5714535366
"19",-0.267468068913204,0.908896931155527,0.0857367798100819,0.307530354891415,0.26959823403266,14822.2555594688
"20",-0.268448653815996,0.909094209153534,0.0858822748048724,0.306686124821599,0.269346829136056,14822.4808776777
"21",-0.26356033820287,0.910442096154986,0.0844031748100325,0.302353420315673,0.267678297578238,14823.1275016778
"22",-0.259429146662562,0.91174118351354,0.0829479371849467,0.297387372715068,0.267901333869274,14823.1194006858
"23",-0.265602480163317,0.911642580416986,0.0833117360110257,0.303216682147245,0.2702593934358,14823.4681226227
"24",-0.26007391602806,0.910452959653289,0.0848958390954185,0.297003527326798,0.272209813603298,14821.9748839181
"25",-0.262092955941134,0.911818854476482,0.083655146079806,0.29775350591864,0.267484534803812,14822.9013471459
"26",-0.262059061961541,0.912327895616099,0.0832639525228268,0.297244509709878,0.267389989158278,14822.5124361249
"27",-0.260392286039787,0.913466858632768,0.0815706916926665,0.297301162788222,0.266614993820502,14821.6375643029
"28",-0.260435389839367,0.914455535859867,0.0806063192827489,0.297156095785446,0.266436017980449,14820.5325952351
"29",-0.262581668245034,0.908912192474021,0.0858122834992289,0.302209625975744,0.273912414019996,14821.1435780035
"30",-0.262915831841272,0.906015351507898,0.0887487867836728,0.302167042032666,0.270348778340631,14822.1873961888
"31",-0.267986131180039,0.910942285412388,0.0839550302725233,0.306256994969896,0.26690590513385,14821.9896273929
"32",-0.260270959835867,0.909415026748544,0.0855351152589578,0.297780101627527,0.272848607441781,14822.5450062124
"33",-0.259306198843308,0.906154399612626,0.087911075021306,0.30038487320551,0.269961485454481,14822.3940733406
"34",-0.258937003461088,0.905319949477271,0.0883567215942154,0.300891268355506,0.270266845420989,14819.5957592474
"35",-0.261232773503363,0.911739416952717,0.0841716662907042,0.296306990237962,0.270338166265423,14820.8156952492
"36",-0.261588331671819,0.911554278951782,0.0842049441768149,0.296001141897102,0.270402888463814,14822.221039199
"37",-0.259074105533971,0.912701439124823,0.0821252821843916,0.296584037925061,0.271084203121538,14822.8921941313
"38",-0.263807526307012,0.910104487285603,0.0845009354233129,0.302703611504118,0.268204592064375,14823.5133472651
"39",-0.259027404161302,0.910582203404778,0.0841466916198216,0.296686525624956,0.267084232283273,14822.096059866
"40",-0.266221622998097,0.909499544263068,0.0862742083960703,0.302102706949771,0.267787066012023,14822.4044115959
"41",-0.264666327704648,0.911244109111256,0.083136793629558,0.30405833216416,0.271214124019106,14822.5143185336
"42",-0.263548233936957,0.910472034903786,0.0847303921771095,0.30003218029644,0.267186765768486,14822.3732341258
"43",-0.262223185880191,0.910600277727919,0.0838762413221188,0.301255718540865,0.266791751347483,14822.7114774074
"44",-0.259797268629203,0.911624768607777,0.082700391619939,0.299836697904677,0.266534411763907,14821.554191125
"45",-0.263971330190351,0.90983686624634,0.0847399501757782,0.303824010304579,0.273612705493049,14821.7322845444
"46",-0.263534394818977,0.91179218630614,0.0830694277319647,0.300925691912921,0.268635326636145,14822.8854147065
"47",-0.260357025519686,0.913845021763113,0.0818320303128871,0.295118202158749,0.270169814767455,14821.6823665037
"48",-0.255799946542341,0.913516514976496,0.0806501500045189,0.295388268692562,0.26778464082587,14820.4054525711
"49",-0.253790008407367,0.909469237739745,0.0843209159525155,0.294860932154597,0.273354446778359,14821.0457802112
"50",-0.254045726079724,0.908767882847398,0.0857949053238271,0.2927063556969,0.268053910747485,14821.7549283811
"51",-0.257993491870154,0.908010827371955,0.0867794463506464,0.297577222387066,0.270996180730966,14820.4304598346
"52",-0.258433450146181,0.908435002753838,0.0861251224431582,0.298121699788381,0.270332177236347,14823.2837817249
"53",-0.257459692063543,0.9099288371214,0.0846845563695886,0.296544098216578,0.272507048566041,14822.499099807
