,id,dist,curr_pace,total_pace,finish,age,gender,year,prop,propleft,male,propxcurr,malexage
26,238145,5K,5.446623093681917,5.446623093681917,5.04061641380958,24,M,2019,0.11849745230477544,0.8815025476952245,1,0.6454109602656615,24
33,238152,5K,5.0864699898270604,5.0864699898270604,4.9092495636998255,33,M,2019,0.11849745230477544,0.8815025476952245,1,0.6027337350192037,33
46,238165,5K,5.070993914807302,5.070993914807302,4.838321293429653,27,M,2019,0.11849745230477544,0.8815025476952245,1,0.6008998595576849,27
67,238186,5K,4.612546125461255,4.612546125461255,4.759192420482743,38,M,2019,0.11849745230477544,0.8815025476952245,1,0.5465749645054218,38
84,238203,5K,4.8076923076923075,4.8076923076923075,4.718215363971821,21,M,2019,0.11849745230477544,0.8815025476952245,1,0.569699289926805,21
124,238243,5K,4.681647940074907,4.681647940074907,4.626137484924898,38,M,2019,0.11849745230477544,0.8815025476952245,1,0.5547633534867764,38
129,238248,5K,5.030181086519114,5.030181086519114,4.621071076552404,54,M,2019,0.11849745230477544,0.8815025476952245,1,0.5960636433841823,54
164,238283,5K,4.6685340802987865,4.6685340802987865,4.564088696592753,35,M,2019,0.11849745230477544,0.8815025476952245,1,0.5532093945134241,35
181,238300,5K,4.621072088724584,4.621072088724584,4.54149176622538,32,M,2019,0.11849745230477544,0.8815025476952245,1,0.5475852694305704,32
224,238343,5K,4.557885141294439,4.557885141294439,4.504163108454312,40,M,2019,0.11849745230477544,0.8815025476952245,1,0.5400977771411825,40
279,238398,5K,4.5004500450045,4.5004500450045,4.435043094387219,40,M,2019,0.11849745230477544,0.8815025476952245,1,0.5332918645579453,40
353,238472,5K,4.9603174603174605,4.9603174603174605,4.395770392749244,36,M,2019,0.11849745230477544,0.8815025476952245,1,0.5877849816705132,36
382,238501,5K,4.524886877828054,4.524886877828054,4.377528789293495,36,M,2019,0.11849745230477544,0.8815025476952245,1,0.5361875669899341,36
407,238526,5K,4.41696113074205,4.41696113074205,4.363044152621239,25,M,2019,0.11849745230477544,0.8815025476952245,1,0.523398640922153,25
504,238623,5K,4.258943781942079,4.258943781942079,4.2990320937340805,36,M,2019,0.11849745230477544,0.8815025476952245,1,0.5046739876694014,36
571,238690,5K,4.468275245755138,4.468275245755138,4.277242777496198,32,M,2019,0.11849745230477544,0.8815025476952245,1,0.5294792328184783,32
604,238723,5K,4.355400696864112,4.355400696864112,4.263413155501667,29,M,2019,0.11849745230477544,0.8815025476952245,1,0.5161038863448408,29
625,238744,5K,4.291845493562231,4.291845493562231,4.253528225806452,39,M,2019,0.11849745230477544,0.8815025476952245,1,0.508572756672856,39
756,238875,5K,4.761904761904762,4.761904761904762,4.205621449217582,37,M,2019,0.11849745230477544,0.8815025476952245,1,0.5642735824036926,37
775,238894,5K,4.306632213608958,4.306632213608958,4.199761122723201,29,F,2019,0.11849745230477544,0.8815025476952245,0,0.510324945326337,0
776,238895,5K,4.163197335553705,4.163197335553705,4.199343152866242,25,M,2019,0.11849745230477544,0.8815025476952245,1,0.49332827770514337,25
842,238961,5K,4.2408821034775235,4.2408821034775235,4.18518151160484,49,M,2019,0.11849745230477544,0.8815025476952245,1,0.5025337247870036,49
899,239018,5K,4.198152812762385,4.198152812762385,4.167407407407407,37,M,2019,0.11849745230477544,0.8815025476952245,1,0.4974704126984696,37
910,239029,5K,4.068348250610252,4.068348250610252,4.164528227398342,39,M,2019,0.11849745230477544,0.8815025476952245,1,0.48208890278590494,39
930,239049,5K,4.081632653061225,4.081632653061225,4.160422007493591,43,M,2019,0.11849745230477544,0.8815025476952245,1,0.4836630706317365,43
952,239071,5K,4.273504273504273,4.273504273504273,4.156323877068558,43,M,2019,0.11849745230477544,0.8815025476952245,1,0.5063993688238266,43
953,239072,5K,4.219409282700422,4.219409282700422,4.156323877068558,33,M,2019,0.11849745230477544,0.8815025476952245,1,0.49998925023112,33
974,239093,5K,4.244482173174872,4.244482173174872,4.149375553151736,27,M,2019,0.11849745230477544,0.8815025476952245,1,0.502960323874259,27
1048,239167,5K,4.088307440719542,4.088307440719542,4.127861475249462,22,M,2019,0.11849745230477544,0.8815025476952245,1,0.4844540159639225,22
1077,239196,5K,4.058441558441558,4.058441558441558,4.119398613687396,37,M,2019,0.11849745230477544,0.8815025476952245,1,0.48091498500314706,37
1135,239254,5K,4.142502071251036,4.142502071251036,4.10377358490566,24,M,2019,0.11849745230477544,0.8815025476952245,1,0.4908759416105031,24
1153,239272,5K,4.317789291882556,4.317789291882556,4.100981630867917,42,M,2019,0.11849745230477544,0.8815025476952245,1,0.5116470306769233,42
1187,239306,5K,4.019292604501608,4.019292604501608,4.092231597323247,34,F,2019,0.11849745230477544,0.8815025476952245,0,0.47627593370086596,0
1258,239377,5K,4.237288135593221,4.237288135593221,4.07563025210084,44,M,2019,0.11849745230477544,0.8815025476952245,1,0.5021078487490486,44
1269,239388,5K,4.244482173174872,4.244482173174872,4.073269620619751,27,M,2019,0.11849745230477544,0.8815025476952245,1,0.502960323874259,27
1285,239404,5K,4.025764895330113,4.025764895330113,4.0705190044375845,29,M,2019,0.11849745230477544,0.8815025476952245,1,0.47704288367461933,29
1337,239456,5K,4.139072847682119,4.139072847682119,4.060725627947262,27,M,2019,0.11849745230477544,0.8815025476952245,1,0.49046958735420293,27
1539,239658,5K,4.11522633744856,4.11522633744856,4.023936677474728,34,M,2019,0.11849745230477544,0.8815025476952245,1,0.4876438366451664,34
1540,239659,5K,4.1288191577208915,4.1288191577208915,4.023936677474728,31,M,2019,0.11849745230477544,0.8815025476952245,1,0.48925455121707445,31
1541,239660,5K,4.1288191577208915,4.1288191577208915,4.023552970344236,34,M,2019,0.11849745230477544,0.8815025476952245,1,0.48925455121707445,34
1545,239664,5K,4.108463434675431,4.108463434675431,4.02316933638444,45,M,2019,0.11849745230477544,0.8815025476952245,1,0.4868424498963658,45
1581,239700,5K,4.1356492969396195,4.1356492969396195,4.014747859181732,29,M,2019,0.11849745230477544,0.8815025476952245,1,0.4900639053133807,29
1675,239794,5K,4.2158516020236085,4.2158516020236085,3.998010233086981,35,M,2019,0.11849745230477544,0.8815025476952245,1,0.4995676741348037,35
1749,239868,5K,4.230118443316413,4.230118443316413,3.988939307997731,31,M,2019,0.11849745230477544,0.8815025476952245,1,0.5012582584804376,31
1763,239882,5K,4.1017227235438884,4.1017227235438884,3.9866780045351473,35,M,2019,0.11849745230477544,0.8815025476952245,1,0.48604369280055554,35
1789,239908,5K,4.1118421052631575,4.1118421052631575,3.9829148574664903,27,M,2019,0.11849745230477544,0.8815025476952245,1,0.48724281375318845,27
1809,239928,5K,4.266211604095563,4.266211604095563,3.9795340941243045,35,M,2019,0.11849745230477544,0.8815025476952245,1,0.5055352060783935,35
1825,239944,5K,4.081632653061225,4.081632653061225,3.9772834385898763,35,M,2019,0.11849745230477544,0.8815025476952245,1,0.4836630706317365,35
1861,239980,5K,4.074979625101874,4.074979625101874,3.9712941176470586,40,M,2019,0.11849745230477544,0.8815025476952245,1,0.48287470376844105,40
1863,239982,5K,4.088307440719542,4.088307440719542,3.9712941176470586,36,M,2019,0.11849745230477544,0.8815025476952245,1,0.4844540159639225,36
1866,239985,5K,3.9682539682539684,3.9682539682539684,3.970920383963862,30,M,2019,0.11849745230477544,0.8815025476952245,1,0.4702279853364105,30
1924,240043,5K,4.019292604501608,4.019292604501608,3.962343882054653,32,M,2019,0.11849745230477544,0.8815025476952245,1,0.47627593370086596,32
2014,240133,5K,3.9682539682539684,3.9682539682539684,3.9508426966292136,36,M,2019,0.11849745230477544,0.8815025476952245,1,0.4702279853364105,36
2033,240152,5K,4.071661237785016,4.071661237785016,3.9482548891176195,42,M,2019,0.11849745230477544,0.8815025476952245,1,0.4824814833256329,42
2037,240156,5K,4.061738424045491,4.061738424045491,3.9478854790419162,30,M,2019,0.11849745230477544,0.8815025476952245,1,0.4813056551778044,30
2044,240163,5K,4.45632798573975,4.45632798573975,3.9467776634552427,43,M,2019,0.11849745230477544,0.8815025476952245,1,0.528063512944632,43
2078,240197,5K,4.051863857374392,4.051863857374392,3.9434579439252335,51,M,2019,0.11849745230477544,0.8815025476952245,1,0.4801355441846655,51
2149,240268,5K,4.125412541254126,4.125412541254126,3.9372025753475786,49,M,2019,0.11849745230477544,0.8815025476952245,1,0.4888508758447832,49
2227,240346,5K,4.237288135593221,4.237288135593221,3.92877094972067,37,M,2019,0.11849745230477544,0.8815025476952245,1,0.5021078487490486,37
2280,240399,5K,3.9556962025316458,3.9556962025316458,3.9232914923291493,30,F,2019,0.11849745230477544,0.8815025476952245,0,0.46873992209167503,0
2304,240423,5K,4.212299915754001,4.212299915754001,3.921103986618344,41,M,2019,0.11849745230477544,0.8815025476952245,1,0.4991468083604694,41
2343,240462,5K,4.1356492969396195,4.1356492969396195,3.9170998886000743,48,M,2019,0.11849745230477544,0.8815025476952245,1,0.4900639053133807,48
2391,240510,5K,4.006410256410256,4.006410256410256,3.9123783031988872,34,M,2019,0.11849745230477544,0.8815025476952245,1,0.4747494082723375,34
2408,240527,5K,4.1118421052631575,4.1118421052631575,3.911290322580645,27,M,2019,0.11849745230477544,0.8815025476952245,1,0.48724281375318845,27
2409,240528,5K,3.9936102236421727,3.9936102236421727,3.911290322580645,26,M,2019,0.11849745230477544,0.8815025476952245,1,0.4732326369999019,26
2457,240576,5K,4.038772213247173,4.038772213247173,3.903691368304191,46,M,2019,0.11849745230477544,0.8815025476952245,1,0.4785842177091092,46
2567,240686,5K,4.149377593360996,4.149377593360996,3.8867907148120855,56,M,2019,0.11849745230477544,0.8815025476952245,1,0.4916906734637986,56
2605,240724,5K,4.277159965782721,4.277159965782721,3.880356814419717,33,M,2019,0.11849745230477544,0.8815025476952245,1,0.5068325590452329,33
2646,240765,5K,3.930817610062893,3.930817610062893,3.871811341530556,48,M,2019,0.11849745230477544,0.8815025476952245,1,0.46579187226719904,48
2694,240813,5K,3.9588281868566906,3.9588281868566906,3.864010989010989,50,M,2019,0.11849745230477544,0.8815025476952245,1,0.46911105425485133,50
2745,240864,5K,3.8461538461538463,3.8461538461538463,3.8548328156404166,26,F,2019,0.11849745230477544,0.8815025476952245,0,0.455759431941444,0
2773,240892,5K,4.258943781942079,4.258943781942079,3.851665905979005,23,M,2019,0.11849745230477544,0.8815025476952245,1,0.5046739876694014,23
2849,240968,5K,4.716981132075472,4.716981132075472,3.8425462161916037,28,M,2019,0.11849745230477544,0.8815025476952245,1,0.5589502467206389,28
2861,240980,5K,3.9032006245121,3.9032006245121,3.83974883974884,37,F,2019,0.11849745230477544,0.8815025476952245,0,0.4625193298390923,0
2957,241076,5K,3.933910306845004,3.933910306845004,3.8279052889413046,40,M,2019,0.11849745230477544,0.8815025476952245,1,0.4661583489566304,40
3078,241197,5K,3.937007874015748,3.937007874015748,3.814064901021423,45,M,2019,0.11849745230477544,0.8815025476952245,1,0.4665254027747065,45
3082,241201,5K,3.927729772191673,3.927729772191673,3.813720173535792,48,M,2019,0.11849745230477544,0.8815025476952245,1,0.4654259713463293,48
3117,241236,5K,4.329004329004329,4.329004329004329,3.8089005235602094,40,M,2019,0.11849745230477544,0.8815025476952245,1,0.5129759840033569,40
3334,241453,5K,4.332755632582322,4.332755632582322,3.7822696306920043,26,M,2019,0.11849745230477544,0.8815025476952245,1,0.5134205039201709,26
3455,241574,5K,3.8255547054322876,3.8255547054322876,3.7674107142857145,52,M,2019,0.11849745230477544,0.8815025476952245,1,0.45331848624627175,52
3542,241661,5K,3.937007874015748,3.937007874015748,3.7563429181874834,42,M,2019,0.11849745230477544,0.8815025476952245,1,0.4665254027747065,42
3552,241671,5K,3.8431975403535743,3.8431975403535743,3.7556742323097465,46,M,2019,0.11849745230477544,0.8815025476952245,1,0.45540911723587796,46
3565,241684,5K,4.3029259896729775,4.3029259896729775,3.754671649759744,23,M,2019,0.11849745230477544,0.8815025476952245,1,0.5098857672322523,23
3581,241700,5K,4.091653027823241,4.091653027823241,3.7520007113640403,55,M,2019,0.11849745230477544,0.8815025476952245,1,0.4848504595121745,55
3593,241712,5K,3.8431975403535743,3.8431975403535743,3.7506666666666666,27,M,2019,0.11849745230477544,0.8815025476952245,1,0.45540911723587796,27
3597,241716,5K,3.9556962025316458,3.9556962025316458,3.7496667555318584,33,M,2019,0.11849745230477544,0.8815025476952245,1,0.46873992209167503,33
3677,241796,5K,3.933910306845004,3.933910306845004,3.7403598971722367,40,F,2019,0.11849745230477544,0.8815025476952245,0,0.4661583489566304,0
3712,241831,5K,3.9808917197452227,3.9808917197452227,3.736385371469052,31,M,2019,0.11849745230477544,0.8815025476952245,1,0.471725526690985,31
